diario,fecha,titulo noticia,contenido,link
Pagina 12,2025-04-19,"Prepagas, otro problema","Otro de los sectores que reaccionó con alzas de precios a la devaluación fue el de la medicina prepaga. Totalmente fuera de rango, anunciaron subas de entre 4 y 5 por ciento para mayo, pero el Gobierno está intentando reducir el porcentaje para que se parezca algo más a la inflación. Lo concreto es que las empresas están viendo que el precio del dólar no es este y que a la larga habrá una corrección al alza, por eso remarcan.
Luego de una reunión del Ministerio de Salud con el sector, les reclamaron que pongan los abonos con aumentos no mayores a los 3 puntos, que igual dejan al rubro acumulando incrementos muy por encima de la inflación general. Empezarían el lunes, algunas firmas, a corregir por pedido oficial.
Desde comienzos de año, las firmas del sector subieron los abonos con el siguiente esquema: hasta 3,7 por ciento en febrero, 2,1 en marzo, 2,9 en abril y hasta 5 en mayo.",https://www.pagina12.com.ar/819241-prepagas-otro-problema
Pagina 12,2025-04-18,Milei lanzó una campaña para exigir que no se validen los aumentos de precios,"Tras la devaluación del dólar oficial, el Gobierno cambió su postura de libre mercado en la fijación de precios y lanzó una campaña en redes sociales para exigir que no se validen los aumentos de precios de la canasta básica. El humorista gráfico Nik se sumó a la campaña oficialista y consiguió otro reposteo del presidente Javir Milei, que compartió una imagen del personaje Gaturro con el lema: ""Si te aumentan el precio, no compres"".
El dibujo de Nik para respaldar el relato del oficialismo cierra una campaña de redes sociales de los trolls libertarios luego de que el ministro de Economía, Luis Caputo, celebrara ayer la decisión de un grupo de supermercados de rechazar los aumentos de entre el 9 y 12 por ciento enviado por las grandes empresas alimenticias.
""Hoy los supermercados grandes rechazaron la mercadería con lista de precios nueva de Unilever y Molinos con subas de 9 a 12 por ciento"", celebró Caputo como puntapié para que los grupos de trolls libertarios agitaran la campaña que coronó este viernes el humorista gráfico oficial. Caputo también celebró la decisión posterior de Molinos de retrotraer sus precios.
El primer día del cambio en el régimen cambiario exigido para el nuevo acuerdo con el FMI, el dólar oficial se devaluó cerca del 10 por ciento, llegando a 1230; y cayó hasta 1110 en la previa del fin de semana largo. Pero el mismo lunes se supo que las grandes empresas de bienes básicos enviaron listas de aumentos de entre el 9 y 12 por ciento.
La empresa Softys --que produce los papeles Elite, Higienol, pañales Babysec y toallitas íntimas LadySoft-- remarcó sus precios un 9 por ciento. Mismo aumento que decidieron las empresas aceiteras Bunge, Molino Cañuelas, Río y Aceitera General Deheza. En tanto, Unilever y Sc Johnson, dos de las multinacionales que además de productos de limpieza producen alimentos y bebidas, pasaron listas con alzas promedio de 7 por ciento.
Como contó PáginaI12, el Gobierno abandonó su discurso de libre mercado y salió a presionar para evitar con la devaluación impacta en los precios.  Muchos empresarios recibieron presiones desde la Casa Rosada y el Ministerio de Economía con advertencias del tipo: ""si aumentas, mirá que no vendes"".
""No estamos preocupados por la caída del consumo, pero sí por la inflación"", señalan en el Gobierno. La caída en el poder adquisitivo y en la compra de alimentos y bienes básicos es algo que ocurra hace meses y es parte del modelo de Milei y Caputo para controlar la inflación.
De acuerdo con datos de la consultora Scentia, pese a la reducida base de comparación que dejó el comienzo de 2024, el consumo masivo sigue a la baja: durante marzo de este año se contrajo 5,4 por ciento interanual y 8,6 por ciento en el acumulado del primer trimestre.

",https://www.pagina12.com.ar/819240-milei-lanzo-una-campana-para-exigir-que-no-se-validen-los-au
Pagina 12,2025-04-18,"Dólar blue, dólar hoy: a cuánto cotizan el viernes 18 de abril de 2025","Seguí en vivo las cotizaciones de todos los tipos de dólar para este viernes.


La directora del Fondo Monetario Internacional (FMI),Kristalina Georgieva, elogió al gobierno de Javier Milei por haber “logrado grandes avances”y garantizó que la Argentina, su principal deudor, recibirá la ayuda del organismo para“gestionar el ajuste macroeconómico” a cambio de más reformas.
El desplome de las ventas paralizó la planta de Cerámica Cortines desde febrero y los propietarios presentaron un procedimiento preventivo de crisis por 180 días para reducir el personal un 40 por ciento y con posibilidades de extender la medida de cierre durante mayo.
El titular de Economía, Luis Caputo, celebró que una empresa alimenticia decidiera desestimar los aumentos que había informado en los últimos días. Además, destacó la decisión de los supermercados de no convalidar esos incrementos cuando llegaron las listas actualizadas, luego de la devaluación que el Gobierno nacional pactara con el FMI para obtener el préstamo.
Las primeras estimaciones de la inflación para abril se ubican entre 3,4 y 4 por ciento, según las estimaciones de EcoGo, Equilibra y LCG, dependiendo de la trayectoria del precio de los alimentos, luego de la devaluación que implique el cambio de esquema cambiario
Es un mercado alternativo donde se comercian monedas extranjeras, principalmente dólares, fuera del control y regulación de las autoridades financieras oficiales. Este mercado se caracteriza por operar al margen de la ley, lo que a menudo resulta en precios más elevados en comparación con el mercado oficial. Su existencia y prevalencia se deben a varias razones. En primer lugar, el relevante porcentaje de “economía negra” en el conjunto del movimiento productivo nacional (para evitar la paga de impuestos o directamente resultado de actividades ilegales), lo que deja a muchos agentes económicos sin posibilidad de recurrir a los mercados legales .Entre sus defensores, se destaca la influencia de las restricciones cambiarias estrictas impuestas por el gobierno, desequilibrios económicos, y una demanda creciente de divisas fuertes como mecanismos de ahorro o inversión frente a la incertidumbre económica local. Además de impactar la estabilidad económica del país, el mercado negro de divisas representa un riesgo legal para los participantes, ya que las transacciones se realizan fuera del marco legal bancario y financiero. A diferencia del Dólar Blue, que se refiere específicamente al dólar estadounidense en un contexto informal pero relativamente aceptado, el mercado negro puede incluir una variedad de monedas extranjeras, y a menudo está asociado con actividades económicas menos transparentes y más especulativas.
Por Leandro Renou
El Gobierno de Javier Milei quedó atrapado en su propia red de uso de datos de la inflación. Es que luego de casi un año rechazando hacerlo, la Casa Rosada quiere implementar ""cuanto antes se pueda"" la nueva metodología de medición de Precios al Consumidor. Esa nueva fórmula calcula el gasto de las familias con base en el año 2018, a diferencia de la actual que es de 2004, y hace que pese más el costo de los Servicios que de los Bienes. El apuro oficial, en este contexto, no es casual: como el nuevo IPC valora más las subas tarifarias que los incrementos en Alimentos, justo cuando este rubro se está disparando, la orden fue avanzar de manera urgente en el cambio.

Los bancos no abren este viernes por la celebración de Semana Santa pero quienes quieran comprar dólares tienen alternativas para hacerlo. Además de los opciones de lo que se conoce como dólar crypto, también están abiertas algunas casas de cambio que suelen atender a los turista. Otra opción es realizar la operación a través del home banking.
El mercado sigue a puro optimismo y algunas acciones argentinas en Nueva York volvieron a subir este jueves, en el cual no hubo operaciones en la bolsa porteña debido al feriado por las pascuas.

El dólar oficial cotiza a $1110 para la compra y $1160 para la venta. Compra
El dólar blue está a $1220 para la compra y a $1250 para la venta.",https://www.pagina12.com.ar/819112-dolar-blue-dolar-hoy-a-cuanto-cotizan-el-viernes-18-de-abril
Pagina 12,2025-04-17,El mercado sigue de festejo,"El mercado sigue a puro optimismo y algunas acciones argentinas en Nueva York volvieron a subir este jueves, en el cual no hubo operaciones en la bolsa porteña debido al feriado por las pascuas.
Sin embargo, algunos economistas empiezan a plantear que entusiasmarse con el dólar cada vez más cerca de 1000 pesos es una mala idea porque con este tipo de cambio será imposible acumular reservas. En el equipo económico apuesta a que el tipo de cambio oficial siga cayendo en los próximos días y mantenerlo estable al menos hasta las elecciones.El economista Orlando Ferreres, por caso, fue uno de los que lanzó críticas a la apreciación cambiaria. Analizó el nuevo esquema cambiario y puso paños fríos al optimismo que despertó la reciente baja del dólar. Advirtió que “no hay que festejar mucho la baja del dólar”, ya que con un tipo de cambio tan bajo “es difícil obtener aumento de reservas”.
Ferreres explicó que el objetivo del Gobierno de engrosar las arcas del Banco Central se complica si el valor de la divisa no favorece las exportaciones y la llegada de inversiones. Según su mirada, “con los préstamos recibidos tenemos más reservas, pero también más deuda, y no hay que olvidarse que en algún momento hay que devolverlos”. Por eso, insistió en la necesidad de generar un fuerte superávit comercial y atraer inversiones. “Para eso se requiere un tipo de cambio razonable”, sostuvo.
Ferreres apuntó a sectores clave como el campo, el petróleo y la minería como posibles generadores de divisas. A pesar del contexto internacional complejo, consideró que “la situación está buena y se podría aprovechar bien con tranquilidad”. En cuanto al traslado a precios por el ajuste cambiario, cuestionó que “los aumentos que las empresas grandes les pasaron a los supermercados no se justificaban”. Sin embargo, admitió que con un esquema en el cual el Banco Central no interviene mientras el dólar se mantenga entre mil y mil cuatrocientos pesos, “todos los precios pueden ser válidos”.
Mientras tanto, el mercado sigue a puro festejo. Los bonos soberanos en dólares y las acciones argentinas que cotizan en Wall Street (ADRs) extendieron su buena racha. El optimismo estuvo impulsado por los anuncios del viernes pasado.
Entre los ADRs se destacaron Irsa, con una suba del 4,9 por ciento; Cresud, con un 3,6 por ciento; y Grupo Financiero Galicia, con un 3,2 por ciento. A su vez, Vista Energy se disparó un 6,9 por ciento, sumando un alza del 18,6 por ciento en solo dos jornadas, tras anunciar la compra de la participación de Petronas en Vaca Muerta.
El economista Gustavo Ber interpretó este comportamiento como una señal de confianza del mercado ante la “auspiciosa expectativa que despierta la actual hoja de ruta económica”. También remarcó que “sigue creciendo el consenso entre los operadores de que el sector energético podría tener el mayor potencial de crecimiento entre las acciones argentinas”.",https://www.pagina12.com.ar/819061-el-mercado-sigue-de-festejo
Pagina 12,2025-04-17,"Operación ""nuevo IPC""","El Gobierno de Javier Milei quedó atrapado en su propia red de uso de datos de la inflación. Es que luego de casi un año rechazando hacerlo, la Casa Rosada quiere implementar ""cuanto antes se pueda"" la nueva metodología de medición de Precios al Consumidor. Esa nueva fórmula calcula el gasto de las familias con base en el año 2018, a diferencia de la actual que es de 2004, y hace que pese más el c",https://www.pagina12.com.ar/819047-operacion-nuevo-ipc
Pagina 12,2025-04-18,Precios: Caputo festeja abrazado a los supermercados,"El titular de Economía, Luis Caputo, celebró que una empresa alimenticia decidiera desestimar los aumentos que había informado en los últimos días. Además, destacó la decisión de los supermercados de no convalidar esos incrementos cuando llegaron las listas actualizadas, luego de la devaluación que el Gobierno nacional pactara con el FMI para obtener el préstamo.
""Molinos retrotrajo toda la suba de",https://www.pagina12.com.ar/819032-precios-caputo-festeja-abrazado-a-los-supermercados
Pagina 12,2025-04-17,Fábrica ceramista en crisis,"El desplome de las ventas paralizó la planta de Cerámica Cortines desde febrero y los propietarios presentaron un procedimiento preventivo de crisis por 180 días para reducir el personal un 40 por ciento y con posibilidades de extender la medida de cierre durante mayo.
Ubicada en la localidad de Cortínez, en Luján, provincia de Buenos Aires, la firma difundió un documento donde muestra la “baja sostenida” de la demanda que padece desde hace más de tres años: el 2021 comercializó 11.175.000 metros; en 2022, 9.100.000 metros; en 2023,  7.100.000; y en 2024, 4.840.000 metros.
Ante la retracción de más del 50 por ciento en las ventas, las autoridades de la ceramista avanzaron con la solicitud para que la delegación del Ministerio de Trabajo bonaerense habilite el planteo de reestructuración: en lo que va del 2025 sólo salieron al mercado 850.000 metros del producto.
El plan de reducción de la compañía, que hoy emplea a 329 personas, abarca el achicamiento del personal a poco más de la mitad, a través de retiros voluntarios y pago de indemnizaciones en cuotas.
“Como puede observarse, la disminución de las ventas ha sido de más de un 50 por ciento. Sin embargo y no ajenos a la coyuntura que vive la economía de nuestro país, a la caída del volumen de metros vendidos y proyectados a vender en este año 2025, se debe tener en cuenta el significante aumento en los costos tanto de materia prima como, y sobre todo, de los insumos esenciales para la producción como son la electricidad y el gas. Además de la alta presión impositiva existente en nuestro país”, afirma un documento de la compañía.
La firma asegura que está sobreestockeada porque no llega a “vender mensualmente ni un cuarto de las mercaderías necesarias para poder tan solo afrontar el pago de salarios”.
El escrito también pondera que la fábrica depende de la construcción, uno de los sectores “más perjudicados” por la política económica nacional, donde “reducen o anulan en muchos casos compromisos que habían asumido cuando la perspectiva de la actividad era otra”.
Otro de los puntos que considera como limitante para la continuidad productiva son los problemas de acceso al crédito “debido a que las tasas disponibles en el sector financiero son excesivamente altas”.
En ese sentido, advierte sobre la situación del empleo “en la realidad vigente” no solo de Cerámica Cortines sino de “todas las empresas” del rubro. En la región se encuentran buscando “alternativas para evitar suspensiones y despidos”, alertaron.
La firma manifestó que no le alcanzó con la suspensión por 90 días desde febrero y hasta fines de abril: “no han sido suficientes para paliar la situación que ahora se va haciendo cada vez más asfixiante y grave” y aseguró que para evitar llegar a un punto “irrecuperable” requiere la readecuación garantizando la estabilidad laboral de al menos el 60 por ciento de los trabajadores.
“Aquellos trabajadores que deban ser despedidos, respetando lo establecido legalmente según antigüedad y cargas de familia, serán indemnizados de acuerdo a la ley, pactándose un plan de cuotas para ello”, agregó el texto.
La propuesta incluye la convocatoria a “un acuerdo de paz social”, donde la empresa se compromete a conservar las fuentes laborales y el pago del 80 por ciento de los salarios siempre que no se efectúen “durante 90 días ninguna medida de acción directa o indirecta que afecte la actividad industrial y comercial del establecimiento”.",https://www.pagina12.com.ar/819022-fabrica-ceramista-en-crisis
Pagina 12,2025-04-17,Elogios del FMI a su mejor discípulo y principal deudor,"La directora del Fondo Monetario Internacional (FMI),Kristalina Georgieva, elogió al gobierno de Javier Milei por haber “logrado grandes avances”y garantizó que la Argentina, su principal deudor, recibirá la ayuda del organismo para“gestionar el ajuste macroeconómico” a cambio de más reformas.
“La situación de Argentina es un ejemplo de un país que ha logrado grandes avances a través de reformas estructurales y disciplina fiscal”, afirmó la funcionaria en las reuniones previas a la Asamblea de Primavera que el organismo realiza para delinear su política para el próximo año.
Durante su discurso, Georgieva destacó la política de ajuste fiscal de Javier Milei, que implicó vaciamiento del Estado, aumento del desempleo, devaluación del peso, estancamiento de los salarios y apertura de las importaciones en detrimento de la industria nacional.
La Argentina fue el único país que la directora del FMI mencionó en su alocución, durante la cualpronosticó que el crecimiento mundial tendrá “rebajas notables”, aunque “no recesión”, así como también “aumentos en las previsiones de inflación para algunos países"".
""La Argentina el año pasado tenía crecimiento negativo. La inflación estaba por las nubes y la pobreza crecía. Ahora se controlaron sus finanzas y el Gobierno actúa con mucha disciplina y firmeza con las reformas”, elogió Georgieva frente al auditorio.
Los elogios no son gratuitos. La mención de los supuestos logros del gobierno de La Libertad Avanza (LLA) fue hechaa horas del acuerdo FMI-Argentina por un nuevo programa de Facilidades Extendidas por 20 mil millones de dólares, con un adelanto inicial de 15 mil millones, que el Estado acarreará durante décadas de  condicionamiento externo.
La titular del Fondo también vaticinó que, de acuerdo al punto en que la economía se encuentra hoy,“las proyecciones de crecimiento para Argentina este año son del 5 por ciento"".
En este punto,garantizó que el FMI “ayudará a los países a gestionar el ajuste macroeconómico y a promover las reformas”que estén atadas a sus paquetes de préstamo.

“En la actualidad, 48 países dependen del apoyo de nuestra balanza de pagos, entre ellos Argentina, donde las sólidas reformas orientadas al mercado están ahora respaldadas por nuestro programa más reciente y de mayor envergadura”, agregó.
Con la versión del Gobierno en sus oídos, Georgieva sostuvo que la sociedad argentina ve en el gobierno de Javier Milei “un compromiso claro” para hacer reformas.“La gente apoya porque ve disciplina, compromiso y cumplimiento de promesas”por parte de la administración mileísta, concluyó.",https://www.pagina12.com.ar/818949-elogios-del-fmi-a-su-mejor-discipulo-y-principal-deudor
Pagina 12,2025-04-17,"El Gobierno eliminó el recargo del 30% para compras en dólares de Steam, Playstation y otras plataformas de videojuegos","El Gobierno anunció laeliminación del recargo del 30%aplicado a lascompras con tarjetas de crédito en dólaresrealizadas enplataformas de juegos online, como Playstation y Steam, entre otras.
Hasta ahora, las plataformas de gaming estaban alcanzadas por el 21% de IVA y una percepción del 30% a cuenta de Ganancias y Bienes Personales, lo que encarecía considerablemente las compras en dólares realizadas a través de servicios como Steam, PlayStation Network o Epic Games.
La medida fue confirmada por el vocero presidencial, Manuel Adorni, en sus redes sociales. ""Las plataformas de “gaming” son servicios digitales, y como tal estaban alcanzadas por el 21% de IVA y el 30% de percepción. ARCA acaba de firmar una RG por medio de la cualqueda eliminada la percepción del 30% en las transacciones que se realicen en dichas plataformas a través de tarjetas de crédito en moneda extranjera.

Gran noche para unas partidas de Counter Strike 1.6."", posteó en X.
La nueva resolución de Agencia de Recaudación y Control Aduanero (ARCA) aclara que la percepción del 30% seráeliminada para las transacciones con tarjetas de crédito en moneda extranjeravinculadas aservicios de juegos en línea.
En los considerandos, el texto señala que “por razones de administración tributaria resulta aconsejable adecuar el alcance del régimen de percepción del impuesto a las ganancias o del impuesto sobre los bienes personales”. La norma entrará en vigor a partir de su publicación en el Boletín Oficial.
Entre las plataformas de gaming que ya no estarán sujetas al recargo del 30%, Adorni mencionó las siguientes:
La normativa aclara que si los sistemas de los agentes de percepción no logran adecuarse a tiempo, cualquier percepción cobrada indebidamente será reintegrada en el próximo resumen o liquidación de la tarjeta.",https://www.pagina12.com.ar/818909-el-gobierno-elimino-el-recargo-del-30-para-compras-en-dolare
Pagina 12,2025-04-17,"Dólar blue, dólar hoy: a cuánto cotizan el jueves 17 de abril de 2025","Seguí en vivo las cotizaciones de todos los tipos de dólar para este jueves.


Por Mara Pedrazzoli
En marzo, el Sector Público Nacional (SPN) registró un superávit primario de 745,4 billones de pesos, mientras que el resultado financiero –luego del pago de intereses- dejó un saldo de 398,9 billones, según informó el Ministerio de Economía. Así, el pago de intereses de deuda pública neto de los intra-sector público contabilizó unos 346,4 billones de pesos. En el primer trimestre, el superávit primario equivalió a 0,5 por ciento del PIB y el financiero, a 0,2 por ciento. Menores subsidios económicos y programas sociales fueron clave para la baja del gasto.
Por Raúl Dellatorre
La preocupación en el sector industrial por las consecuencias de la nueva fase del plan del gobierno se vio acentuada esta semana al recibir las nuevas listas de precios de los insumos básicos para la actividad. Tras la implantación del nuevo régimen cambiario y la consecuente devaluación del peso, los aumentos resultantes promedian el 11/12 por ciento con respecto a los precios vigentes hasta la semana pasada, de acuerdo a un informe elaborado por sectores pyme de todo el país. La Asamblea de pequeños y medianos empresarios (Apyme) emitió una dura declaración en la cual condena la firma del acuerdo con el FMI, y advierte sobre las graves consecuencias para la producción nacional, el empleo y los ingresos de la población.

La Cámara de pymes Regionales productoras de Biodiesel (CEPREB) salió a pedir un aumento en el precio de los biocombustibles dado que ""la modificación del régimen cambiario afectó directamente a la industria y, en particular, a la del biodiesel, por lo que las Cámaras del sector solicitaron al gobierno un nuevo precio para poder seguir entregando biodiesel y evitar riesgos de desabastecimiento"".

La petrolera del ex titular de YPF, Miguel Galuccio, adquirió este miércoles los activos de Petronas en Vaca Muerta por 1.200 millones de dólares y se convirtió en el mayor productor independiente de petróleo en el país.

El Gobierno anunció laeliminación del recargo del 30%aplicado a lascompras con tarjetas de crédito en dólaresrealizadas enplataformas de juegos online, como Playstation y Steam, entre otras.
El Gobierno nacional dispuso quela Unidad de Información Financiera (UIF) ya no podrá promover ni ser querellante en causas de lavado de activos, una de las funciones clave para la cual había sido creada. La decisión que le hace el juego a la especulación y a la evasión le da también un revés a la intervención que pueda tener en materia de investigar el financiamiento del terrorismo o sobre causas que involucren armas de destrucción masiva.
Por Mara Pedrazzoli
El Gobiernoflexibilizó la importación de maquinariausada a través de la eliminación del Certificado de Importación de Bienes Usados (CIBU), como parte de las condicionalidades impuestas por el FMI. El CIBU regía desde hace más de tres décadas en el país y regulaba también el ingreso de maquinaria que fuera producida localmente.Hay preocupación por laimportación de máquinas agrícolas usadas y equipos para la extracción de petróleo y gas. La UIA, empresarios industriales pyme y diversas cámaras rechazaron la decisión porque induce a una competencia desleal.
Los bancos no abre ni este jueves ni mañana viernes por la celebración de Semana Santa pero quienes quieran comprar dólares tienen alternativas para hacerlo. Además de los opciones de lo que se conoce como dólar crypto, también están abiertas algunas casas de cambio que suelen atender a los turista. Otra opción es realizar la operación a través del home banking.
Por Leandro Renou
En pleno rebrote inflacionario, consecuencia de la devaluación que le impuso al Gobierno de Javier Milei el Fondo Monetario Internacional (FMI), un dato de la economía es lapidario: el consumo masivo, en marzo, cayó muy fuerte y acumuló 15 meses consecutivos en rojo. Así, es la primera vez en la historia que un Presidente queda a días de tener el gasto básico de los hogares caído en un año y medio entero. Un contexto que no ocurrió ni en los años del ajuste más fuerte y los tarifazos de Mauricio Macri.
El dólar oficial cotiza a $1110 para la compra y $1160 para la venta. Compra
El dólar blue está a $1220 para la compra y a $1250 para la venta.",https://www.pagina12.com.ar/818903-dolar-blue-dolar-hoy-a-cuanto-cotizan-el-jueves-17-de-abril-
