diario,fecha,titulo noticia,contenido,link
Pagina 12,2025-03-25,El blue llegó casi a $1.300 y el BCRA volvió a vender dólares por séptima ronda seguida,"Mientras toda la atención sigue puesta en lasnegociaciones con el FMI, las acciones y los bonos argentinos operan en forma dispar.
Los operadores siguen también en detalle laventa de divisas por parte del Banco Centralpara contener el mercado cambiario.
Así, en la rueda de hoy subieron el dólar blue, el MEP y el CCL (contado con liqui), avanzaron las acciones y cayeron los bonos.
El dólar blue volvió a escalar yse acerca a los $ 1.300. En esta rueda cotiza a $ 1.295,un salto de 15 pesos sobre el cierre del viernes pasado.
La tenencia alcista se replica con menos intensidad en los dólares financieros, que avanzan 0,3% en el caso del MEP, para llegar a$ 1.290, y 0,6% en el contado con liqui, para estirarse a$ 1.293.
En la reanudación operativa tras el feriado nacional por el Día de la Memoria, el Merval sube1,2%, a 2.466.776,02 puntos básicos.
Las acciones líderes que más avanzan son las de Sociedad Comercial del Plata (+6,5%), Grupo Supervielle (+6%), y Metrogas (+4,6%).
En Wall Street, en tanto, los papeles argentinos que más escalan son Grupo Supervielle (+7,3%); Banco Macro (+6,3%) y banco BBVA (+6%).
El Banco Central viene de vender el viernes 196 millones de dólares para contener al mercado. Hoy vendió US$ 109 millones; asíen las últimas 7 rondas operativas se desprendió de 1.300 millones de dólares.
Los mercados afrontaron una última semana agitada al reflotarse lostemores de una eventualdevaluacióncon el proyectado fin de las restricciones cambiarias (cepo) y las tensiones políticas, mitigadas parcialmente por un respaldo legislativo a la negociación con el Fondo.
En renta fija, la deuda local en moneda extranjera cotiza con mayoría de bajas. Las principales son para el Bonar 2041 (-1,2%), el Global 2038 (-0,8%), y el Global 2041 (-0,8%).
Elriesgo paísdel banco JP Morgan se movía en la zona de los 771 puntos básicos, contra las 769 unidades en el cierre del viernes.",https://www.pagina12.com.ar/813337-el-blue-llego-casi-a-1-300-y-el-bcra-volvio-a-vender-dolares
Pagina 12,2025-03-25,Cambios en cajeros automáticos: los bancos aumentan la comisión que cobran por retirar dinero,"Los bancos que operan en el país le comunicaron a sus clientes que a partir del 1º de mayoaumentan las comisiones que cobran por extraer dinero de un cajero automáticoque no pertenece a la misma institución bancaria. La fecha establecida en los comunicados, que comenzaron a enviarse en febrero,cumple con la normativa delBanco Centralque estipula que estas modificaciones se deben notificar con al menos 60 días de anticipación.
De todas maneras, losbancos no cobran por operar en los cajeros propiosy ciertos clientes están exceptuados del cobro de comisiones por retirar dinero en otros establecimientos, como por ejemplo los titulares de cuentas sueldo, previsional o planes sociales. En estos casos tampoco se diferencia por la red de cajeros, ya seaBanelcooLink.
ElBanco Galicia exhibió el aumento más fuerteal precisar sus nuevos valores, ya que la comisión que pagan los usuarios por retirar dinero en cajeros de otras entidades u otra red subirá de $2.700 a $5000, en ambos casos, lo que implica un alza del 117,39%.
En el caso del Banco Santanderel costo por retirar dinero en el cajero de otro banco también llega a los $5.000, mientras que en ICBC ronda los $2.200 y en BBVA los $2.300.
Otra de las instituciones que comunicó los ajustes en los costos es elBanco Provincia, que dispuso una suba del 20%para extraer efectivo en los cajeros de otra entidad pero de igual red, al pasar de $1.900 a $2.280, y para retirar dinero de cajeros de diferente red, trepando de $2.200 a $2.640.
Finalmente, elBanco Macro también dio a conocer los nuevos importesde las comisiones, con un alza del 9,9% para sacar dinero de los cajeros de distinta entidad pero de igual red, subiendo de $1.700 a $1.869,45, y para retirar efectivo en cajeros de diferente red, pasando de $1.893,65 a $2.081,20.",https://www.pagina12.com.ar/813305-cambios-en-cajeros-automaticos-los-bancos-aumentan-la-comisi
Pagina 12,2025-03-25,"Dólar blue, dólar hoy: a cuánto cotizan el martes 25 de marzo de 2025","Seguí en vivo las cotizaciones de todos los tipos de dólar para este martes.


La Unión Tranviarios Automotor (UTA) anunció unparo de colectivos para este próximo viernesen el Área Metropolitana de Buenos Aires (AMBA), de no resolverse el conflicto salarial durante la audiencia con los empresarios del sector. Los dueños de las líneas se amparan en una normativa de la Secretaría de Transporte de la Nación que estableció el congelamiento de los sueldos hasta junio de 2025.
El consumo de carne vacuna en Argentina alcanzó otro mínimo histórico desde que gobierna Javier Milei. Mientras los cortes continúan aumentando en mostrador, febrero mostró una caída per cápita del 5,4 por ciento interanual, el equivalente a2,8 kilos menos por persona. El dato mete presión a uno de los pilares de la gestión libertaria: la baja de la inflación.
Por Mara Pedrazzoli
Se necesitan cerca de 20 salarios para acceder a un automóvil 0 km en Argentina, según detalló un informe privado. Argentina es de los países más caros de la región en dólares, y esto no escapa al mercado de los automóviles a estrenar: en países como Chile, Brasil, Uruguay y Paraguay lo precios oscilan entre un 30 y 53 por ciento menos.
Por Mara Pedrazzoli
El costo de los servicios públicos para un hogar del Área Metropolitana de Buenos Aires (AMBA) sin subsidios trepó un 7,7 por ciento en marzo, según un estudio de la UBA. Se trata de un incremento tarifario que supera a la inflación acumulada en el trimestre, según las proyecciones relevadas por el Banco Central. El costo de los servicios sobre los salarios promedios alcanza al 11,3 por ciento en el tercer mes del año, y se explica principalmente por el boleto del transporte público.
Por Raúl Dellatorre
En diciembre de 1983 volvió la democracia, poniendo fin a la dictadura iniciada el 24 de marzo de 1976. Dejó víctimas de la represión, 30 mil desaparecidos, cientos de asesinados, muchos exiliados. Pero también dejó como saldo una reorganización de la economía nacional y de las relaciones de poder que perduraron en el tiempo, incluso hasta nuestros días. Un trabajo de investigación, muy profundo y vasto, que realizó Julián Zícari, acaba de ser publicado bajo el título ""Martínez de Hoz, el jefe civil de la dictadura"". En el libro, el ensayista plantea que la reforma económica fue el objetivo central de la dictadura militar, al cual la estrategia represiva funcionó como herramienta complementaria y ""disciplinadora"" de la sociedad, fundamentalmente en el sector sindical. En ese esquema de poder, su tesis es que José Alfredo Martínez de Hoz, ministro de Economía durante los cinco primeros años, ""fue el jefe civil de la dictadura, al que se subordinaba el resto, incluso Jorge Videla"".
Por Mara Pedrazzoli
El ministro de Economía, Luis Caputo, anunció quebajarán los aranceles a la importación de indumentaria, calzado y telas, luego de conocerse el índice de inflación de febrero. La decisión puso en alerta al sector, que denuncia “hace veinte meses que nuestros precios suben por debajo del IPC”. Luego de un año crítico en materia de ventas como fue 2024, la baja de aranceles aporta nuevas amenazas na la producción y el empleo. Las empresas y sindicatos del sector, e inclusive la Unión Industrial Argentina (UIA)rechazaron la medida, que aún no se activó.
""No es casual el extorsivo anuncio de sanciones por parte del Gobierno de los Estados Unidos que alcanzan a Cristina Fernández de Kirchner, Presidenta del Consejo Nacional del Partido Justicialista"", señala el Foro Economía y Trabajo en un documento publicado este lunes. Este espacio de debate, creado a iniciativa de sindicatos encuadrados en la Corriente Federal, en las dos CTA, y la UTEP más organizaciones pymes, advierte que la agresiva medida adoptada por la administrsción Trump contra CFK es una respuesta al pronunciamiento del interbloque de Unión por la Patria en la Cámara de Senadores en contra del DNU sobre el acuerdo de préstamo con el FMI. A la firme postura contraria al acuerdo del PJ, la administración Trump responde, casualmente, con una dura sanción a su titular.
""Es una vergüenza que va a quedar en la historia"", reaccionó Martín Guzmán ante la aprobación de parte de la Cámara de Diputados del DNU que autoriza al Poder Ejecutivo a endeudarse con el FMI. Con este aval el Gobierno no necesita conseguir los votos en el Senado ya que con la aprobación de una de las dos cámaras un decreto queda aprobado. El presidente Milei se salteó de esta forma a Ley 27.612 que había redactado Guzmán para que todo endeudamiento público en dólares deba ser autorizado por el Congreso.
El dólar oficial abrió a $1051 para la compra y $1091 para la venta.
Por Mara Pedrazzoli
Los días previos a la aprobación en la Cámara de Diputados del DNU que autoriza el acuerdo con el FMI, los mercados reaccionaron con volatilidad: los dólares financieros aceleraron el alza, mientras cayeron los bonos globales, reflejando la incertidumbre sobre una posible transformación del régimen cambiario antes o después de las elecciones de medio término.PáginaI12consultó a economistas sobre el tenor de estos movimientos y la fragilidad económica que advierten en el actual modelo. Este martes habrá una reunión clave del directorio del Fondo Monetario Internacional para tratar el caso argentino de manera informal, paso previo a su aprobación definitiva.",https://www.pagina12.com.ar/813235-dolar-blue-dolar-hoy-a-cuanto-cotizan-el-martes-25-de-marzo-
Pagina 12,2025-03-25,20 sueldos para llegar al 0 km,"Se necesitan cerca de 20 salarios para acceder a un automóvil 0 km en Argentina, según detalló un informe privado. Argentina es de los países más caros de la región en dólares, y esto no escapa al mercado de los automóviles a estrenar: en países como Chile, Brasil, Uruguay y Paraguay lo precios oscilan entre un 30 y 53 por ciento menos.
Comprar un auto 0 km es un desafío económico diferente de acuerdo al país. Factores como los impuestos, los costos de producción, la disponibilidad de financiamiento y el poder adquisitivo de los trabajadores hacen que el acceso a un vehículo nuevo sea menos accesible Argentina que en otros países. Según un relevamiento de la consultora Focus Market, el valor de un 0km en el país es de 24.674 dólares, contra 17.198 dólares en Uruguay, unos 12.129 dólares en Chile, 11.595 dólares en Brasil y 11.489 dólares en Paraguay.
""La diferencia de precios se explica en parte por la fuerte carga impositiva que enfrentan los autos nuevos en Argentina. Más de la mitad del valor de un 0 km en el país está compuesto por impuestos nacionales, provinciales y municipales. La combinación del IVA, los impuestos internos –con alícuotas de hasta el 35 por ciento– y aranceles de importación genera que el costo final de los vehículos sea significativamente mayor que en países vecinos, donde la presión tributaria es menor"" detallóDamián Di Pace,director de la consultora.
Pero luego de la decisión de eliminar los impuestos internos para los autos de entre 41 y 75 millones de pesos que pagaban una alícuota del 20 por ciento y reducir la alícuota para los autos de más de 75 millones de pesos del 35 al 18 por ciento se llegó a que los precios entre los autos más económicos y los de lujos se acercasen.
Por otro lado, según releva la consultora en base al Sistema de Información Online del Mercado Automotor de Argentina (Siomaa),en 2024 el Índice de Precios del Sector Automotor mostró un aumento del 67 por ciento en los valores de lista de los vehículos 0 km, muy por debajo de la inflación anual del 117,8 por ciento.“Dentro de este promedio, los autos livianos experimentaron un alza del 129 por ciento, los SUV un 67,7 por cientoy las pick-ups, un 63 por ciento”, detalla el informe de Focus Market.

Así, la comparación del precio de un automóvil 0 km respecto del poder adquisitivo del salario promedio en Argentina mostró que en2025 se necesitan 19,6 sueldos(promedios de 1.146.474 pesos) para adquirir un vehículo a estrenar. Este valor es el más bajo de los últimos años, si se compara con 2024, se redujo casi a la mitad. Además, destacan en la consultora, los planes de bonificaciones y descuentos en las terminales son muy importantes a la hora de definir el precio final de venta.",https://www.pagina12.com.ar/813074-20-sueldos-para-llegar-al-0-km
Pagina 12,2025-03-25,"""Vergüenza para la historia""","""Es una vergüenza que va a quedar en la historia"", reaccionó Martín Guzmán ante la aprobación de parte de la Cámara de Diputados del DNU que autoriza al Poder Ejecutivo a endeudarse con el FMI. Con este aval el Gobierno no necesita conseguir los votos en el Senado ya que con la aprobación de una de las dos cámaras un decreto queda aprobado. El presidente Milei se salteó de esta forma a Ley 27.612 que había redactado Guzmán para que todo endeudamiento público en dólares deba ser autorizado por el Congreso.
""Es una vergüenza este DNU y va a quedar en la historia"", dijo sin tapujos el ex titular del Palacio de Hacienda en el programa de Raúl Kollmann en Radio 10, y recordó que actualmente existe una ley –la mencionada de su autoría- que obliga al Ejecutivo de turno a enviar un proyecto de ley para habilitar esquemas de endeudamiento con organismos internacionales ""porque en Argentina ya pasó muchas veces que un Gobierno endeude al país y ya vimos las consecuencias en 2001, 2018"".
Además explicó que ""hay una regla del FMI (criterio 4) que dice que para que el Fondo pueda prestar tiene que haber un apoyo político amplio"", pero en este caso le prestará “a un Gobierno que eludió al Senado porque justamente no tenía apoyo político"". En ese sentido, adelantó que si el organismo autoriza los desembolsos en esas condiciones ""somos muchos los que vamos a considerar esa deuda como ilegítima"".
Sobre el uso de los fondos frescos, el ex ministro argumentó que hay ""un sector de la economía que generó retornos enormes"", principalmente ""los que especulan con instrumentos en pesos"", quienes ""hoy esperan que hayan dólares para salir"" y esto es lo que explica la ansiedad por recibir el préstamo del Fondo. “Si al Gobierno le estuviese yendo bien, no iría al FMI"", sostuvo: ""Esto ya pasó. Ya se gastaron 45.000 millones de dólares. Y hoy otra vez van por lo mismo"", recordó, en referencia al acuerdo con el FMI en 2018.

Guzmán aseguró queel acuerdo con el FMI ""básicamente es un préstamo político""y cuestionó que el presidente y los funcionarios no están dando las explicaciones necesarias sobre el destino que se le dará.El exministro calificó como ""un verso"" la defensa del préstamo que ensayó el Gobierno, asegurando que no aumentará el volumen de la deuda. ""Es una payasada"", reafirmó y fue por más: ""La deuda no es para que la Argentina prospere: no es para educación, ni ciencia y tecnología, ni para obra pública"".",https://www.pagina12.com.ar/813075-verguenza-para-la-historia
Pagina 12,2025-03-25,La guerra económica llegó a Argentina,"""No es casual el extorsivo anuncio de sanciones por parte del Gobierno de los Estados Unidos que alcanzan a Cristina Fernández de Kirchner, Presidenta del Consejo Nacional del Partido Justicialista"", señala el Foro Economía y Trabajo en un documento publicado este lunes. Este espacio de debate, creado a iniciativa de sindicatos encuadrados en la Corriente Federal, en las dos CTA, y la UTEP más org",https://www.pagina12.com.ar/813161-la-guerra-economica-llego-a-argentina
Pagina 12,2025-03-25,Tarifas suben más que la inflación,"El costo de los servicios públicos para un hogar del Área Metropolitana de Buenos Aires (AMBA) sin subsidios trepó un 7,7 por ciento en marzo, según un estudio de la UBA. Se trata de un incremento tarifario que supera a la inflación acumulada en el trimestre, según las proyecciones relevadas por el Banco Central. El costo de los servicios sobre los salarios promedios alcanza al 11,3 por ciento en el tercer mes del año, y se explica principalmente por el boleto del transporte público.
Un informe del Observatorio de Tarifas y Subsidios IIEP a cargo de la UBA-Conicet expuso que en marzo un hogar promedio del AMBA, sin subsidios, gastó 146.641 pesos para cubrir sus necesidades energéticas, de transporte y de agua potable en el hogar, lo que implica un7,7 por cientomás que en febrero, cuando se alcanzó un costo de 136.104 pesos. La suba registrada en el mes supera al aumento acumulado del IPC en el primer trimestre del año (6,8 por ciento, utilizando el dato proyectado del REM para marzo) y permite anticipar que la inflación minorista en marzo será empujada por este componente que desde hace un año crece por encima de la inflación general.
El IIEP sostuvo que los mayores costos se explican ""tanto por losincrementos en los cuadros tarifarios de todos los servicios públicos como por un aumento en las cantidades consumidas de energía eléctrica y gas naturalconforme a las variaciones estacionales"".
Al detallar la realidad de cada servicio, precisó que en lo que respecta alagua""se incrementa el cuadro tarifario a la vez que el consumo se ajusta por cantidad de días del mes"", indicando que ""marzo con 31 días marca una diferencia importante en el costo respecto los 28 días contabilizados en febrero"". En cuanto algas, especificó que ""se modifica el cuadro tarifario, aumentó 1,7 por ciento el cargo fijo y 1,7 por ciento el cargo variable, a la vez que se incrementan levemente las cantidades consumidas por estacionalidad"", mientras que en el caso de laenergía eléctrica, puntualizó que ""se incrementó el consumo de energía eléctrica respecto del mes anterior sumado al aumento en los cuadros tarifarios, 2,5 por ciento en el cargo variable"".
Por el lado de loscolectivos, el reporte recordó que se produjo un aumento del 10 por ciento en el valor del boleto en el AMBA a partir de marzo, impactando en el gasto final que le demanda a los usuarios utilizar el transporte público.
En la comparativa interanual, “el costo de la canasta total de servicios se incrementó 92 por ciento a partir de las actualizaciones de tarifas de transporte, energía eléctrica, gas natural y agua"", quedando por encima de la inflación estimada en el Relevamiento de Expectativas de Mercado (REM) del Banco Central, que precisó que ""el nivel general de precios tuvo un incremento del 54 por ciento en igual periodo"".
En este período, la desagregación por servicio del estudio mostró queel incremento más importante fue en la factura de gas(con un aumento del 537 por ciento)y en agua(con una suba del 330 por ciento), en tanto que la electricidad y el transporte experimentan variaciones menores (del 46 y 45 por ciento respectivamente). Estas disparidades se deben a que ""los aumentos tarifarios más significativos se realizaron en diferentes momentos entre diciembre de 2023 y junio de 2024"", sostiene el IIEP.
Al medir el comportamiento de las tarifas desde la asunción de la administración de Javier Milei hasta la actualidad, el IIEP reveló que ""en los 16 meses que vandesde diciembre de 2023 a marzo de 2025 la canasta de servicios públicos del AMBA se incrementó 429 por ciento mientras que el nivel general de precios lo hizo en 133 por ciento"".
El aumento de las tarifas de servicios públicos es un problema en tanto presiona sobre la inflación general y eleva los costos de producción, pero también porque los salarios de las familias no aumentan en la misma proporción de modo que se lleva una parte de este ingreso que no se vuelva al consumo doméstico. El informe del IIEP evaluó el peso de las tarifas en los sueldos puntualizando que ""la canasta de servicios públicos del AMBA de marzo representa el 11,3 por ciento del salario promedio registrado estimado del mes"".
En este sentido, afirmó que ""el peso del transporte representa el 41 por ciento del gasto en servicios públicos y es significativaente más elevado respecto de los restantes servicios”, remarcando que “el gasto en transporte es superior a la suma del gasto en gas y electricidad”.
La quita de los subsidios al pago de los servicios públicos conllevó un incremento del índice de cobertura del costo de los servicios por parte de la tarifa. Según el mencionado informe ""en los hogares del AMBA se pagan tarifas de servicios públicos que, en promedio, cubren el 54 por ciento de los costosy, por lo tanto, el Estado se hace cargo del 46 por ciento restante"". Además aclaró que ""esta cobertura es dispar entre segmentos de hogares y entre servicios"".

En este punto, advirtió que ""la cobertura tarifaria de los costos de la canasta de serviciosaumentó levemente luego de permanecer estable en los últimos cinco meses"", precisando que ""en marzo es 9 puntos porcentuales superior al promedio de los últimos 16 meses (46 por ciento) y se ubica envalores similares a los de octubre de 2024"".",https://www.pagina12.com.ar/813069-tarifas-suben-mas-que-la-inflacion
Pagina 12,2025-03-25,La UTA podría parar el viernes,"La Unión Tranviarios Automotor (UTA) anunció unparo de colectivos para este próximo viernesen el Área Metropolitana de Buenos Aires (AMBA), de no resolverse el conflicto salarial durante la audiencia con los empresarios del sector. Los dueños de las líneas se amparan en una normativa de la Secretaría de Transporte de la Nación que estableció el congelamiento de los sueldos hasta junio de 2025.
En caso de que la negociación por elaumento de sueldosque se llevará a cabo el miércoles en la Secretaría de Trabajo no se resuelva como esperan los trabajadores, la medida de fuerza que afectará el servicio de colectivos ocurrirá el viernes 28 de marzo.
“Obligados a parar”, se titula el comunicado del sindicato liderado por Roberto Fernández ante el fracaso paritario. El gremio sostiene que se ve empujado al cese de actividades por la falta de respuesta a favor de los trabajadores y responsabilizó al Gobierno por el conflicto en base a una normativa que restringe los aumentos en los salariales hasta mitad de año.
“No se sostiene más lafalacia oficialcon respecto a una inflación que no existe”, afirmaron los choferes.
De acuerdo con lo que indica el sindicato, luego de asistir a la tercera audiencia en la Secretaría de Trabajo, se fueron con las manos vacías ya que la resolución 8/2025 de la Secretaría de Transporte de la Nación estableció que los trabajadores representados no perciban incrementos de sueldo hasta junio de 2025.
""Los funcionarios de Transporte se esconden y nos llevan a un conflicto, sin resolver la estructura de costos y, con ella, el incremento salarial, proyectando la adecuada recomposición que los trabajadores merecen”, aseguró la UTA.
En ese sentido, advirtió que “de no alcanzar un acuerdo para los trabajadores representados en la próxima audiencia convocada para el miércoles 26, anunciaremos medidas para el viernes 28“.
De efectivizarse el paro, se sumarían dos días sin servicios de colectivos en menos de un mes, ya que la UTA confirmó su adhesión a la huelga general convocada por la Confederación General del Trabajo (CGT) para el 10 de abril. Durante el paro nacional el transporte de pasajeros tampoco circulará por 24 horas en ninguna provincia del país.
Se trata del tercercese total de actividadesconvocado por la CGT durante la gestión de Javier Milei en la presidencia. La medida tendrá como previa una movilización general el día miércoles 9 de abril, a partir del mediodía, para acompañar también la concentración de los jubilados en el Congreso Nacional. “Exigimos la libertad para negociar paritarias libres. Pedimos un aumento para los jubilados”, planteó Héctor Daer, integrante del triunvirato de la central obrera.",https://www.pagina12.com.ar/813171-la-uta-podria-parar-el-viernes
Pagina 12,2025-03-25,Carne vacuna para pocos,"El consumo de carne vacuna en Argentina alcanzó otro mínimo histórico desde que gobierna Javier Milei. Mientras los cortes continúan aumentando en mostrador, febrero mostró una caída per cápita del 5,4 por ciento interanual, el equivalente a2,8 kilos menos por persona. El dato mete presión a uno de los pilares de la gestión libertaria: la baja de la inflación.
La recuperación del poder adquisitivo no llega. Entre los productos tradicionales de la canasta de alimentos argentina que las familias debieron restringir se destacan las carnes rojas. Mientras en el segmento caen los números de producción, consumo interno e incluso exportación crecen como opción la demanda de pollo y cerdo.
El período febrero 2024-enero 2025 registróel consumo más bajo en las últimas tres décadas: 47,8 kilos per cápita al año.
Consumo
De acuerdo con el último reporte de la Cámara de la Industria y el Comercio de Carnes y Derivados de la República Argentina (Ciccra), en febrero el promedio anual por habitante quedó en 48,8 kilos:una retracción de 5,4 por cientorespecto al mismo mes del año anterior. De esta manera, en los últimos doce meses cada persona dejó de comer 2,8 kilos de cortes vacunos.
En la comparación bimestral respecto a 2024, cuando apenas iniciada la administración libertaria decidió devaluar el peso 50 por ciento y se desconocía el rumbo de la nueva gestión por “falta de experiencia de los funcionarios”, los números dan mejor.
El consumo aparente de carne vacuna habría ascendido en los meses enero y febrero a 392,7 mil toneladas res con hueso (tn r/c/h): 13,1 por ciento encima de igual período del año anterior. En términos absolutos, el consumo aparente habría sido 45,5 mil tn r/c/h superior en la misma relación, según el informe de Ciccra.
Producción
El leve repunte en las ventas de carne vacuna -sobre indicadores muy negativos de los primeros meses de Milei como presidente de la Nación- está lejos de equipararse a los números habituales del consumo de estos alimentos yse mantiene en mínimos históricos.
Entre febrero de 2024 y enero de 2025 el consumo interno del producto quedó en 47,8 kilos per cápita. El más bajo en tres décadas.
La retracción de las ventas y algunos temas estacionales provocaron unavariación negativa en la producción: cayó 1,7 por ciento en primer bimestre de 2025, es decir 499 mil tn r/c/h menos. Estas estimaciones concluyeron que en términos absolutos, la cantidad ofrecida de carne vacunase redujo en 8.500tn r/c/h con relación a un año atrás.
Como contracara, la faena de cerdo aumentó 4 por ciento en el mismo período y el pollo quedó por primera vez arriba de la carne vacuna en el ranking de consumo a nivel nacional, durante el último año.
Otro factor de impacto en la reducción de la producción fueeldesplome de las exportaciones a China, con caídas de 33,7 por ciento interanual en el primer bimestre: se enviaron 54 mil toneladas menos hacia los mercados internacionales.
Precios
La mejora parcial de las ventas de carnes rojas en carnicerías ocurre en un contexto de aumento de precios en todos los cortes: solo en febrerosubieron entre 7,6 por ciento y 13,6 por ciento. Y en marzo volvieron a sufrir remarcaciones.
""En la comparación mensual el proceso de desaceleración se interrumpió, principalmente debido a la suba de 12,1% del precio promedio de los cortes vacunos y a su elevada importancia en la estructura de ponderaciones del índice, lo que generó un aporte de 0,6% a la variación mensual"", explicaron desde Ciccra sobre el peso de los precios minoristas de la carne en la canasta de inflación.
El análisis de la cámara, detalló además que en febrerola nalga fue la que más aumentó(13,6%). Le siguieron el cuadril (13,1%), la paleta (12,6%), la carne picada común (11,3%), el asado (9,9%) y la caja de hamburguesas congeladas (3,5%). En cambio, el pollo entero registró un incremento de sólo 0,4 por ciento mensual.
La gestión de Milei sostiene como una de sus principales políticas económicas la reducción de la inflación. El febrero, el Índice de Precios que elabora el Indec mostró en “Alimentos y bebidas no alcohólicas” uncrecimiento de 3,2 por ciento intermensualempujado principalmente por el valor de las carnes rojas.",https://www.pagina12.com.ar/813180-carne-vacuna-para-pocos
Pagina 12,2025-03-25,Reunión clave del FMI y qué pasará con el dólar,"Los días previos a la aprobación en la Cámara de Diputados del DNU que autoriza el acuerdo con el FMI, los mercados reaccionaron con volatilidad: los dólares financieros aceleraron el alza, mientras cayeron los bonos globales, reflejando la incertidumbre sobre una posible transformación del régimen cambiario antes o después de las elecciones de medio término.PáginaI12consultó a economistas sobre el tenor de estos movimientos y la fragilidad económica que advierten en el actual modelo. Este martes habrá una reunión clave del directorio del Fondo Monetario Internacional para tratar el caso argentino de manera informal, paso previo a su aprobación definitiva.
“Está por verse si será una devaluación controlada o descontrolada”, afirmaRoberto Feletti,ex diputado nacional y ex Secretario de Comercio. Unadevaluación controlada“dependerá exclusivamente del acuerdo con el FMI y del monto involucrado, los rumores llegan a una cifra similar a lo que faltó desembolsar en el préstamo de Macri, es decir unos 11.000 millones de dólares, pero otros hablan de 20.000 millones”, en tanto unadevaluación descontrolada“es realizada por los mercados si se impacientan por la firma del acuerdo con el FMI”.
En esa dirección,Haroldo Montagú, director de la consultora Vectorial, señala que hay dos grandes dudas: “Primero, el monto total del préctamoy qué opina el mercado de este monto, si es más o menos de lo que el Gobierno dejó trascender, y en segundo lugar resta ver cómo serán los desembolsos, con qué frecuencia y las condicionalidades que exijan en materia de política económica”, esta falta de certezas augura la fragilidad financiera que vimos la semana pasada se mantendrá hasta concretar el acuerdo.
Pablo Moldovan, director de CP Consultora, pone el acento en el cambio de ciclo que anticipan las últimas ruedas en el mercado cambiario. “El Gobierno fracasó en conseguir los dólares faltantes en el mercado, y recordemos que hasta diciembre pasado las autoridades aseguraban que no firmarían ningún acuerdo con el FMI salvo que este aceptara a sus condiciones”, aclara, pero ahora la situación es la inversa y “no está claro que la firma de un acuerdo permita calmar las expectativas de los inversores o termine aumentando el problema del faltante de dólares como pasó en 2019”.
Esto ocurre, además, “en un mercado del dólar que es bastante complejo, que está dominado por los flujos financieros: el Gobierno controla los dólares paralelos con el saldo en divisas que deja el intercambio comercial de bienes y compra en el mercado oficial dólares por el flujo de deuda privada para hacer carry trade”. Pero con el anuncio del acuerdo con el Fondo empezaron a desarmarse posiciones de carry “posiblemente de exportadores e importadores en un número importante –el Central vendió 1.200 millones de dólares en las últimas seis ruedas- de modo que hasta el momento, con anuncios y sin precisiones,vemos que el salvataje del Fondo solo rompió el ciclo financiero”.
En este punto “el modelo depende muchísimo de lo que pase en el sistema bancario, de que la gente no retire los depósitos”, coincide en señalarMartín Burgos, director del Departamento de Economía del Centro Cultural de la Cooperación. También plantea que existe un riesgo a volver a esta misma situación en menos de un año “si ingresa el préstamo del FMI y se recomponen las reservas con una devaluación, pero al tiempo se deja otra vez el tipo de cambio fijo y no se realizan políticas productivas”.
ParaBianca Roldán, asesora financiera e investigadora en el CIHESRI, FCE-UBA, el Gobierno enfrenta el desafío de “mantener el actual esquema cambiario en un año electoral” y en este contexto lo que se conoció del anuncio tampoco lleva tranquilidad. “Se confirmó que la tasa del préstamo con el FMI sería superior a la de la deuda con el Banco Central, lo que eleva la carga del servicio de deuda y plantea un interrogante fundamental:¿cómo se garantizará el repago de estos compromisos sin agravar el deterioro de las reservas ni generar mayor presión sobre el tipo de cambio?”.
“El programa económico del Gobierno entró en una crisis clásica de sector externo, que estuvo retrasada por el éxito del blanqueo por 23.000 millones de dólares y el superávit comercial de 18.600 millones”, analiza Roberto Feletti. Pero el Gobierno con esos dólares “hizo lo mismo que en  2018: le pagó un diferencial importante a los agentes externos para que inviertan sus excedentes en pesos, y con un tipo de cambio anclado las ganancias en dólares llegaron a un 70 por ciento, eso le permitió al Central acumular reservas”. Pero ese ciclo se terminó porque “hoy las reservas del Banco Central están en 26.500 millones: apenas por arriba del peor registro que tuvimos durante la sequía de 2023”.

“El modelo económico no genera divisas sino que las gasta y cada vez más”, agrega Burgos. “La suba de precios del 2,4 por ciento en febrero es también un aumento de costos en dólares y pérdida de competitividad, lo cual alienta las importaciones y a gastar dólares afuera e irse de viaje”. En este sentido, también desde CP Consultora vienen señalando que el programa cambiario de 2025 es muy distinto del de 2024 y que “el anuncio del acuerdo con FMI revela de alguna manera esto”.",https://www.pagina12.com.ar/813065-reunion-clave-del-fmi-y-que-pasara-con-el-dolar
