diario,fecha,titulo noticia,contenido,link
Pagina 12,2025-02-26,Freno judicial a la conversión de Banco Nación en sociedad anónima,"La justicia federal de La Plata suspendió el decreto 116/2025, que ordenaba la  transformación del Banco de la Nación Argentina (BNA) en sociedad anónima yprohibiócualquier acción administrativa que conduzca en esa dirección hasta tanto no se resuelva la cuestión de fondo: es decir, la posible privatización. El fallo señaló además que cualquier cambio en la estructura jurídica de la entidad requiere la",https://www.pagina12.com.ar/806645-freno-judicial-a-la-conversion-de-banco-nacion-en-sociedad-a
Pagina 12,2025-02-26,Denuncian que Ingenio Ledesma despidió a 40 trabajadores y amenaza con 165 nuevas cesantías,"La empresaIngenio Ledesmadeclaróganancias por 39 mil millones de pesos el año pasadoy recibió el beneficio de laquita de retencionesa las economías regionales, en este caso el azúcar, sin embargo,despidió en las últimas horas a 40 trabajadores y amenaza con aplicar 165 nuevas cesantías, según denunció el Sindicato de Obreros y Empleados del Azúcar del Ingenio Ledesma (Soeail).
El gremio convasamblea de urgenciabusca ""condicionar las negociaciones paritarias 2025",https://www.pagina12.com.ar/806643-denuncian-que-ingenio-ledesma-despidio-a-40-trabajadores-y-a
Pagina 12,2025-02-25,"La actividad económica se contrajo un 1,8% en 2024","El Estimador Mensual de la Actividad Económica (Emae) de diciembre arrojó buenos y malos resultados para mostrar la continuidad del modelo de ajuste y ancla del dólar aplicado por el gobierno de Javier Milei. El dato del INDEC, mostró queel acumulado anual comparado con el de 2023 sigue ofreciendo cifras negativas: -1,8 por ciento;mientras que en la comparación interanual entre el primer diciembre de Milei y el último muestra un crecimiento del 5,5 por ciento.
El Emae también mostró una leve mejora del 0,5% respecto de noviembre pasado, o sea, en la medición desestacionalizada.La comparación del acumulado de 2024 contra el de 2023, que arrojó un -1,8 por ciento negativo; fue la más baja del año, y llegó a alcanzar un -5,2 por ciento en marzo.
El modelo también muestra algo que se viene repitiendo en el análisis del modelo de atraso cambiario, apertura de importaciones y quita de aranceles para las exportaciones:la recuperación económica se ve solo por sectores.Un dato significativo de la política economía del ministro Luis Caputo es que que laintermediación financiera fue la actividad de más crecimiento(18 por ciento) en la comparación con diciembre del año pasado.
Otros ocho sectores mostraron crecimiento interanual entre el primer diciembre de Milie y el último, según el Emae.Comercio mayorista, minorista y reparaciones (7,4%), industria manufacturera (6,7%), seguida por Comercio mayorista, minorista y reparaciones (7,4%).
En tanto, seis sectores de actividad registraron caídas en la comparación interanual, entre los que se destacanPesca (-25,0%) y Construcción (-7,2%). Las cámaras pesqueras vienen protestando por el incremento de los impuestos a la extracción y por haber quedado afuera del decreto que eliminó las retenciones a las economías regionales y la rebaja a los principales productos del agronegocio.
En tanto,la Construcción es un sector golpeado desde el inicio del gobierno, por la decisión de paralizar la obra pública. Otros sectores afectados directamentes por las decisiones de gobierno mostraron el impacto en el Emae de diciembre:Administración pública y defensa, planes de seguridad social de afiliación obligatoria (-2,5%)fueron las de mayor incidencia negativa.
El Indec arrojó otro dato que marca los efectos del sostener el dólar anclado.La cantidad de turistas internacionales que ingresaron a la Argentina registraron una baja del 20,1 por ciento interanual,mientras que las personas que salieron del país registró una suba del 73,2 por ciento interanual, según las estadísticas del turismo internacional realizadas por el organismo público de estadísticas.
Dentro del informe difundido por el INDEC, en enero del corriente añoingresaron al país 1.040.600 visitantes no residentes,que son aquellas personas que provienen de otro país y no tienen residencia en Argentina, por todas las vías de acceso. De ese número, 672.400 fueron turistas (visitantes que pasan al menos una noche en el lugar) y 368.100 fueron excursionistas (visitantes que no pasan al menos una noche en el lugar).
La mayor parte de los turistas no residentes llegaron desde Brasil (20%), Europa (18,8%) y Chile (14,4%).El 44% de los turistas no residentes llegó a Argentina a través de vía terrestre; el 43,6% lo hizo por vía aérea y el resto (12,4%) arribó por vía fluvial/marítima. En cuanto a salidas al exterior, 2.599.600 fueron visitantes residentes, personas que residen en el país, por todas las vías internacionales.
En cuanto a quienes salieron del país para por turismo, el 87,5% se dirigió hacia los países limítrofes:Brasil (32,8%), Chile (22,9%) y Uruguay (16,3%).El 66,7% de los turistas residentes salieron del país: 24,3% por vía aérea y 9,1% por vía fluvial/marítima.
Por el lado de visitantes internacionales, se registró unsaldo negativo de 1.559.000por todas las vías de acceso de acceso al país. Los visitantes residentes realizaron 2.599.600 viajes, mientras que los no residentes 1.090.600 viajes, en el mes de enero.
Dentro de la vía aérea internacional, en enero del 2025 se estimaron 293.400 llegadas de turistas no residentes al país, representando unadisminución interanual del 12,8%.
El 89,5% de estas llegadas se concentraron en el Aeropuerto Internacional de Ezeiza y el Aeroparque Jorge Newbery. Y las salidas al exterior alcanzaron un total de 466.6000 turistas residentes, marcando un incremento interanual del 51,8%. El 84,2% se concretaron en Ezeiza y Jorge Newbery.",https://www.pagina12.com.ar/806604-la-actividad-economica-se-contrajo-un-1-8-en-2024
Pagina 12,2025-02-25,Fuerte caída del Merval y el riesgo país alcanzó un nuevo máximo en el 2025,"Los mercados expertimentan caídas del4 por cientoen acciones líderes y lo mismo ocurre con los ADR en Nueva York y los bonos de la deuda.
El riesgo país se acerca a los750 puntos básicos, a la espera de novedades del Fondo Monetario Internacional (FMI), según especialistas del mercado financiero.
Así, los mercados siguensin tener un rumbo claroy se profundiza la toma de ganancias.
El índice líder deBYMAarrancó la jornada al alza, aunque rápidamente cambió de tendencia y cae 3,9% a 2.267.271,760 puntos básicos.
Entre las acciones líderes que más se desploman se encuentran: BYMA (-5,3%), Grupo Supervielle (-5,3%) y Edenor (-5,2%).
LosADRs, en tanto, tienen un desempeño similar: el que más baja es Grupo Supervielle (-5,6%), seguido por Edenor (-5,3%), y Banco Macro (-5%).
El mercado sigueexpectante en cuanto a novedades del acuerdo entre Argentina y el FMI, que aún no se concretan.
En la plaza local, losbonosen dólares que más descienden son el Bonar 2029 (-0,9%), el Bonar 2030 (-0,7%), y el Global 2041 (-0,7%).
Elriesgo paístrepa un 1,6% hasta los742 puntos básicos, según el índice que mide el JP Morgan.",https://www.pagina12.com.ar/806572-fuerte-caida-del-merval-y-el-riesgo-pais-alcanzo-un-nuevo-ma
Pagina 12,2025-02-25,La Justicia frenó la transformación del Banco Nación en Sociedad Anónima,"Eljuez federal Alejo Ramos Padillahizo lugar al pedido de una medida cautelar parafrenar el decreto del presidente Javier Milei que convertía al Banco Nación en una Sociedad Anónima, con claras intenciones privatizadoras.
""Celebramos el fallo del Juez Alejo Ramos Padilla del Juzgado Federal de La Plata quien acaba de suspender el decreto Nro 116/25 que transformaba el Banco Nación en Sociedad Anónima"", reaccionóel titular del gremio de los bancarios, Sergio Palazzo.
El fallo considera que el decreto sobre la entidad es probablemente""un paso previo a su posible privatización, en tanto permite prima facie el ingreso de capitales privados""y recuerda que el Banco Nación fue excluido explícitamente en la Ley Bases del listado de empresas pausibles de privatización.
La decisión del Gobierno ratificaba su intención de transformar las sociedades o empresas con participación estatal en sociedades anónimas y para ellocitaba el artículo 48 del DNU 70/2023, pero según el magistrado ese apartado ""no incluyó al Banco de la Nación Argentina”.
Ramos Padilla recordó que en una reciente resolución señaló ""para cambiar la condición jurídica del Banco Nación,establecida en su Carta Orgánica aprobada por Ley 21.799,se necesita una ley del Congreso de la Nación que lo declare sujeto de tal transformación"".
El decreto del Gobierno también mencionaba las facultades extraordinarias delegadas por la Ley 27.742, pero el juez señala que en su decreto""el Poder Ejecutivo Nacional podría haber excedido los límites establecidos por el Congreso de Nación al realizar la delegación de facultades"".
""El Banco de la Nación Argentina fue excluido de los entes sujetos a privatización luego de un largo debate en el seno del Congreso de la Nación. Una vez excluido el BNA de las entidades sujetas a privatización del proyecto de ley se alcanzó el consenso para aprobar 'la ley Bases', recuerda el fallo. Por ello considera que puede inferirse que el decreto 116/2025 estaría ""dictado en exceso"" porque ""la interpretación del alcance de la delegación fijada en el art. 3 de la 'Ley Bases' debe ser integrada con el resto de la norma, en especial con el capítulo “'II.Privatización'.
El BNA concentra el 18 por ciento de los depósitos privados y el 50 por ciento de los depósitos públicos, es decir que custodia casiun cuarto de todos los depósitos del sistema, según datos oficiales del Banco Central a noviembre de 2024. Además posee una importante cadena de sucursales, sumando 658 casas, que representan el 16 por ciento del total del sistema bancario.",https://www.pagina12.com.ar/806491-la-justicia-freno-la-transformacion-del-banco-nacion-en-soci
Pagina 12,2025-02-25,"Dólar blue, dólar hoy: a cuánto cotizan el martes 25 de febrero de 2025","Seguí en vivo las cotizaciones de todos los tipos de dólar para este martes.


Por Mara Pedrazzoli
La tasa de interés y el costo financiero total (CFT) que ofrece el programaCuota Simplees más económico que las “cuotas de mercado”, según calculó un informe privado. El CFT del Cuota Simple es del 60 por ciento mientras que el fondeo en tiendas de consumo o en plataformas comerciales supera al 170 por ciento anual.
Por Bernarda Tinetti
Luego de la decisión del Gobierno nacional que convierte Yacimientos Carboníferos Río Turbio (YCRT) en Sociedad Anónima, desde la Asociación de Trabajadores del Estado Nacional (ATE) aseguraron que el presidente Javier Milei quiere privatizar la empresa pero ""no va a lograrlo"".  “Intentos similares existieron en los ‘90, también en el 2008 y no pudieron. Hemos resistido permanentemente las propuestas de concesionaria, desguazarla y hasta dividirla en unidades económicas y pudimos mantenerla siempre en pie”, recordó Rodolfo Aguiar, secretario general de ATE nacional luego del anuncio.
Elcrédito en pesos al sector privadoen términos reales creció en diciembre 6,2 por ciento. Así lo precisó el último informe sobre bancos del Banco Central. En dicho documento se destaca el avance delíneas de consumo. A lo largo del 2024, la financiación en moneda local registró un aumento interanual del 49,4 por ciento en términos reales. Además,el saldo de crédito en moneda extranjera creció 16,8 por ciento en diciembrey se triplicó en comparación con el año anterior. El gobierno apuesta a que haya unsalto en los préstamos en moneda extranjera para el 2025y también de los pagos desde cuentas en dólares.
Por Mara Pedrazzoli
Las exportaciones de combustibles, en especial depetróleo crudo, aportaron unos 300 millones de dólares en enero de 2025versus igual mes de 2024. Así, estas operaciones realizaron elprincipal aporte al crecimiento de la balanza energética,que mejoró en 265 millones de dólares frente al año anterior. Las cantidades exportadas tuvieron un rol protagónico versus la dinámica de precios, que fue a la baja. A diferencia del superávit externo agregado, que se redujo en el primer mes,el balance energético mejoró.
Por Leandro Renou
El escenario es inédito, pero bastante lógico si se observa la escena completa.Aún con los indicadores de inflación en su nivel más bajo en años, la economía de las familias atraviesa el peor momento casi desde la crisis del 2001. El consumo masivo está planchado porque los costos fijos (tarifas y servicios) hasta triplican a la inflación anual; y los salarios, bastante por debajo del IPC y acumulando pérdida en los últimos dos años, no les dan márgen alguno a los hogares ni para comprar lo mínimo. Así, el mayor indicador del funcionamiento o no de la micro, sigue en terapia intensiva.

El Grupo Clarín, a través de Telecom, concretó ayer la adquisición de filial argentina de Telefónica por un monto cercano a los 1250 millones de dólares. De concretarse la compra, el grupo pasaría a poseer las marcas Movistar, Movistar TV, Tuenti y Telefónica, que se sumarían a Personal (que brinda telefonía celular e Internet hogareña en lo que era Fibertel) y Flow, que ofrece TV por cable y streaming. La operación fue anunciada por la empresa española, que a través de un comunicado aseguró que ""la transacción se inscribe en la estrategia del Grupo de reducir la exposición a la región y continuar operando de forma sostenible para construir valor para sus accionistas"".
El dólar oficial abrió a $1040,50 para la compra y $1080,50 para la venta.
Eldólar blue registró este lunes una suba de 10 pesos y terminó en 1240 pesos.El mercado sigue mostrando incertidumbre y volatilidad con el programa económico de Milei. Se trata de una situación que se acrecentó con la estafa de la criptomoneda $LIBRA. La foto de Milei con Donald Trump de finales de la semana pasada sirvió poco y nada para tranquilizar la ansiedad de los inversores.

El dólar oficial cotiza a $1040,50 para la compra y $1080,50 para la venta.
El dólar blue está a $1220 para la compra y a $1240 para la venta.",https://www.pagina12.com.ar/806482-dolar-blue-dolar-hoy-a-cuanto-cotizan-el-martes-25-de-febrer
Pagina 12,2025-02-25,"""No van a lograr la privatización""","Luego de la decisión del Gobierno nacional que convierte Yacimientos Carboníferos Río Turbio (YCRT) en Sociedad Anónima, desde la Asociación de Trabajadores del Estado Nacional (ATE) aseguraron que el presidente Javier Milei quiere privatizar la empresa pero ""no va a lograrlo"".  “Intentos similares existieron en los ‘90, también en el 2008 y no pudieron. Hemos resistido permanentemente las propues",https://www.pagina12.com.ar/806389-no-van-a-lograr-la-privatizacion
Pagina 12,2025-02-25,Las exportaciones de petróleo salvan el superávit externo,"Las exportaciones de combustibles, en especial depetróleo crudo, aportaron unos 300 millones de dólares en enero de 2025versus igual mes de 2024. Así, estas operaciones realizaron elprincipal aporte al crecimiento de la balanza energética,que mejoró en 265 millones de dólares frente al año anterior. Las cantidades exportadas tuvieron un rol protagónico versus la dinámica de precios, que fue a la baja. A diferencia del superávit externo agregado, que se redujo en el primer mes,el balance energético mejoró.
Un informe elaborado por el economista Nadin Argañaraz destacó la importancia del superávit energético, y en especial del impulso de las exportaciones de combustibles, sobre el balance externo, cuyo resultado se redujo en enero, anotando un superávit de 142 millones de dólares contra 784 millones en el primer mes del año anterior. Por el contrario, el resultado de la balanza energética mejoró, yalcanzó unos 678 millones de dólares en enero de 2025 contra 413 millones en enero de 2024.
Tal como explicóPágina 12, la merma del superávit comercial obedece al crecimiento acelerado que vienen mostrando las importaciones, a una tasa promedio del 25,2 por ciento según cifras oficiales, de la mano de larecuperación de los ingresos medidos en dólares y la eliminación de regulaciones al comercio.El crecimiento de las importaciones contrasta con la trayectoria negativa que tuvieron en todo 2024, con una caída del 19,2 por ciento en los primeros once meses.
La balanza energética muestra la tendencia inversa: las importaciones se agotan, la tasa promedio de caída fue del 53 por ciento en 2024 y este enero alcanzó un 32,5 por ciento, según datos del Indec. Ese descenso se explicó por una caída combinada de precios (10,7 por ciento) y cantidades importadas (24,5 por ciento).
Finalmente las inversiones en Vaca Muerta impactaron sobre la estructura productiva del país, permitiendo esta sustitución de importaciones por producción local que años atrás era impensada. Esto no quiere decir que se hayan completado las inversiones, por el contrario desde el sector encienden alarmas por las obras que faltan concretarse, especialmente para el transporte de los combustibles.
Pero el mayor impacto sobre la balanza energética provino de las exportaciones, que crecieron fuerte en el mes (y durante 2024) y lograron compensar el efecto deterioro por el nivel de precios. En enero de 2025, las cantidades exportadas de combustibles (mayormente petróleo crudo)aumentaron 33,7 por ciento mientras que los precios de exportación retrocedieron 7,9 por ciento, lo cual arroja una suba del 23,7 por ciento en valores en el primer mes. En enero las exportaciones de crudo representaron unos 534 millones de dólares.
Argañaraz estimó que al descomponer la variación de la balanza en dólares de la energía, se tiene queel efecto precio generó una caída de 34 millones de dólares mientras el efecto cantidades otorgó una suba de 300 millones de dólares. Estos hechos combinados arrojan una mejora de 265 millones de dólares que se tiene en la balanza energética si se compara el superávit de enero de 2025 contra el de 2024, como se presentó más arriba.
Además, sostiene el economista, el principal aporte en dólares vino por el lado de mayores exportaciones. Por el menor precio de la energía importada se ahorraron 28 millones de dólares en enero de 2025 y por la menor cantidad de energía importada el ahorro fue de 69 millones, con lo cual la suma da menos 97 millones de dólares. En tanto, en materia de exportaciones, las mayores cantidades exportadas compensaron el menor precio,siendo positivo el efecto sobre la balanza de dólares en 168 millones de dólares.
Esta tendencia al fuerte crecimiento de las exportaciones energéticas se verificó también, según el Indec, en el primer semestre de 2024 (último dato disponible) dondeel complejo exportador petrolero-petroquímico aportó 5.123 millones de dólares y se consolidó como el segundo en importancia, detrás del sojero y desplazando al automotriz de su histórico segundo puesto. Las exportaciones de este complejo alcanzaron en la primera mitad de 2024 un valor récord en la serie histórica que comienza en 2002. Los principales destinos de las ventas de todo el rubro petrolero-petroquímico fueron: del subcomplejo petróleo los Estados Unidos, del gas fue Chile, y del petroquímico, Brasil.",https://www.pagina12.com.ar/806361-las-exportaciones-de-petroleo-salvan-el-superavit-externo
Pagina 12,2025-02-25,El gobierno avanza en la liquidación del patrimonio público,"El Poder Ejecutivo nacional convirtió Yacimientos Carboníferos Río Turbio en sociedad anónima y anunció el saneamiento de la empresa antes de impulsar la venta.Desde el sindicatoadvirtieronque de avanzar en la privatización habrá una “pueblada”.
Se trata de una compañía emblemática que quedó en la lista de las empresas estatales habilitadas a privatizar, de acuerdo a lo que aprobó el Congreso durante el debate sobre la ley Bases. Yacimientos Carboníferos Río Turbio (YCRT) integra el Sistema Argentino de Interconexión (SADI) formado por tendidos de alta tensión que recolectan y transportan la energía eléctrica que se produce en el país para abastecer a las distintas regiones de Argentina. Es decir,resulta fundamental en el esquema de planificación energética nacional.
Desde la provincia de Santa Cruz, 2200 trabajadores de YCRT producen energía a través de una central termoeléctrica abastecida con carbón. La empresa es vital para la economía de las localidades santacruceñas de Río Turbio, 28 de Noviembre y Julia Dufour. El mismo carbón -del yacimiento más carbonífero más rico de la Argentina- es usado para calefaccionar miles de hogares de escasos recursos en la Patagonia, donde las temperaturas llegan a 20 grados bajo cero.
Al igual que como ocurrió con el Banco Nación, la decisión de transformar la central térmica de Río Turbio en sociedad anónima fue anunciada un rato antes de la medianoche por el vocero presidencial, Manuel Adorni, en la red X. “Nada de lo que no deba ser estatal permanecerá en manos del Estado. Que tengan todos un gran inicio de semana. Fin”, publicó el funcionario este domingo.
El posteo finaliza con el modismo habitual del vocero, quien además utilizó una frase clásica de los noventa en tono provocador.  En 1989, el ministro de Obras y Servicios Públicos de la Nación, Roberto Dromi, declamó el concepto fundante del proceso privatizador del gobierno de Carlos Menem, con un furcio que hizo historia: “Nosotros hemos ideado un decálogo que dentro de unos días se conocerá, es el decálogo menemista de la reforma del Estado. El mandamiento uno dice así:nada de lo que deba ser estatal permanecerá en manos del Estado…”. Comenzaba el proyecto de la convertibilidad y las empresas públicas fueron las fuentes de financiamiento de la paridad peso-dólar: el 1 a 1.
YCRT tiene capacidad de 240 megawatt. En 2015 se conectó por primera vez al SADI. De acuerdo a los expertos, una parte importante del déficit energético nacional se podría resolver con la mina y la usina funcionando a máxima potencia.
El Gobierno nacional sostiene que antes de ofrecer la compañía a la venta va a iniciar un período de “saneamiento” y los operarios se mostraron preocupados porque la palabra suele ser sinónimo de despidos. “2024 fue un año de ajuste y vaciamiento, que ahora está potenciado por el  intento privatizador”, denunciaron desde la Junta Interna de la Asociación de Trabajadores del Estado (ATE) en Punta Loyola.
Fundada en 1958 con el nombre Yacimientos Carboníferos Fiscales, fue privatizada en 1994 -cuando nada debía ser estatal- y volvió a manos del Estado en el año 2002.
Aunque se desconoce el plan que va a seguir el Ejecutivo, los pasos previos y la frase con la que se anunció la transformación en sociedad anónima pusieron en alerta a los trabajadores y a los sectores de la producción en la región patagónica.
La compañía está integrada por la mina carbonífera Río Turbio, el ramal Ferro industrial Río Turbio, una central eléctrica para uso interno de 21 megawatt y una central termoeléctrica en funcionamiento conectada al Sistema Interconectado Nacional. Estas centrales son las más rentables y estarían en la mira de por los menos tres grupos inversores que vienen dialogando con funcionarios del Gobierno. En septiembre del año pasado, Milei echó a Thierry Decoud, interventor de YCRT, investigado por supuestos pedidos de coimas. El acontecimiento se consideró como el primer caso de corrupción del gobierno libertario. La denuncia, encabezada por el gobernador de Santa Cruz, Claudio Vidal, incluía un presunto pedido de coimas de dos intermediarios entre la minera y la empresa Tegi Limited.
""Yacimientos Carboníferos Río Turbio gasta 34.000 millones por año y hace 20 años que no produce"", afirmó Adorni en conferencia de prensa y consideró “casta” que la población abone sueldos de empleados que “trabajan en una empresa que no produce”. Ante esta declaración, desde ATE Nacional advirtieron que el Gobierno ""es responsable"" porque mantiene paralizada la comercialización del carbón: en puerto de Punta Loyola tiene 45.000 toneladas acopiadas.
YCRT como parte del interconectado nacional tiene como función abastecer de energía a la población argentina. En la actualidad la capacidad de la usina es de unos 80 megawatt, que permiten sostener el consumo eléctrico de la provincia de Santa Cruz, pero está planificada la potenciación de las centrales para llegar a otros puntos del país.
Según indicaron los gobernadores patagónicos a principios de 2024, en un comunicado, las reservas del complejo “tienen stock suficiente para 500 años” y las cenizas que quedan en el residuo de la usina se pueden utilizar para la fabricación de bloques y ladrillos.
Eldecreto 115/2025fue publicado en el Boletín Oficial en la madrugada del lunes y establece que el personal de YCRT pasará a depender de la Ley de Contrato de Trabajo N° 20.744, preservando sus derechos adquiridos, con un plazo de 180 días para negociar un Convenio Colectivo de Trabajo.
Además, la norma otorga 60 días, prorrogables hasta 30 días más por única vez, para que la Carboeléctrica Río Turbio Sociedad Anónima eleve a la Secretaría de Hacienda el presupuesto correspondiente al año en curso y reduzca a lo indispensable “los aportes que el Tesoro nacional habrá de transferir para cubrir las necesidades financieras que no pudieran cubrirse con recursos genuinos de la sociedad”.
La representación de las acciones se distribuirá con un 95 por ciento a través de la Secretaría de Energía y un 5 por ciento de la Secretaría de Minería, que dependen del Ministerio de Economía, a cargo de Luis Caputo.",https://www.pagina12.com.ar/806391-el-gobierno-avanza-en-la-liquidacion-del-patrimonio-publico
Pagina 12,2025-02-25,"La ""maquinita"" de los bancos","Elcrédito en pesos al sector privadoen términos reales creció en diciembre 6,2 por ciento. Así lo precisó el último informe sobre bancos del Banco Central. En dicho documento se destaca el avance delíneas de consumo. A lo largo del 2024, la financiación en moneda local registró un aumento interanual del 49,4 por ciento en términos reales. Además,el saldo de crédito en moneda extranjera creció 16,8 por ciento en diciembrey se triplicó en comparación con el año anterior. El gobierno apuesta a que haya unsalto en los préstamos en moneda extranjera para el 2025y también de los pagos desde cuentas en dólares.
En el informe sobre bancos de la autoridad monetaria se precisa quela exposición bruta del sistema financiero al sector privado aumentó 2,5 puntos porcentuales en diciembre, alcanzando el 35,3 por ciento del total de activos de los bancos. Este crecimiento del crédito no generó un deterioro en la calidad de la cartera: la irregularidad del crédito al sector privado se mantuvo estable en 1,6 por ciento, con una morosidad de 0,8 por ciento en empresas y 2,5 por ciento en hogares. Para mitigar riesgos, las entidades financieras mantuvieron elevados niveles de previsiones, equivalentes al 168,4 por ciento del saldo en situación irregular.
El saldo real de los depósitos en pesos del sector privado aumentó 4,9 por ciento en diciembre, principalmente por losdepósitos a la vista que captaron el impacto del pago del medio aguinaldo.En tanto, los depósitos en moneda extranjera se redujeron levemente en el mes, aunque se duplicaron respecto a 2023 debido al efecto del Régimen de Regularización de Activos.
La liquidez del sistema financiero en moneda nacional representó el 35,9 por ciento de los depósitos en pesos, mientras que en moneda extranjera se ubicó en 72 por ciento. Ambos indicadores se redujeron en comparación interanual debido alincremento sostenido del crédito al sector privado.
En diciembre, la integración de capital del sistema financiero fue del 30,2 por ciento de los activos ponderados por riesgo, con un leve descenso respecto a noviembre. No obstante, el exceso de capital regulatorio se mantuvo holgado, alcanzando un 279 por ciento de la exigencia normativa y un 45,1 por ciento del saldo de crédito al sector privado neto de previsiones. Estos niveles superan ampliamente los promedios de la última década y reflejan la solidez del sistema bancario.
En cuanto a la rentabilidad,el sistema financiero acumuló un resultado equivalente al 4,1 por ciento del activo (ROA) y al 15,8 por ciento del patrimonio neto (ROE). Si bien estos niveles fueron inferiores a los de 2023, los bancos lograron mantener un desempeño positivo en un contexto de moderación económica en el segundo semestre del año.
Durante 2024, el uso de los medios de pago electrónicos se expandió considerablemente. Las transferencias inmediatas crecieron 48,7 por ciento en términos reales y 49,6 por ciento en cantidad de operaciones.
Además,los pagos con transferencias aumentaron un 60,4 por ciento interanual, consolidándose como una alternativa cada vez más utilizada en el comercioy los servicios. En el mismo sentido, el uso de Echeqs creció 24 por ciento interanual en volumen de transacciones.
Este avance de los pagos electrónicos responde a una mayor digitalización de las operaciones bancarias y al dinamismo en el uso que empiezan a experimentar las empresas y consumidores.
Los instrumentos de pago electrónico ofrecen una mayor seguridad y eficiencia en las transacciones diarias. Desde el gobierno apuestan para que este año parte de las transacciones en los comercios se puedan hacer contarjetas quedebitendirectamente desde las cuentas en dólares. Se busca que los comercios acepten cobros tanto en moneda local como en extranjera.",https://www.pagina12.com.ar/806382-la-maquinita-de-los-bancos
