diario,fecha,titulo noticia,contenido,link
Pagina 12,2025-04-30,Buscan ampliar el uso de dólares,"El ministro de Economía, Luis Caputo, dijo que “se terminó la época de la Argentina regalada en dólares” y anticipó que el Gobierno lanzará una batería de medidas para “fomentar el uso de los dólares”.
Las cotizaciones del dólar retrocedieron este martes levemente, en tanto que las reservas internacionales bajaron y los precios de los mercados bursátiles siguieron ajustando a la baja.
Caputo se most",https://www.pagina12.com.ar/822085-buscan-ampliar-el-uso-de-dolares
Pagina 12,2025-04-30,Vuelven a subir las tarifas de gas y luz en mayo,"A partir del jueves 1 de mayo,las tarifas de luz y gas volverán a subir, en este caso entre 2,5% y 3%. Desde el Gobierno rápidamente salieron a remarcar que el incremento está por debajo de la inflación minorista de marzo, que fue del 3,7%, y posiblemente también sea inferior a la suba de precios de abril, que todavía no se conoce.
Si se toma de forma aislada, el dato delatraso de tarifas respecto de la inflaciónpuede ser  alentador paralos salarios vuelven a quedar atrás de la dinámica de precios",https://www.pagina12.com.ar/821953-vuelven-a-subir-las-tarifas-de-gas-y-luz-en-mayo
Pagina 12,2025-04-30,El derrotero del consumo según la UBA,"El consumo sigue en números negativos durante la administración de Javier Milei, pese a que el presidente insiste en negar la realidad y los datos. En lo que va de su mandato, el consumo en puntos de venta mayoristas cayó 22 por ciento y en supermercados minoristas un 8 por ciento, según reveló un informe deCentro RA, perteneciente a laFacultad de Ciencias Económicas de la Universidad de Buenos Aires (UBA). Ese informe se pliega a los datos del propio Indec, de la Cámara de la Cámara Argentina del Comercio (CAC) y de consultoras especializadas como Scentia.
""Durante el Gobierno de Milei, las políticas de ajuste llevaron a una caída acumulada de casi el 22 por ciento en las ventas mayoristas y cerca del 8 por ciento para las ventas en supermercados” advierte el informe de esa prestigiosa casa de estudios. El reporte exhibe queel crecimiento económico registrado en los últimos meses no se trasladó a un repunte significativo del consumo masivo, si bien ""se observa una incipiente recuperación de la actividad económica por el lado de la oferta en algunos sectores productivos, principalmente comercio e industria"".
El centro de estudios de la UBA manifestó que ""esta mejora aún no permite recuperar ni una pequeña parte de la destrucción de actividad generada por los ajustes del Gobierno"", puntualizando que ""por el lado de la demanda, no se observa una recuperación sostenida de las ventas minoristas, y sí un deterioro aún mayor de las ventas mayoristas"".
Por su parte, el presidente Milei hizo una polémica declaración respecto de la información sobre el consumo: “Lo que está pasando es que está cambiando la modalidad de consumo.Si yo tuviera que mirar algo, yo miraría los balances de empresas que se dedican al comercio, al e-commerce, porque cambió la modalidad del consumo”. Para el presidente, “es falso que haya una caída del consumo. Si lo tomas por cuenta nacional, el consumo está volando"".
Pero desde el centro RA argumentaron que el deterioro del consumo “se debe en parte a la pérdida del poder adquisitivo de los salarios por el fuerte salto inflacionario producto de las políticas de ajuste al inicio del Gobierno y al aumento de las tarifas que produjo reasignación de ingresos de bienes de consumo a servicios básicos"".
LaCAC difundió días atrás su indicador del consumoy advirtió una caída del 1,1 por ciento en marzo respecto al mes anterior. Se trata de una medición muy amplia, que abarca todo el territorio nacional y distintos sectores. En línea con la CAC aparece el dato de Scentia, consultora especializada en consumo masivo, que verificó una caída del consumo en supermercados y almacenes del 5,4 por ciento interanual en marzo. Así, este segmento sumó quince meses de caída consecutiva.",https://www.pagina12.com.ar/821971-el-derrotero-del-consumo-segun-la-uba
Pagina 12,2025-04-30,Superávit en Nación y provincias,"En 2024 el Estado nacional y el consolidado de las provincias registraron superávit fiscal al mismo tiempo por primera vez desde 2006, según  un informe del Instituto Argentino de Análisis Fiscal (Iaraf).
El rendimiento de las cuentas públicas de las administraciones estatales durante las últimas dos décadas, de acuerdo al estudio, reveló que hasta 2010 la mayoría presentó superávit fiscal y entre 2011 y 2017 predominó el déficit para luego retomar los saldos fiscales positivos en la siguiente etapa.
Durante el período analizado, 2005/2024, la Nación tuvo superávit fiscal durante los primeros cuatro años, continuado por 15 ciclos consecutivos de déficit que solo se revirtieron en 2024.
En lo que respecta al total consolidado de las provincias junto con CABA, el reporte reflejó que ""se observa un resultado mayoritariamente negativo en los primeros 16 años del período: entre 2005 y 2020, 13 de esos 16 años arrojaron déficit fiscal"", y agregó que ""en 2021 y 2022 se alcanzaron saldos positivos, aunque en 2023 se volvió a registrar un déficit, situación que se revirtió al año siguiente"".
Analizando el desempeño provincial y de CABA, especificó que ""las jurisdicciones que acumularon mayor cantidad de años con superávit fiscal fueron San Juan (20), Formosa (19) y Salta (16)"". En contraposición, Buenos Aires se destacó con 20 años en rojo, seguida por CABA, Río Negro y Tierra del Fuego, cada una con 15 ejercicios deficitarios.
Sobre el resultado primario en cada jurisdicción, que por vínculo propio arrojó una dinámica similar a la variante fiscal: repitió el superávit hasta 2010, el déficit entre 2011 y 2017, y la vuelta a la senda positiva desde el siguiente ejercicio hasta la actualidad.
""El Gobierno Nacional mantuvo superávit primario durante los primeros 5 años, para luego encadenar 14 consecutivos de déficit primario. Finalmente, en el año 2024 se retornó al superávit primario"", afirmó el informe.
",https://www.pagina12.com.ar/822036-superavit-en-nacion-y-provincias
Pagina 12,2025-04-30,Sin acuerdo por salario mínimo,"El Consejo del Salario Mínimo, Vital y Móvil no llegó a un acuerdo este martes y decidió pasar a un cuarto intermedio. Esta falta de consenso refleja una vez más las enormes diferencias entre los representantes de los trabajadores y los empleadores, mientras el salario mínimo sigue perdiendo terreno frente a la inflación. En lo que va del año, el salario mínimo aumentó 3,5 por ciento, mientras que la variación de precios acumuló una suba del 8,6 por ciento.
La reunión del Consejo del Salario Mínimo tenía como objetivo definir el nuevo piso salarial y los montos mínimos y máximos de la prestación por desempleo. Sin embargo, las posturas volvieron a estar muy alejadas: las tres centrales obreras unificaron posuras y pidieron un aumento del 120 por ciento, llevando el salario mínimo a 644.165 pesos en abril y 657.703 pesos en mayo, mientras que el sector empresario ofreció solo 301.500 pesos para abril, 306.500 pesos para mayo y 311.500 pesos para junio, es decir, un incremento del 4,9 por ciento en tres meses.
Frente a esta habitual falta de acuerdo, el gobierno nuevamente tendrá  a su cargo disponer el nivel del salario mínimo, tal como lo hizo durante todas las etapas anteriores desde que asumió. La de este martes, fue la primera reunión del consejo del salario del año.
Según un informe reciente de CIFRA, desde la asunción del actual gobierno en diciembre de 2023, el salario mínimo ha perdido más de una tercera parte de su poder adquisitivo. Esto significa que con el mismo dinero, hoy se pueden comprar menos bienes y servicios que hace apenas 17 meses.
En febrero de este año, el salario mínimo representó menos del 20 por ciento del salario promedio registrado en el sector privado. Este porcentaje está muy lejos de la media histórica: en los años 90 llegaba al 25 por ciento, y entre 2006 y 2009 rozó el 45 por ciento.
Además, el salario mínimo actual es 44,1 por ciento más bajo que el valor real que tenía en noviembre de 2019, al cierre del gobierno de Cambiemos, y 57,3 por ciento inferior al nivel de 2015. Si el salario mínimo hubiera mantenido su valor real sin perder contra la inflación, hoy estaría cerca de los 700.000 pesos .
Pero hay más: el salario mínimo actual es incluso menor al que se registró durante gran parte de la década del 90 y la crisis final de la convertibilidad, cuando ya se había abandonado como herramienta efectiva para fijar pisos salariales.
La comparación con las canastas básicas también es contundente. Hoy, el salario mínimo alcanza apenas al 58,1 por ciento de la canasta básica alimentaria , que define la línea de indigencia para una familia tipo. Y solo cubre poco más del 25 por ciento de la canasta total de pobreza .
Es decir, ni siquiera sirve para acceder a lo necesario para salir de la pobreza. En algunos aspectos, la situación es peor que la registrada en el año 2001, uno de los momentos más críticos de la historia argentina.
Mientras tanto, el Indec publicó su índice de salarios correspondiente a febrero de 2025. En ese mes, los salarios crecieron en promedio un 3 por ciento , ganándole levemente a la inflación del mes, que fue del 2,4 por ciento .
El sector público lideró el avance, con un alza del 4,5 por ciento, impulsado principalmente por la paritaria docente. En cambio, el sector privado registrado creció un 2,3 por ciento, quedando por debajo del ritmo inflacionario.
En los últimos doce meses, los salarios registrados acumulan un aumento del 85,9 por ciento, unos veinte puntos por encima del incremento del Índice de Precios al Consumidor (IPC), que fue del 66,9 por ciento. Pero esto no se traduce en recuperación generalizada del consumo ni del mercado interno.
En cuanto a los salarios informales, por su parte, tuvieron un alza del 7,9 por ciento , aunque este dato corresponde a septiembre de 2024, con cinco meses de demora. A pesar de esa suba, siguen estando 34 por ciento por debajo del nivel de diciembre de 2017 .
Sin embargo, desde marzo de 2024, los salarios informales vienen mostrando una recuperación acumulada del 21 por ciento, algo que podría verse reflejado en una posible mejora en los datos de pobreza.
Algunos analistas indicaron que los trabajadores informales vienen moviéndose mejor que otros sectores, aunque con mucha lentitud en los ajustes. Por su parte, plantearon que el salario mínimo perdió toda su relevancia como política pública.",https://www.pagina12.com.ar/822054-sin-acuerdo-por-salario-minimo
Pagina 12,2025-04-29,"Cómo será la ""Black Week"" de los supermercados mayoristas","Una semana después delHot Sale, los días de ofertas a través de sitios de compras online, llegará la""Black Week"" de los supermercados mayoristas con el objetivo de vender productos básicos dealmacen, alimentos, limpiezas y otros con descuentos de hasta el 40%.
La iniciativa está comandada por la Cámara Argentina de Distribuidores y Autoservicios Mayoristas (CADAM) y las ofertas se darándesde el lunes 19 hasta el domingo 25 de mayo.
En tanto, elevento tiene como objetivo promover el consumo y fortalecer los lazos entre las industrias y los canales mayoristas, abarcando desde grandes mayoristas hasta pequeñas distribuidoras que abastecen a comercios de cercanía.
La acción busca impactar a más de 140.000 comercios de barrio a lo largo y ancho del país, en medio de un contexto donde los salarios se encuentran planchados, la inflación comienza acelerarse y el consumo cae estrepitosamente.
El consumo masivo sigue muy golpeado. El INDEC dio a conocer cifras de supermercados, mayoristas y centros de compra, con datos que muestran caídas o recuperaciones muy leves contra el año pasado, uno de los peores períodos de comparación.
En cuanto a supermercados,el índice de ventas totales a precios constantes registró una baja del 0,3 por ciento en febrero con respecto al mes previo. Mientras que en comparación con el mismo mes del año pasado, aumentaron un 1,5 por ciento.
Asimismo,en mayoristas la baja mensual fue del 1% y, en relación a febrero de 2024 se percibió un derrumbe del 9,1%, número muy alto.
En la otra esquina, los shoppings son los únicos con noticias positivas. Las ventas en los centros de compras aumentaron un 15% interanual en febrero, luego de que se alcanzaran $5.560 millones. Además, a precios corrientes, se registró una suba del 80,7%.
En la provincia de Buenos Aires se registraron aumentos deentre el 7 y el 10 por ciento en productos de la canasta básicaapenas producida la segunda devaluación de la gestión de Javier Milei en la presidencia, esta vez luego de firmar el acuerdo con el Fondo Monetario Internacional.",https://www.pagina12.com.ar/821957-como-sera-la-black-week-de-los-supermercados-mayoristas
Pagina 12,2025-04-29,Fracasó la reunión del Consejo del Salario: qué va a pasar con el Salario Mínimo,"La reunión delConsejo del Salario Mínimo, Vital y Móvil(SMVyM) que convocó a representantes de los sindicatos, del sector empresario y de la Secretaría de Trabajo, terminósin acuerdoeste martes por la tarde. Las partes no lograron fijar un nuevo piso salarial --que actualmente no llega a los $300.000--. Ahora la pelota quedó en la cancha de la cartera laboral, quedefinirá unilateralmente el monto del nuevoSalario Mínimola semana que viene.
Por la parte sindical, el pedido había sido deelevar el piso salarial a los $644.165 en abril y$657.703 en mayo, mientras que el sector empresario propuso que suba a $301.500 en abril, $306.500 en mayo y $311.500 en junio, según pudo confirmar Página|12. Como no se logró un acuerdo, la reunión virtual se dio por finalizada.
Ahora, la Secretaría de Trabajo se dará a la tarea de laudar el conflicto. Oficialmente, la resolución debería llegar en los próximos cinco días hábiles, pero como este jueves y viernes no habrá actividad (por tratarse de un día feriado y otro no laborable por elDía del Trabajador, respectivamente), se espera que la definición llegue elmiércoles o juevesde la semana próxima.
La última vez las partes se reunieron para discutir el piso salarial fue en diciembre 2024. En aquella oportunidad, los actores involucrados tampoco lograron un acuerdo yel Gobierno definió por DNU el incremento. En aquella oportunidad, la suba fue de un 9,30% a pagar en cuatro tramos.
De esta manera, el salario básico para los trabajadores que perciben sus ingresos de manera mensual pasó de $271.571 a $279.718 en diciembre, mientras que en enero llegó a los $286.711, en febrero subió a $292.446 yen marzo a $296.832.
Desde que La Libertad Avanza (LLA) asumió el poder, en diciembre 2023,todas las reuniones del Consejo del Salarioterminaron sin acuerdoy la definición quedó en manos de la Secretaría de Trabajo, que siempre ordenó aumentos por debajo de las expectativas de los gremios.
Esta problemática se suma a lapolítica de salarios pisadosque implementa el Gobierno nacional. En ese marco, la Secretaría de Trabajo no homologa de acuerdos paritarios rubricados entre los sindicatos y las cámaras empresariales que superen la pauta del 1% mensual. Al no contar con el visto bueno de la cartera laboral, las empresas no están obligadas a pagar los aumentos acordados.
Cuánto se necesita para no ser pobre
Para no caer bajo la línea de pobreza,una familia de cuatro integrantes necesitó$1.100.267 en marzo 2025, según la valorización mensual de la canasta básica total que mide el Instituto Nacional de Estadística y Censos (Indec). Estos datos representaron un aumento del 4% respecto del mes anterior. En tanto,para no caer en la indigencia, una familia tipo necesitó $495.616, un 5,9% más que en el mes de febrero, también según datos del Indec.
Seguir leyendo:",https://www.pagina12.com.ar/821941-fracaso-la-reunion-del-consejo-del-salario-que-va-a-pasar-co
Pagina 12,2025-04-29,Caputo dice que tiene una sorpresa para “fomentar el uso de dólares”,"""Se terminó la época de la Argentina regalada en dólares"", dijo esta mañana el ministro de Economía,Luis Caputo. Pero la idea no quedó muy clara porque, segundos después,anunció que el Gobierno lanzará una batería de medidas para “fomentar el uso de dólares”.
El anuncio fue hecho durante la Expo EFI 2025, donde el titular del Palacio de Hacienda se envalentonó con varias definiciones para vender ánimo. Dijo que “la inflación va a colapsar”, que“la economía está preparada para a crecer más del 6 por ciento, pero necesita nafta”, y hastase animó a prometer una baja en las tarifasde los servicios públicos, a pesar de que el mes próximo todos van a aumentar.
Pero la atención quedó puesta en un anuncio del que dio solo el título, sin agregar ningún detalle:""En las próximas dos semanas vamos a anunciar medidas que van a fomentar el uso de los dólares"", porque ""necesitamos que esta monetización se materialice para que la economía siga creciendo"", lanzó. Dijo que será “una medida que va a sorprender”.
""Necesitamos que esta monetización se materialice para que la economía siga creciendo"", sostuvo y enfatizó: ""Tenemos el desafío de remonetizar la economíaporque está en un nivel muy bajo. Está en menos de la mitad de lo que lo es normalmente"".
El anuncio a mediasfue un intento de respuesta al inmenso abanico de sectores que cuestionan el tipo de cambioy echan dudas sobre la política económica del gobierno de Javier Milei.
No obstante, primero intentó seducirlos pero terminó desafiándolos:“Se terminó la época de la Argentina regalada en dólares”, dijo y advirtió quelos sectores que sigan presionando para subir los precios (y la inflación) “se van a quedar afuera del mercado”.
También autoelogió la salida parcial del cepo cambiario e hizo una singular lectura del mercado cambiario.“Se mostró que (la salida del cepo) fue lo correcto porque no hubo ningún estrés y el dólar libre está tendiendo a converger a lo que era el oficial”, dijo casi a contramano de las reacciones del mercado.
El ministro consideró que este resultado fue posible por el previo ordenamiento de la macroeconomía. ""La secuencia fue a la inversa que a la salida del cepo en ‘la era Macri’ porque en aquel momento se salió primero del cepo porque había expectativa positiva, pero no se habían resuelto los problemas macro. Nuestro enfoque fue distinto, primeros resolvimos los problemas macro y luego sacamos el cepo.Por eso pudimos hacer un acuerdo atípico con el FMI"", explicó.
Obviamente, no perdió la oportunidad para jactarse del vaciamiento del Estado en favor del sector privado. Y lo dijo sin eufemismos:“Al bajar el gasto y terminar con la emisión monetaria, lo que hicimos fue devolverle los recursos al sector privado”. Y “al tener un estado más chico, ustedes tienen que poner menos plata para bancar al Estado”, añadió.
Por otra parte,Caputo defendió la cuestionada decisión de transferirle utilidades del Banco Central al Tesoro Nacionalque había generado polémica entre los economistas. ""Son utilidades genuinas producto de la baja del riesgo país y no vamos a usar esa plata para financiar gasto sino que será reserva parta cancelar deuda en caso que los bancos no refinancien 100 por ciento de la deuda en pesos porque están orientados a prestarle al sector privado"", explicó.

Caputoexhortó a los empresarios, financistas e inversores presentes a que se saquen ""de la cabeza el chip de que Argentina a es lo mismo de siempreporque hay un cambio fundamental. La baja del costo argentino no viene más por devaluaciones. La baja viene por cuatro factores: seguir bajando impuestos, desregulando y abrir la competencia y desde el sector privado hay que volver a invertir"", concluyó.",https://www.pagina12.com.ar/821854-caputo-dice-que-tiene-una-sorpresa-para-fomentar-el-uso-de-d
Pagina 12,2025-04-29,"Dólar blue, dólar hoy: a cuánto cotizan el martes 29 de abril de 2025","Seguí en vivo las cotizaciones de todos los tipos de dólar para este martes.


Luego de que la inflación se disparara al 3,7 por cientos en marzo y la liberación del cepo cambiario, es más que una realidad que hubo un aumento de precios en las últimas semanas en toda clase de bienes y servicios. En este marco,a mediados de mayo se lanzará una nueva edición del Hot Sale, el evento de comercio electrónico con descuentos y cuotas,en la que muchos argentinos y argentinas buscarán desde abastecer su heladera o darse un gusto. ¿Cuándo serán estos días de ofertas online?
Por Bernarda Tinetti
Durante el primer año de gobierno de Javier Milei,la industria manufacturera destruyó 30.657 puestos de trabajodebido a la crisis que la atraviesa y se extiende a la mayoría de las ramas: casi el 70 por ciento despidió empleados. Las más afectadas son automotriz, textil y electrónica.
Por Bernarda Tinetti
La actividad económica registró unretroceso en la medición mensual de marzo luego de diez meses consecutivos sin mermas, anticipó la consultora Equilibra. La serie desestacionalizadahabría caído 1,0 por ciento intermensualdurante el mes pasado, de acuerdo al adelanto del Estimador Mensual de Actividad Económica (EMAE) difundido por Equilibra.
Por Miguel Pesce
La Ciudad de Buenos Aires es el distrito más rico del País. Asimismo, es el que mayores aportes netos realiza al sistema de Coparticipación Federal de Impuestos. Sus ingresos presupuestarios provienen sustancialmente de sus propios recursos tributarios. En el año 2024 los ingresos corrientes se ubicaron en el orden de los 10.000 millones de dólares.
El Gobierno oficializó este lunes elaumento del 3,73% para jubilados y pensionados, de acuerdo a la inflación de marzo. De este modo,la jubilación mínima pasa a ser de 296.481 pesos,la cual se complementa con elbono de 70.000 pesos, que cumplirá quince meses consecutivos sin modificaciones,pese a la inflación del período.
El gobierno de la Ciudad Autónoma de Buenos Aires informó queaplicará un nuevo incremento del orden del 5,7% en las tarifas de colectivos, subte y peajesen el comienzo de mayo como parte del esquema de subas mensuales vigente para este año. Como los colectivos que circulan en el AMBA harán lo propio en un 5,9%, se sigue ampliando la brecha respecto de los que circulan por ambos distritos y corresponden por tanto a la jurisdicción nacional.
La economista Florencia Iragui, de la consultora LCG, subrayó que el aumento en carnes y lácteos explica el 75% de la suba de la inflación en alimentos de abril que sería en torno al 3,4%. “La carne a la cuarta semana tenemos un promedio de aumento de 6,9%. Va a haber que seguirlo. La carne es algo muy pesado en la canasta de los argentinos porque eso afecta bastante a la inflación”, señaló Iragui de la consultora LCG que realiza seguimientos de precios semanales.
Mientras el Gobierno negocia empresa por empresa para tratar de convencerlos de que no pasen a precios la devaluación de la salida del cepo cambiario, hay rubros que ya están aumentando mucho más de lo esperado. El caso más emblemático es el de la carne vacuna, que subió más de 30 por ciento en menos de un mes y presiona hacia arriba el indicar de inflación del mes de abril.

YPFanunció este martes quebajará los precios de sus combustibles un 4%a partir del próximo jueves 1 de mayo. La medida, confirmada por el presidente de la compañía, Horacio Marín, impactará sobre lanafta y el gasoil.

""Tenemos el desafío de remonetizar la economía porque está en un nivel muy bajo”, justificó el ministro en una conferencia. Ratificó la senda del atraso cambiario al afirmar que “se terminó la época de la Argentina regalada en dólares” y adelantó que habrá un anuncio dentro de las próximas dos semanas para aumentar la circulación de la divisa estadounidense.",https://www.pagina12.com.ar/821827-dolar-blue-dolar-hoy-a-cuanto-cotizan-el-martes-29-de-abril-
Pagina 12,2025-04-29,YPF anunció que baja los precios de la nafta y gasoil un 4%,"YPFanunció este martes quebajará los precios de sus combustibles un 4%a partir del próximo jueves 1 de mayo. La medida, confirmada por el presidente de la compañía, Horacio Marín, impactará sobre lanafta y el gasoil.


Según declaraciones del propio Marín, el recorte será en“promedio del 4 por ciento” en todas las variedades de nafta y gasoil que ofrece la empresa.
YPF detalló que la decisión de retrotraer los precios obedece al""análisis permanente de una serie de variables clave querealiza la compañía 
para definir su política de precios"".  Entre estos factores,  destacóla evolución del precio internacional del crudo Brent—referencia principal para el mercado local—,la cotización del tipo de cambio, la carga impositiva vigente y el precio de los biocombustibles.
Si bien los precios exactos aún no fueron detallados por la compañía, tomando como referencia los valores actuales en la Ciudad de Buenos Aires (que sirven como indicador para otras regiones), una baja promedio del 4% podría significar una reducción de alrededor de $49 por litro en la nafta súper y de $60 por litro en la nafta premium, por ejemplo.
Por el momento,se desconoce si el resto de las petroleras seguirán la línea a la bajade YPF y recortarán sus precios.
Precios de referencia actuales de YPF en CABA (abril 2025):
Posibles precios estimados con la baja del 4% (a partir del 1 de mayo):
Este recorte de los precios anunciado por YPF se da en el marco de unafuerte retracción de la ventasde combustiblesen estaciones de servicio. Enmarzo, tras unacaída consecutiva de 15 meses, los despachos crecieron un 0,89 por ciento interanual.
Y si bien el consumo de nafta se recuperó 3,51 por ciento, el de gasoil se contrajo 2,34 por ciento en relación con igual mes de 2024.
Lanafta Premium obtuvo la mejor performance,con un aumento interanual del 17,74 por ciento. Mientras que las ventas al público de gasoil grado 3, con bajo contenido de azufre, registraron incrementos del 11 por ciento. Ambos productos están asociados a losvehículos de alta gamaque vienen con la recomendación del uso de estos combustibles.
Por su parte, en marzocayeron la nafta súper (0,64 por ciento) yel gasoil(9,46 por ciento).
Seguí leyendo:",https://www.pagina12.com.ar/821822-ypf-anuncio-que-baja-los-precios-de-la-nafta-y-gasoil-un-4
