diario,fecha,titulo noticia,contenido,link
Pagina 12,2025-03-12,La construcción mejora pero sigue lejos de la planta baja,"Laventa de insumos para la construccióncreció 4 por ciento en febrero respecto a igual mes del año anterior, pero si se comparacontra febrero de 2023 todavía se encuentra un 17 por ciento por debajo. La comparación contra 2024 puede no resultar adecuada ya que la actividad estaba en un piso debido al impacto que tuvo la devaluación del 118 por ciento apenas asumió Milei sobre el precio de los insumos.
Los datos surgen del último informeConstruya, que en la comparación contra el mes anterior anotó un aumento en la venta de insumos del 6,9 por ciento. En 2024, la actividad se contrajo 27,2 por ciento según esta medición.
""Las ventas de materiales para la construcción durante el mes de febrero dejan vislumbrar unaleve mejoría, esperamos que esto continúe de esta manera y que la construcción comience a crecer"", explicaron desde Construya para la última medición. Esta anticipa por un mes los datos que publica el Indec: la semana pasada se difundieron las estadísticas oficiales sobre laconstrucción en enero.La información de Construya no permite todavía augurar un cambio de ciclo, ya que si se contrasta las ventas realizadas en el sector contra el último año de crecimiento los niveles en 2025 todavía son bajos.
El Índice Construya mide la evolución de los volúmenes vendidos al sector privado de los siguientes insumos para la construcción: ladrillos cerámicos, cemento portland, cal, aceros largos, carpintería de aluminio, adhesivos y pastinas, pinturas impermeabilizantes, sanitarios, calderas y sistemas hogareños y centrales de calefacción, grifería y sistemas para conducción de agua y gas, pisos, revestimientos cerámicos y materiales eléctricos y electrónicos. La demanda proviene de empresas líderes para el sector como Loma Negra, FV Grifería, CEFAS - El Milagro, Cerámica San Lorenzo, entre otras.
La medición para febrero de 2025 arrojó un aumento en las ventas del 4 por ciento contra febrero de 2024,pero esta variación puede verse afectada porque se realiza contra meses de caída muy fuerte como fue el primer trimestre de 2024. Por eso, si la comparación se realiza contra el último febrero de crecimiento, es decir contra febrero de 2023, se advierte una caída del 17 por ciento.
A su vez,la medición acumulada en 12 meses dio cuenta de un aumento de apenas 1,6 por ciento en el período, marcando la primera variación positiva en 15 meses, aunque la magnitud no es muy grande.
En 2024 la actividad se contrajo un 27,2 por ciento de acuerdo a esta medición, producto de la suspensión de la obra pública impulsada por el Gobierno Nacional para conseguir el superávit de las cuentas públicas de la peor manera, y también se vio afectada por la suba de los costos en dólares luego de la devaluación de diciembre de 2023.
Como correlato de lo anterior,a lo largo del año pasado se perdieron 40.849 puestos de trabajo registrado en el sector de la construcción, según la última información revelada por Indec: la plantilla laboral se redujo un 16,9 por ciento en el año solo en el empleo formal.
A su vez, la encuesta cualitativa a las grandes empresas del sector que acompaña los datos del Indec reveló un horizonte inciertopara el períodofebrero-abrilde 2025. El 69,2 por ciento de las empresas que realizan principalmente obras privadas previó que el nivel de actividad no cambiaría, mientras que 18,7 por ciento estimó que aumentaría y el 12,1 por ciento, que disminuiría. Entre las empresas dedicadas fundamentalmente a la obra pública, 47,8 por ciento opinó que no habría modificaciones, mientras que 31,1 por ciento creyó que aumentaría y 21,1 por ciento, que bajaría.",https://www.pagina12.com.ar/809986-la-construccion-mejora-pero-sigue-lejos-de-la-planta-baja
Pagina 12,2025-03-12,Vicentin: Paro total de aceiteros en plantas y puertos,"Los trabajadores aceiteros iniciarán a partir de las 6 horas de la mañana de este miércoles, en todas las plantas y puertos aceiteros del país, una medida de fuerza conjunta de la Federación Nacional y el Sindicato de Obreros y Empleados Aceiteros (SOEA) San Lorenzo, ""ante la falta de acuerdo en la negociación colectiva salarial del sector, el incumplimiento salarial de Vicentin SAIC y el incumplimiento de los derechos laborales en Explora SA Puerto San Martín"".
En un comunicado conjunto de las dos organizaciones gremiales (a nivel local y nacional), se informó este martes que ""ante la decisión de la CIARA (cámara industrial aceitera)  y las empresas aceiteras de dilatar la negociación paritaria y las diferentes acciones en contra de las y los trabajadores que encabezan firmas como Vicentin, que no pagó los salarios, y Explora, que despidió a 2 trabajadores, iniciamos una Huelga Nacional Aceitera"".
Así lo definieron ambas organizaciones, conjuntamente con los cuerpos de delegados de las empresas aceiteras y de biodiesel de todo el país, tras una reunión convocada por la Secretaria de Trabajo en la tarde de este martes que no arrojó ningún resultado. Los trabajadores de Vicentin (alrededor de un millar) cobraron esrte lunes apenas el 30 por ciento de su salario del mes de febrero, sin que la empresa (en estado de convocatoria de acreedores) ni siquiera se comprometiera a fijar una fecha para la liquidación del resto adeudado.
Por otra parte, el gremio recordó que, ""vencido el 31 de diciembre de 2024 el acuerdo salarial de la paritaria aceitera, hace más de dos meses que están demorando el diálogo con propuestas irrisorias o que son, directamente, una falta de respeto hacia los trabajadores que día a día producimos en las plantas de todo el país, rompiendo con la negociación que venimos realizando hace largos años"".
""Por estas razones--agregan--, esta medida es exclusiva responsabilidad de las cámaras y las empresas del sector que llevan adelante un grave e ilegal avasallamiento de los derechos de los trabajadores y trabajadoras aceiteras"".
""El accionar patronal, que impacta directamente sobre nuestros salarios, se parece demasiado a una revancha patronal, donde pretenden combinar el ajuste salarial y la militarización de plantas, como ocurrió en Explora"", señalaron las dos organizaciones gremiales, que además informaron que ""en el día de hoy (martes), ante la Secretaría de Trabajo, Vicentin ha manifestado que tiene contratos con empresas como Bunge y ACA “por doce años, los cuales garantizan el pago de los costos de producción y los salarios. Estos contratos se harían operativos una vez homologado el acuerdo preventivo de acreedores”, acuerdo que ha sido rechazado por el Juez del concurso y por la Corte Suprema de Santa Fe"".
""Es claro el grosero accionar extorsivo de las empresas aceiteras, quienes utilizan a los trabajadores y sus necesidades como rehenes de sus disputas por quedarse con una torta más grande del negocio"", sostienen.
Por su parte, CIARA emitió un comunicado al caer la tarde, en el que ""expresa su profundo rechazo a la decisión sindical de paralizar todas las actividades de la industria aceitera y exportadora del país por un conflicto sindical del que resulta absolutamente ajeno"".
""Son Vicentin y los sindicatos quienes deben resolver el asunto; establecer una mesa de trabajo y alcanzar los entendimientos necesarios y posibles, pero sin alterar el normal funcionamiento de toda la agroexportación"", afirman, colocándose al margen del problema.
En relación a la negociación paritaria demorada, indica CIARA que ""en este preciso momento, nos encontrábamos en conversaciones con los sindicatos para realizar las actualizaciones salariales de este año (...). Desde CIARA hemos confirmado que ningún trabajador aceitero tendrá mejoras de ingresos inferiores a la inflación anual, dado que los salarios se irán ajustando con el índice de Inflación"".{
El sector patronal va en busca de imponer una conciliación  obligatoria de la Secretaría de Trabajo de la  Nación que obligue a la dirigencia sindical, encabezada por Daniel Yofra, a levantar la medida de fuerza.",https://www.pagina12.com.ar/810038-vicentin-paro-total-de-aceiteros-en-plantas-y-puertos
Pagina 12,2025-03-12,Fuerte suba de los créditos en dólares,"Loscréditos de parte del sistema bancario tanto en pesos como en dólaresse incrementaron nuevamente en febrero. En particular, el mayor avance se da en lospréstamos en dólares, que el gobierno fomenta porque tiene impacto positivo en las reservas internacionales. Sin embargo, ese efecto es temporáneo: al momento de ladevolución del crédito, caerán las reservas del Banco Centralen la misma proporción en la que habían crecido. Por otro lado, los créditos en dólares para agentes que no son exportadores generan un descalce de monedas que amplifica el riesgo de incobrabilidad ante una devaluación que incremente el monto a pagar.
Un informe de la firma First Capital Group, en base a datos del Banco Central de la República Argentina (BCRA), precisó que el monto de los créditos en dólares aumentó en febrero un 9,6% frente al mes previo, mientras que en la comparación interanualse registró un alza del 233,6%. De esta manera,el stock de préstamos en dólares es de 13.966 millones de dólares.
“El 76,4% del total de la deuda en moneda extranjera sigue siendo la línea de préstamos comerciales, los cuáles aumentaron un 268,1% en el año y un 9,7% con respecto al mes anterior”, destaca el reporte.
Asimismo, reveló quecayó un 10% mensual la deuda en dólares por el uso de tarjetas de créditoen el exterior, a pesar de que registró una suba interanual del 122,9%, puntualizando que el saldo al final de febrero llegó a 778 millones de dólares. “Si bien se destaca el mayor uso del plástico en el exterior, los saldos financiados al cierre del mes han sido inferiores a los de fin de enero”, agrega.
En tanto, desde la consultoraLCGremarcaron que el stock de créditos en dólares creció más de 10.100 millones de dólares en 12 meses y ya es cuatro veces superior al nivel de diciembre de 2023. Se calcula que unos 1310 millones de dólares fueron volcados al mercado interno por la colocación de esos créditos, que se liquidan con obligación en el MULC. Estos créditos se debieran calzar con la evolución de los depósitos en dólares.
Sin embargo, los depósitos en dólares vienen en caída, luego del boom del blanqueo. ""Desde el 8 de noviembre, momento en el que finalizó la etapa 1 del blanqueo y se cuenta con la posibilidad de retirar sus depósitos sin penalización, ya se retiraron 3.865 millones de dólares, un cuarto del total ingresado por la repatriación de capitales"", señaló LCG. De acuerdo a diversos analistas, todavía habría espacio para que los créditos en dólares suban hasta unos 3 mil millones de dólares, sin afectar el riesgo sistémico.
Por su parte, el saldo total de préstamos en pesos al sector privado alcanzó un nivel de 60,4 billones de pesos en febrero,“representando una suba en el último mes de 2,8 billones de pesos, o sea un 4,9%, mientras que en los últimos 365 días el incremento alcanza los 41,4 billones de pesos, equivalente al 218,4% siempre hablando en términos nominales. Si se evalúan los números en términos reales, la mejora en el mes es del 2,8% en el mes y llega al 92% durante los últimos 12 meses.
En particular, la línea de préstamos personales subió en términos nominales un 10,0% mensual, de modo que el saldo llegó a 12,5 billones de pesos para el total acumulado, presentando un crecimiento interanual del 444,9%, contra los 2,3 billones de pesos al cierre del mismo mes del año anterior.",https://www.pagina12.com.ar/809967-fuerte-suba-de-los-creditos-en-dolares
Pagina 12,2025-03-12,Retornó la inflación en el Mercado Central,"En febrero, los supermercados mostraron un aumento en el promedio de precios corrientes de un conjunto de 6 especies de hortalizas de 31,6 por ciento respecto del mes de enero. La batata, el tomate y la lechuga incrementaron sus precios en 1,9, 33,0 y 105,6 por ciento respectivamente. En contraste, la papa redujo su precio en 21,3, el zapallo en 16,7, y la cebolla, en 11,6 por ciento. Así lo estim",https://www.pagina12.com.ar/810030-retorno-la-inflacion-en-el-mercado-central
Pagina 12,2025-03-12,Ampliará la capacidad de extracción petrolera,"La compañía estatal YPF obtuvo cuatro nuevas concesiones para la explotación de petróleo y gas en Vaca Muerta y se consolida como el  mayor productor de shale en uno de los reservorios no convencionales más importantes del mundo, ubicado en Neuquén. El sector hidrocarburos impulsa el ingreso de divisas y genera expectativas para el sostenimiento del saldo positivo en la balanza energética de la Ar",https://www.pagina12.com.ar/810012-ampliara-la-capacidad-de-extraccion-petrolera
Pagina 12,2025-03-12,Los analistas ven un alza en la inflación,"Las proyecciones de analistas privados sobre el sendero de la inflación marcan una aceleración en febrero respecto al mes anterior, que contradice al discurso oficial y podría poner en jaque la política de devaluación cambiaria que lleva adelante el Gobierno. De hecho, también los analistas previeron más devaluación en el último Relevamiento de Expectativasvis a visel informe anterior. El 2025 podría ver",https://www.pagina12.com.ar/809945-los-analistas-ven-un-alza-en-la-inflacion
Pagina 12,2025-03-12,El informe Marra y la confesión de la crisis,"El DNU con el que el Gobierno intenta validar -sin pasar por el Parlamento- un nuevo endeudamiento con el Fondo Monetario (FMI), no logró el día de su publicación un efecto positivo en los mercados, que arrancaron con bonos y acciones arriba del 5 por ciento y terminaron con mejoras módicas y el Riesgo País trepando a cerca de 730 puntos básicos.
Más allá de que fuentes del organismo confiaron aPágina/12que se sigue trabajando y que se arribará a un acuerdo, en el tiempo que pasa hasta que eso ocurra el Presidente Javier Milei y el ministro Luis Caputo vienen soltando lastre casi a diario para apurar los plazos.
En las últimas horas ocurrieron dos hechos en esa línea, que son parte de la crónica de libertarios desesperados por dólares del organismo: el primero, Caputo terminó dinamitando la teoría de una macro estable y una economía sólida al admitir, en el texto del DNU, que la crisis actual amerita un acuerdo ""inmediato"" por ""la gravedad de la situación"". El segundo y más fuerte, que un informe de la consultora del ex libertario Ramiro Marra filtró datos muy detallados del acuerdo, muchos de los cuales el Gobierno decidió ocultar y que no están entre las líneas de las 10 páginas del decreto que entró por el Senado horas atrás. Entre estos detalles,asegura que no habrá dinero para intervenir sobre la brecha cambiaria y hasta les pone fechas a los desembolsos.
Expulsado de la Libertad Avanza por sus internas con la secretaria de la Presidencia, Karina Milei, el ex legislador porteño Ramiro Marra sigue con un pie puesto en su consultora, Bullmarket. En un reporte reciente enviado a clientes al que accedió este diario, la firma de Marra detalla en demasía puntos del acuerdo hasta ahora desconocidos. Sobre todo,afirma que no se podrá usar el dinero del FMI para calmar el dólar, tal el anhelo oficial.
Titulado ""Acuerdo con el FMI: Detalles"", Bullmarket asegura que los ""Plazos de gracia y desembolsos"" serán de 4 años y medio sin pagos al FMI. ""Argentina no pagará hasta octubre del 2029"", destacan. Y agregan que ""la renovación de vencimientos será hasta 2029 por 13 mil millones de capital. (Con) Extensión del plazo de devolución hasta el 2025"".
Lo más jugoso aparece en el capítulo ""Uso de los fondos del FMI"". Allí, el reporte afirma que ""no se incrementa la deuda pública neta, se reestructura la existente. (Y los) Dólares serán usados para cancelar deudas con el BCRA y el FMI"". Y destacan que habrá ""Recompra de Letras del Tesoro"". ""Se usará parte del dinero para recomprar las intransferibles en el BCRA"", precisan y suman que ""La Primera recompra"" será ""el 1de junio del 2025, por 10 mil millones de dólares nominales. En 2029 vuelven vencimientos grandes, unos 12 mil millones por año entre 2031 y 2033"".
Estas últimas líneas, donde se dice que la deuda no es deuda nueva sino que es para pagar la herencia, encajan con una movida oficial y mediática de las últimas horas. En sus redes, Caputo celebró la portada de un matutino que, casualmente, tenía la misma forma argumental del acuerdo con el FMI que se había bajado desde las usinas de la Casa Rosada a funcionarios de primera y segunda línea y al ejercito de trolls digitales.
Pero esto no es todo lo que agrega Bullmarket. Asegura que se viene ""un alivio en el Calendario de Pagos: se diferirán pagos previstos por 13.100 millones de dólares de capital entre 2025 y 2028"". Asimismo, ""el alivio financiero total, contando intereses, podría ser de 20.600 millones de dólares"". ""No se eliminan pagos solo se postergan a años posteriores"", detallan.
La conclusión del trabajo es que ""el acuerdo da alivio inmediato al Tesoro al postergar pagos y permite reforzar reservas del BCRA con recompras de deuda. Y afirma, sin dudas, que ""los dólares no podrán usarse para intervenir en el mercado cambiario, asegurando que su único destino sea la cancelación de compromisos previos"".
Los plazos normales en la comunicación de un acuerdo con el FMI parten de una información ofrecida por el Staff en sus redes y de manera formal, y luego la posición, calcada, del Gobierno que cierra el pacto. Por eso, lo del DNU no sólo es un tema de institucionalidad violada, sino también una agitación forzada de un pacto que saldrá en semanas, pero no ahora.
Por todo esto, el Gobierno se vio forzado a hacer un DNU en el que tira por la borda el discurso de una economía sana y admite que el crédito del FMI es un salvavidas. Se precisó en estas líneas del decreto: ""Que la gravedad de la situación descripta y la necesidad de: solucionar de manera inmediata la situación en la que se encuentra el activo de la autoridad monetaria del país y cancelar deuda con el FMI a los efectos de garantizar el órden público económico configuran circunstancias excepcionales que justifican el dictado de la presente medida"", cita el texto.
Y agrega que ""la exigencia imperiosa del dictado del presente decreto se desprende de la naturaleza de las medidas económicas involucradas, que requieren de su adopción inmediata para evitar el impacto que de otro modo podrían traer consigo en el escenario económico presente"".
",https://www.pagina12.com.ar/809988-el-informe-marra-y-la-confesion-de-la-crisis
Pagina 12,2025-03-12,Sigue la baja de las reservas,"Las acciones y bonos argentinos siguen marcados por la volatilidad. Si bien este martes registraron un leve rebote que en promedio fue del 1 por ciento, no compensaron el desplome del lunes, cuando hubo activos que llegaron a caer más del 11 por ciento. En el mercado existe una fuerte incertidumbre potenciada por las pérdidas que registraron los mercados globales y la improvisación en el acuerdo con el FMI. El riesgo país terminó en 723 unidades y el dólar blue cerró en 1220 pesos.
En el frente cambiario, el Banco Central realizó su mayor compra de dólares en un mes, adquiriendo 268 millones de dólares en la jornada, lo que llevó el saldo positivo acumulado en marzo a 494 millones de dólares. No obstante, las reservas internacionales continúan en descenso y cerraron el día en 27.685 millones de dólares, marcando una caída de 45 millones de dólares con respecto al día anterior.
El Gobierno busca calmar el nerviosismo y estabilizar la economía en medio de un escenario de desconfianza e incertidumbre entre los inversores. El presidente Javier Milei firmó un Decreto de Necesidad y Urgencia que habilita un nuevo acuerdo con el Fondo Monetario Internacional bajo un programa de Facilidades Extendidas a 10 años. Este acuerdo tiene como principal objetivo la cancelación de las Letras del Tesoro en poder del Banco Central.
En cuanto al detalle de los activos bursátiles, las acciones que cotizan en Wall Street registraron rebotes, con subas de hasta el 4,3 por ciento. Entre los papeles más destacados se encontraron Tenaris, con un alza del 2,7 por ciento, IRSA con 2,5 por ciento, y Corporación América con 2,5 por ciento. Pero no alcanzó para compensar las pérdidas de la jornada anterior.
En el mercado de renta fija, los bonos en dólares tuvieron un desempeño mixto. Mientras que el Global 2030 y el Global 2041 avanzaron un 0,4 por ciento, otros títulos como el Bonar 2041 y el Global 2046 sufrieron caídas de 0,8 y 0,3 por ciento, respectivamente. En cuanto a la deuda en pesos, predominó la tendencia bajista, con descensos de hasta 1,1 por ciento en el caso del PAR en moneda local.
El riesgo país, que mide la diferencia de rendimiento entre los bonos argentinos y los de Estados Unidos, se ubicó en 723 puntos básicos, reflejando la cautela de los inversores ante el panorama económico local e internacional.
En el ámbito global, la volatilidad se mantiene elevada debido a factores como la guerra comercial entre Estados Unidos y Canadá, y las negociaciones para un alto el fuego en Ucrania. El presidente estadounidense Donald Trump anunció un aumento de los aranceles al aluminio y al acero canadiense, al tiempo que amenazó con elevar los impuestos a la importación de automóviles si no se eliminan las barreras comerciales impuestas por Canadá.
La incertidumbre sobre el crecimiento económico global ha impactado en los mercados financieros, con caídas en los principales índices de Wall Street. El Dow Jones retrocedió 1,1 por ciento, el S&P 500 bajó 0,7 por ciento y el Nasdaq cayó 0,2. Además, el rendimiento de los bonos del Tesoro estadounidense a 10 años se redujo en 10 puntos básicos, en lo que fue su mayor descenso diario en casi un mes.
En el marco del conflicto en Ucrania, el presidente Volodímir Zelenski anunció que su país está dispuesto a aceptar un alto el fuego de 30 días si Rusia también lo aprueba. Este posible acuerdo, que contó con la mediación de Estados Unidos en Arabia Saudita, podría reducir la incertidumbre geopolítica y calmar a los mercados.
Argentina sigue en un proceso de ajuste y redefinición de su estrategia económica. La estabilidad del mercado local dependerá de las decisiones internas, y también de la evolución de los factores internacionales.",https://www.pagina12.com.ar/810026-sigue-la-baja-de-las-reservas
Pagina 12,2025-03-12,"""Es un aumento de la deuda""","Claudio Loser, ex director del Fondo Monetario Internacional (FMI), afirmó que el nuevo acuerdo que el gobierno de Javier Milei busca concretar con el organismo internacional ""va a generar un aumento de la deuda"". Se trata de un punto de vista opuesto al que se intenta instalar desde el oficialismo. Loser aseguró que ""se va a deber más"" y puso la duda en las reservas y el Banco Central.
El ex funcionario del Fondo coincidió con las declaraciones que hizo recientemente la ex presidenta Cristina Fernández de Kirchner. Días atrás, la ex mandataria había criticado al Presidente y aseguró que ""hizo lo mismo que (Mauricio) Macri"", cuando pidió a la entidad 57 mil millones de dólares. ""¿En serio estás diciendo que te va a dar miles de millones de dólares y que no va a aumentar la deuda externa argentina?"", soltó la expresidenta.
Volviendo a las declaraciones de Loser, aseguró que ""el gran tema es si las reservas van a quedarse en el BCRA, pero estoy 95 por ciento seguro de que el FMI le va a decir que tiene que ir mejorando las reservas, más allá del préstamo"". En tanto, agregó que ""el FMI no va a aceptar en el programa que se usen las reservas para mantener el tipo de cambio blue pegado al oficial. A su vez, manifestó que la administración libertaria podría empezar a gastar, pero que en la próxima revisión ""no le van a dar el dinero de una sola vez"".
En tanto, el ex representante argentino ante el FMI, Héctor Torres, cuestionó la emisión de un Decreto de Necesidad y Urgencia (DNU) para avanzar en el acuerdo con el FMI y la versión oficial de que bajará la deuda pública. “No es normal que el Gobierno mande un DNU del que no se conoce cómo va a ser el acuerdo”, señaló Torres.
A su vez, consideró que ""hay una contradicción en el gobierno"" que dice que va a haber fondos frescos y a su vez que vamos a bajar la deuda con el Fondo. En ese sentido añadió que ""todo el mundo sabe que es un argumento cuando dicen que no van a aumentar la deuda con este préstamo"".
Por otro lado, Torres evaluó que los bonos argentinos no subirán de precio por este decreto. “No creo que el rebote de los bonos argentinos aumenten su valor por el DNU sino porque después de una caída están baratos y suele haber un rebote”, afirmó.",https://www.pagina12.com.ar/810044-es-un-aumento-de-la-deuda
Pagina 12,2025-03-12,"Dólar blue, dólar hoy: a cuánto cotizan el martes 11 de marzo de 2025","Seguí en vivo las cotizaciones de todos los tipos de dólar para este martes.


Los patentamientos de maquinarias agrícolas continúan por debajo de los niveles de 2023, pero crecieron en la comparación interanual con febrero del año pasado, un mes afectado por las políticas devaluatorias ejecutadas durante los primeros días del gobierno de Javier Milei apenas asumió la presidencia de la Nación. El déficit de la balanza comercial con Brasil para el sector es de 22 millones de dólares.
Chevron y Shell firmaron su ingreso como accionistas de la empresa Vaca Muerta Oil Sur. Se trata de la empresa que lleva adelante la construcción de un oleoducto de 430 kilómetros entre Neuquén y la costa marìtima de Río Negro, más obras complementarias, que permitirá un salto en las exportaciones de petróleo, según informó el portal especializado Econojournal. La sociedad es liderada por YPF junto a Vista Oil & Gas, PAE (Pan American Energy), Pluspetrol y Pampa Energía, quienes habían confirmado su participación a finales del año pasado.
Durante febrero de 2025, la producción automotriz aumentó 13,1 por ciento interanual y las ventas mayoristas crecieron 37,3 por ciento; mientras que las exportaciones se retrajeron 4,6 por ciento, de acuerdo con un informe de la Asociación de Fábricas de Automotores (Adefa). Los datos positivos dan cuenta del rebote de actividad en la comparación con meses donde la gestión de la Libertad Avanza transitaba la pos devaluación del 54 por ciento del peso, ejecutada apenas asumido Javier Milei.
En el primer mes del año 2025, los precios en mostrador de los distintos cortes de carne bovina registraron una suba de 2,7% con respecto al mes de diciembre (en diciembre habían incrementado su precio 13,0%). El dato surge de un informe del CEPA, que precisa que, en términos interanuales, estos cortes incrementaron su precio 56,0% quedando por debajo del aumento general de precios de la economía (84,5%).

Por Betina Stein
La decisión del Gobierno de emitir un Decreto de Necesidad y Urgencia para dar curso a un nuevo acuerdo con el Fondo Monetario Internacional es una nueva muestra de incumplimiento y violación de la ley por parte de esta administración.
Por Raúl Dellatorre
La cerealera Vicentin, aun en convocatoria de acreedores, dispuso este lunes pagar solamente el 30 por ciento del sueldo de febrero a casi un millar de empleados, sin definir en què forma ni cuàndo abonarà el resto. La crìtica situaciòn financiera de la empresa, que se declarò en default en diciembre de 2019 luego de un escandaloso proceso de vaciamiento, se vio agravada en las ùltimas semanas por la creciente desconfianza que existe entre los productores de granos sobre el futuro de la misma.

La Argentina registró undéficit en su balanza comercial bilateral con Brasil de 384 millones de dólares en febrero, profundizado por el salto en las importaciones. Las compras al país vecino crecieron el 53,3 por ciento interanual y el sector automotriz fue clave en ese resultado, de acuerdo con un informe de la consultora Abeceb.
Lasventas minoristas de las pymesmostraron en febrero una suba interanual del 24%, que de todas maneras no alcanzó para recuperar el terreno perdido, ya que hace un año, la caída respecto del 2023 fue más alta, del 25,5%. Pero además, lacomparación mensual en relación a enero registró una merma del 2,9%sin tener en cuenta los factores estacionales. Los datos fueron calculados por la CAME.
Por Leandro Renou
El viernes próximo, el INDEC dará a conocer el IPC del mes de febrero, que puede sorprender con una cifra más alta de la esperada, empujada por aumentos fuertes en el rubro Alimentos. En paralelo, estas subas, que pueden tocar también la inflación de marzo, se conjugan con un consumo masivo que no reacciona: las ventas en supermercados en febrero, según supoPágina I12, volvieron a caer fuerte en general y particularmente en los hipermercados.

Por Mara Pedrazzoli
El Gobierno tiene prisa por firmar un acuerdo con el Fondo Monetario Internacional (FMI) pese a su condición de debilidad en las negociaciones. La clave será lo que ocurra después de octubre, respecto del manejo del esquema cambiario, en un contexto de inestabilidad propia de las elecciones de medio término e incertidumbre en el escenario internacional. La relevancia de las negociaciones con el FMI para el oficialismo se explica en vista de obtener los fondos que permitan llegar a los comicios sin devaluar.",https://www.pagina12.com.ar/809838-dolar-blue-dolar-hoy-a-cuanto-cotizan-el-martes-11-de-marzo-
