diario,fecha,titulo noticia,contenido,link
Pagina 12,2025-02-12,Señales que indican el peligro del inicio de la huida de activos de riesgo argentinos,"La fragilidad del frente financiero y cambiario está empezando a influir en el humor de los financistas con respecto a activos de riesgo argentinos. Ayer las acciones y bonos se desplomaron, hubo un leve repunte de los dólares financieros -hubiera sido más pronunciado sin la intervención oficial- y el Banco Central sigue sin poder acumular reservas.
Las acciones y los bonos profundizaron sus pérdid",https://www.pagina12.com.ar/803301-senales-que-indican-el-peligro-del-inicio-de-la-huida-de-act
Pagina 12,2025-02-12,"Doble colapso eléctrico, tras el calor el temporal","Tras el colapso del sistema eléctrico nacional del lunes por la tarde, que dejó sin luz a varias regiones del país, y a pesar de una abrupta baja de la temperatura durante la noche, las condiciones del servicio volvieron a entrar en emergencia a raíz de un fuerte temporal que afectó el Area Metropolitana de Buenos Aires. Más de 250 mil usuarios de esa zona quedaron sin suministro eléctrico durante",https://www.pagina12.com.ar/803335-doble-colapso-electrico-por-calor-y-por-temporal
Pagina 12,2025-02-12,"La inflación de los trabajadores de enero fue de 2,5%","El informe de inflación de los trabajadores de la UMET indica que en enero la evolución promedio de precios fue de 2,5%, y en los últimos doce meses acumula un 88,9%. Este indicador mensual fue el menor desde agosto de 2020.
El rubro de mayor suba en enero fue ""Recreación y cultura"", con 7,4%. Esto se debió al alza del 27,6% en paquetes turísticos, coincidente con la temporada de vacaciones de verano. En el otro extremo, estuvo el rubro ""Prendas de vestir y calzado"", con una caída de 0,8%, influido por la apertura comercial y la liquidación de temporada.
Para la UMET, la inflación de enero fue más alta en los hogares de mayores ingresos que en los de menores. En el decil 10 (10% más pudiente) fue de 3,05%, mientras que en el decil 1 (10% de menores ingresos) fue de 2,13%. ""Esto se debe al mayor peso del turismo en los consumos de los hogares más acaudalados"", explica el reporte.
Al analizar la inflación según  la rama de ocupación del jefe/a del hogar, se encuentra que fue más alta en los trabajadores/as de las finanzas (3,09%), servicios profesionales (3,03%) y la salud (2,92%). En contraste, la inflación fue notoriamente menor en trabajadores/as del servicio doméstico (1,94%), la construcción (2,08%) y el agro (2,19%).
El informe detalla que el principal factor detrás de estas diferencias tiene que ver con los ingresos promedio de cada sector. Los trabajadores/as de finanzas, servicios profesionales y salud tienen mayor protagonismo en los deciles más altos, producto de que sus ingresos familiares son considerablemente superiores a la media. Producto de ello, destinan mayor parte de sus gastos a rubros como el turismo, que fue el de mayores subas en el mes. Lo contrario ocurre con los trabajadores/as del servicio doméstico, la construcción y el agro.
Como se mencionó, en la división del IPC la mayor suba en enero fue ""Recreación y cultura"", con 7,4%. Por debajo del nivel general se ubicaron ""Alimentos y bebidas no alcoholicas"", con un alza de 1,7%, impulsada por pescados y frutas. En tanto, ""Bebidas alcohólicas y tabaco también aumentó 1,7%, principalmente por la suba de los vinos del 3,3%.
Las divisiones ""Transporte"" y ""Equipamiento y mantenimiento del hogar"" subieron ambas 1,6%, seguidas por ""Comunicaciones"" con 1,5% y ""Educación"" con 0,9%.",https://www.pagina12.com.ar/803228-la-inflacion-de-los-trabajadores-de-enero-fue-de-2-5
Pagina 12,2025-02-12,"La UIA y Caputo, una charla de sordos","Como ocurre cada vez que se ven, el diálogo entre la Unión Industrial (UIA) y el ministro de Economía, Luis Caputo, se transforma en un diálogo de sordos, donde cada uno dice lo que le preocupa y lo que necesita, sin considerar que dijo el otro. No fue la excepción la visita que el ministro hizo ayer a la sede de Avenida de Mayo, donde Caputo avisó que quieren bajar impuestos y los industriales se",https://www.pagina12.com.ar/803204-la-uia-y-caputo-una-charla-de-sordos
Pagina 12,2025-02-12,El Gobierno quiere autos más baratos,"Convocados por el Gobierno nacional, empresarios de la Cámara de importadores y distribuidores oficiales deautomotoresen Argentina (CIDOA) y de la Asociación de Fábricas de Automotores (ADEFA) se reunieron por separado con equipos del Ministerio de Economía para ultimar detalles sobre las últimas medidas que benefician al sector.
Los fabricantes e importadores de vehículos fueron destinatarios de varios decretos del Gobierno nacional, sobre bajas o eliminación de aranceles, que tienen como principal objetivo de gestiónabaratarel precio de los autos en Argentina.
Durante las reuniones se estableció que el cupo de 50.000 para la importación de vehículos híbridos y eléctricos extrazona estádistribuidopor empresa. Cada firma deberá segmentar el mismo entre las distintas marcas que comercializa.
Además, el oficialismo explicó a los asistentes que la eliminación del arancel de 35 por cientocorrespondea los autos con motorización eléctrica, híbrida enchufable, híbrida no enchufable y Mild Hybdrid.
Una de las posibilidades que se charlaron fue que el cupo termine repartido enpartes igualesentre ADEFA -que maneja el 98 por ciento del mercado- y CIDOA.
Las compañías, por su parte, llevaron un nuevo pedido. Solicitaron cambios en el topeFOB límitepero no obtuvieron respuesta favorable: el gobierno quiere la baja de precios, insistió la comitiva de Economía. El beneficio corre para autos con un valor de menos de u$s16.000 FOB, unos u$s28.000 al público.
El encuentro ocurrió por separado con cada una de las dos entidades y estuvo encabezado por el secretario de Industria y Comercio, Esteban Marzorati. Según trascendió, la gestión libertariapremiarácon más cupo a quienes bajen más los precios.
Las otras reformas impositivas recientes para estimular al mercado de los autos de lujo  incluyen la suprensiónde la alícuota del 20 por ciento para autos de entre 41 y 75 millones de pesos y reduce del 35 al 18 por ciento los tributos para los que superen los 75 millones.
Según el titular de Hacienda, Luis Caputo, la decisiones llevarán al abaratamiento de entre un15 y 20 por cientoen los precios finales de los vehículos.",https://www.pagina12.com.ar/803297-el-gobierno-quiere-autos-mas-baratos
Pagina 12,2025-02-12,Evasión fiscal y desigualdad,"El Vaticano será la sede, este jueves, de un encuentro interregional por la demanda de justicia fiscal y un llamado a la aplicación de políticas tributarias que hagan posible ""una sociedad en la que las multinacionales y los ultrarricos paguen su parte justa"". La convocatoria está planteada como un ataque contra la evasión fiscal y un pedido de mayor compromiso en esa pelea a gobiernos y organizaciones internacionales.
El encuentro está organizado por la Pontificia Academia de Ciencias Sociales del Vaticano (PASS) y la Comisión Independiente para la Reforma de la Fiscalidad Corporativa Internacional (Icrict), encabezada por la economista india Jayati Ghosh y el premio Nobel de Economía Joseph Stiglitz. ""El llamado tiene lugar en un momento crítico, en el que los ultra ricos en el poder están moldeando decisiones políticas e intentando socavar la cooperación internacional para la reforma fiscal"", sostiene la convocatoria.
Está prevista la participación de los presidentes de Brasil, Luiz
Inacio Lula da Silva, y Pedro Sánchez, de España. El papa Francisco inaugurará el evento este jueves, titulado “Justicia Fiscal y Solidaridad: Hacia un Hogar Común Inclusivo y Sostenible”. El programa prevé tambien las intervenciones de Thabo Mbeki, expresidente de
Sudáfrica; Amina Touré, ex primera ministra de Senegal; Martín Guzmán, comisionado de Icrict y
miembro de PASS; y Gabriel Zucman, director del Observatorio Fiscal de la Unión Europea.
Las discusiones se centrarán en el papel de la tributación de las multinacionales y los súper
ricos para reducir la desigualdad, combatir el cambio climático y financiar el desarrollo
sostenible.
“A pesar de las recientes disrupciones al multilateralismo y la creciente influencia de nuevos
oligarcas que amenazan la estabilidad global, una ventana de oportunidad para la justicia fiscal
sigue abierta”, dijo Joseph Stiglitz, copresidente de la Icrict.
“Estamos en una
encrucijada: debemos redoblar nuestros esfuerzos en el multilateralismo y la cooperación
internacional para construir una sociedad en la que las multinacionales y los súper ricos
paguen su parte justa. No creemos que rendirse sea una opción”, agregó.
Por otra parte, Martín Guzmán alertó sobre “una movida
internacional para promover activamente la elusión impositiva de las grandes corporaciones
multinacionales, que incluye a referentes que se beneficiaron de las innovaciones financiadas
por los Estados, como por ejemplo Elon Musk con Tesla. A esta movida, Trump le da más vuelo,
contradiciéndose con decisiones que tomó durante su primera presidencia. En nuestro país, Javier Milei se dedica a hacer los coros de los estribillos que están escribiendo otros con poder
internacional real”.
Agregó que ""en
lugar de apuntar a tener más países parecidos a Suecia, que está entre las sociedades más
desarrolladas del mundo, estos grupos están trabajando para sociedades más desiguales, con
más poder para quienes ya son poderosos, y un mayor desempoderamiento de los pueblos.
Nosotros trabajamos en contra de eso y a favor del desarrollo de los pueblos”.
",https://www.pagina12.com.ar/803277-un-llamado-contra-la-desigualdad
Pagina 12,2025-02-12,"Milei my friend, lo lamento pero a la fila","Se conoció la letra chica de la decisión del gobierno norteamericano liderado por Donald Trump de introduciraranceles del 25% para la importación de aluminio y acerodesde cualquier origen. Básicamente, lo que hizo Estados Unidos fuehacer caer los acuerdos celebrados de manera bilateral con los países que habían sido afectadospor la suba de aranceles de 2018, en la primera gestión Trump. De esa manera, aquella medida terminó concentrándose en las importaciones de China.",https://www.pagina12.com.ar/803226-milei-my-friend-lo-lamento-pero-a-la-fila
Pagina 12,2025-02-12,"En consumo, Milei vs Milei sigue dando negativo","Aún comparando contra bases muy malas, al consumo masivo le sigue costando salir del pozo. Hoy, la foto de los datos de la gestión Milei contra la gestión Milei, en materia de compras básicas, de supermercado, siguen dando números interanuales negativos.Este diario accedió en exclusiva a lo que en días comunicará la consultora Scentia, que mide ventas para el sector retail en todo el país y trabaja para el sector comercial: una baja del consumo del 5 por ciento interanual, contra una caída que, en enero del 2024, ya había sido fuerte, marcando un retroceso de 3,5 por ciento contra igual mes del año previo.",https://www.pagina12.com.ar/803207-en-consumo-milei-vs-milei-sigue-dando-negativo
Pagina 12,2025-02-12,"La motosierra, versión Harvard","Alan M. Garber, presidente de laUniversidad de Harvard, una de las instituciones más prestigiosas del mundo, advirtió en una carta dirigida a la comunidad académica el impacto de losrecortes de fondos en investigaciónpor parte del gobierno de Trump.
""Lafinanciación federal para la investigación científicaha contribuido a convertir a Estados Unidos en un imán para talentos excepcionales, un trampolín para ideas ambiciosas y una fuente de progreso",https://www.pagina12.com.ar/803242-la-motosierra-version-harvard
Pagina 12,2025-02-12,De la deep motosierra a la Motosierra 2.0,"Luego de la decisión de modificar la cartera de Economía, el ministro de Desregulación y Transformación del Estado, Federico Sturzenegger, justificó lareestructuraciónen el marco de lo que llamó como “Motosierra 2.0″, la metáfora que describe el mega DNU, autoría del mismo funcionario. Al igual que con la “depp motosierra”, esta medida impulsa lareprimarizaciónde la economía nacional mientras recorta políticas que beneficiaban a amplios sectores de la población.
El Decreto 70/2025, publicado este martes en el Boletín Oficial por el gobierno de Javier Milei, introdujo cambios en el Ministerio de Economía que incluyeron laeliminaciónde la Secretaría de Desarrollo Territorial, Hábitat y Vivienda; la creación de la Secretaría de Coordinación de Energía y Minería, y la fusión de dependencias.
“Consiste, ni más ni menos, en repasar la utilidad de cada área del Estado paradiscontinuarlas que no encuadran en los objetivos que se fijó el Gobierno. En este decreto, el Ministerio de Economía hace punta en este proceso eliminando la voluminosa Secretaría de Hábitat”, aseguró Sturzenegger en su cuenta de X.
El Presidente insiste en la necesidad deachicarla estructura del Estado sin miramientos sobre el rol de las dependencias, normativas y regulaciones para la administración de la cosa pública. La justificación: son lugares de privilegios, de “la casta”. Sin embargo, en muchos casos no se trató más que de campañas marketineras en redes y medios. Mientras la gestión libertaria recortaba algún organismo, en la mismamaniobracreaba otro. Mientras anunciaba despidos, incorporaba funcionarios de alto rango.
De acuerdo con el decreto, el personal que trabaja en la disuelta Secretaría de Desarrollo Territorial, Hábitat y Vivienda será reasignado odesvinculado.
“Para resolver el problema habitacional de nuestro país, que lleva décadas y que los gobiernos anteriores no pudieron resolver, la solución no es construir viviendas en lugares disfuncionales que, además de ser programas que abren la puerta a la corrupción y al clientelismo político, tienden a dejar a sus habitantes desconectados del mercado laboral. Por eso el Gobierno ya había cerrado el Procrear con el Decreto 1018/24, y elFondo Fiduciariopara la Vivienda Social con el Decreto 6/25, y había llevado a su mínima expresión el Fondo de Integración Socio Urbana, todos mecanismos para transferir dinero a organizaciones políticas afines al gobierno anterior”, celebró el titular de Desregulación en la red social.
La Subsecretaría de Integración Socio-Urbana quedó en la órbita de la Secretaría deObras Públicas, agrandada por las funciones vinculadas al Hábitat que incorporó el decreto. Con cambios en los objetivos, seguirá a cargo de Sebastián Pareja, quien conserva su lugar dentro del oficialismo. Pareja es muy importante para la La Libertad: se trata del armador político de los libertarios en la provincia de Buenos Aires.
Sturzenegger aprovechó la decisión para criticar a intendentes y gobernadores. “La construcción de viviendas, en todo caso, podrá ser un resorte que elijan usar provincias o municipios, aunque, digamos todo, las provincias hace rato también lo abandonaron cuando desviaron los recursos del Fondo Nacional de Vivienda (Fonavi) para gastos generales de administración. El cierre de la Secretaría permite importantes ahorros en personal (eran cientos de personas sin tarea real), edificios, equipamiento y servicios. Además, había un ejército oculto de contratados a través de universidades para supuestas auditorías, en algunos casos de obras muy pequeñas”, planteó y aseguró a lo libertario: “el cierre es total”.
La marca registrada de la política económica de Milei es la reprimarización de la economía Argentina.  Con la creación de la Secretaría de Coordinación de Energía y Minería que tendrá subsecretarías especializadas enmatriz energética, transición y planeamiento energético, da un paso más en esa dirección. En los 90 estaban las empresas del Estado. Con la privatización de las joyas de abuela, al primer presidente libertario del mundo le quedan los recursos naturales que se explotan en territorio nacional. En los dos períodos el problema fue el mismo: lanecesidad de dólares.
Las áreas de política industrial, comercio exterior y defensa del consumidor, quedarán agrupadas dentro de laSecretaría deIndustriay Comercio. Según detalla la norma, para favorecer la inserción de Argentina en los mercados internacionales.
En la reestructuración, la Secretaría deTransportepasó a un organigrama dividido en subsecretarías para el transporte automotor, ferroviario y aéreo.
Finalmente, la Secretaría deHaciendacontinuará con la gestión de los recursos públicos a partir de las subsecretarías encargadas del Presupuesto, Ingresos Públicos y Coordinación Fiscal Provincial.",https://www.pagina12.com.ar/803232-de-la-deep-motosierra-a-la-motosierra-2-0
