diario,fecha,titulo noticia,contenido,link
Pagina 12,2025-01-10,Más déficit comercial con Brasil,"El déficit bilateral en el comercio con Brasil se amplificará en 2025 y probablemente supere los 3000 millones de dólares, de acuerdo con proyecciones de la consultora Abeceb, que sigue mensualmente el intercambio comercial con el país vecino.
""Para 2025 esperamos que el déficit bilateral se amplifique significativamente y que probablemente supere los 3000 millones de dólares"", alertó. Estimó que las importaciones provenientes de Brasil difícilmente crezcan menos de 30 por ciento  (a 18.500 millones de dólares como piso) y las exportaciones subirán, pero a menor ritmo (12 por ciento, a cerca de 15.500 millones).
La consultora proyectó que la recuperación de la actividad, el consumo y la inversión en la Argentina serán factores claves para el aumento del déficit comercial bilateral.
""Siempre estructuralmente somos deficitarios con Brasil y es de esperar que un rebote importante de las importaciones en general y del país vecino en particular, en un contexto de eliminación del impuesto país y un peso argentino que se ha apreciado significativamente frente al real brasileño"", detalló.",https://www.pagina12.com.ar/795869-mas-deficit-comercial-con-brasil
Pagina 12,2025-01-10,Milei festeja el pago de la deuda,"El presidente Javier Milei celebró junto a su equipo económico el pago de 4300 millones de dólares correspondientes a bonos reestructurados en 2020, incluidos intereses. A través de las redes sociales aseguró que ""las deudas se pagan. Viva la libertad, carajo”. Además, Pablo Quirno, secretario de Finanzas,también festejómencionando que ""dicen que lo prometido es deuda, en este caso, ¡pagada!”.
El pago  de deuda de esta semana incluyó el vencimiento de los Bonares y Globales y fue el primero que Argentina enfrenta en 2025. Desde el gobierno consideran que representa un esfuerzo significativo en la búsqueda de reconstruir la confianza en los mercados internacionales. La liquidación incluyó 2822 millones de dólares en capital y 1.529 millones de dólares en intereses.
Se trata de un primer paso para el equipo económico para intentar volver a los mercados de deuda a colocar bonos soberanos. Este pago de títulos se suma al anuncio del Banco Central la semana pasada de la colocación de un REPO por 1000 millones de dólares con bancos internacionales.
El Banco Central cerró la jornada con una compra de 234 millones de dólares, el saldo positivo diario más alto desde principios de diciembre, acumulando siete ruedas consecutivas de adquisiciones por un total de 741 millones de dólares.
Sin embargo, las reservas brutas cayeron en 272 millones de dólares hasta ubicarse en 30.904 millones de dólares, el nivel más bajo del año. Esta caída responde al desembolso de 370 millones de dólares para los Bonares y casi 1.600 millones de dólares para los cupones de los Globales.


En tanto, el dólar blue cerró este juevesa a 1220 pesos. Si bien no tuvo cambios en la jornada, marcó una suba de 5 pesos en la jornada previa y un incremento de 10 pesos el martes, tras un inicio de semana sin variaciones. De esta manera, la brecha cambiaria con el dólar mayorista se mantiene en un 17,5 por ciento.
Este comportamiento sigue a un diciembre marcado por una escalada del 9,8 por ciento, la más pronunciada desde junio pasado, que culminó un 2024 con un aumento acumulado del 20 por ciento en el mercado informal.
En la primera semana de 2025, el blue registró una leve baja de 10 pesos, equivalente a un 0,8 por ciento, reflejando cierta estabilización en medio de la alta inflación, que cerró el año en torno al 120 por ciento según estimaciones.
Por su parte, el índice S&P Merval de la bolsa porteña repuntó un 1,7 por ciento este jueves, alcanzando los 2.829.730,44 puntos, tras una jornada previa marcada por la toma de ganancias. En términos de dólares, el panel líder subió también 1,7 por ciento, alcanzando un nuevo récord de 2.388,90 puntos.
Entre las acciones destacadas del día se encuentran las de Aluar, con un alza del 3,9 por ciento; Grupo Supervielle, que aumentó un 3,8 por ciento; y Banco Macro, que avanzó un 3,5 por ciento. Por otro lado, los bonos en dólares mostraron leves oscilaciones: el Bonar 2020 subió un 2,1 por ciento, mientras que el Bonar 2030 cayó un 0,1 por ciento. En tanto, el riesgo país disminuyó un 2,1 por ciento, alcanzando los 560 puntos, su nivel más bajo desde 2018.
Federico Filippini, economista jefe de Adcap, consideró que los inversores optarán por reinvertir en bonos en dólares, destacando oportunidades en los GD30 y GD35 como opciones atractivas dentro de la curva argentina. En la perspectiva del mercado durante los próximos meses el gobierno tendría posibilidad de volver a endeudarse en el mundo y de esa forma sostener la apreciación del tipo de cambio.",https://www.pagina12.com.ar/795878-milei-festeja-el-pago-de-la-deuda
Pagina 12,2025-01-10,Ajuste fiscal: Los recortes en áreas sensibles,"Durante el primer año de gestión de Javier Milei el ajuste del gasto de la Administración Pública Nacional (APN) fue equivalente a4,2 puntos del Producto Bruto Interno(PBI), afectando principalmente áreas sensibles comogasto social, educación, cultura y energía, según el último reporte publicado por el Instituto Argentino de Análisis Fiscal (Iaraf).
De esta manera, el gasto devengado de la APN pasó del 19,9 por ciento del PBI a a 15,7 por ciento. El detalle indica que el gasto en promoción y asistencia social se contrajo el equivalente al 0,78 puntos del PBI; el de seguridad social, 0,66; el de educación y cultura, 0,58; y el energía y combustibles, 0,52 puntos.
“Del análisis por finalidad del gasto, surge que de las 29 identificadas, solamente 3 tuvieron un aumento de su peso relativo entre los años 2023 y 2024 y otras 4 mantuvieron el peso relativo de 2023; las 22 finalidades restantes registraron descensos, siendolos más grandes los de Promoción y asistencia social, Seguridad social, Educación y cultura, Energía, combustibles y minería, Transporte y Relaciones interiores”, detalló el informe que calificó como ""significativa"" a la reducción del gasto de la gestión Milei.
Asimismo, entre esas 6 finalidades aportaron un 80 por ciento de la reducción del peso relativo del gasto de la Administración general en términos del PBI.Las que subieron su participación, lo hicieron en magnitudes ínfimas: en Trabajo, 0,08 puntos del PBI (son ocho diez milésimos del PBI, u ocho centésimas de punto de PBI); salud, 0,05 y finanzas e intereses con el 0,01 punto de incremento.Las mediciones de la institución fueron realizadas en función del PBI que el año pasado se redujo un 3 por ciento, lo que da como resultado comparaciones en un contexto de una economía más chica. Además, el informe incluyó solo a la APN, es decir la administración central.
Recién dentro de 10 días se van conocer los resultado finales del 2024, que incluye la totalidad de la administración del Estado: APN, organismos descentralizados, instituciones de la seguridad social, universidades públicas y empresas estatales.


",https://www.pagina12.com.ar/795818-ajuste-fiscal-los-recortes-en-areas-sensibles
Pagina 12,2025-01-10,Suba de la calificación,"La calificadora de riesgo Moody’s subió la calificación de la de deuda argentina. El techo de la deuda en moneda local pasó de Caa1 a B3 y en moneda extranjera, de Caa3 a Caa1. “La decisión de elevar los techos de calificación en moneda local y extranjera refleja la mayor previsibilidad y consistencia en la política económica de Argentina, que ha llevado a una rápida reducción de los desequilibrios monetarios y fiscales que estaban alimentando una inflación muy alta”, indicó Moody´s .“Las acciones del gobierno para eliminar las restricciones a los pagos transfronterizos y la convertibilidad del tipo de cambio han aumentado la disponibilidad de liquidez en moneda extranjera, a pesar de la baja apertura de la cuenta de capital"", agregó.",https://www.pagina12.com.ar/795877-suba-de-la-calificacion
Pagina 12,2025-01-09,"Dólar blue, dólar hoy: a cuánto cotizan el jueves 9 de enero de 2025","Seguí en vivo las cotizaciones de todos los tipos de dólar para este jueves.


Los precios de los alimentos en el conurbano bonaerense aumentaron un 5,09 por ciento en diciembre, impulsados por una fuerte suba de los valores de la carne, de acuerdo a un relevamiento del Instituto de Investigación Social, Económica y Política Ciudadana (ISEPCI).
La industria se contrajo 1,7 por ciento en noviembre de 2024en comparación con el mismo mes de 2023 y en el acumulado de enero-noviembre, la caída es del 10,7 por ciento respecto a igual período de 2023, según datos publicados este miércoles por el Instituto Nacional de Estadísticas y Censos (Indec).De las dieciséis ramas manufactureras, doce redujeron su actividad.La respuesta del Gobierno frente al desplome industrial es favorecer el ingreso de productos importados, algo así como tratar de apagar un incendio echando nafta.
El indicador sintético de la actividad de laconstrucción(Isac) que confecciona el Indec mostró en noviembre unabaja de 23,6 por ciento con respecto a igual mes de 2023. Además, los puestos de trabajo registrados en la actividad del sector privado registraron unaretracción de 14 por ciento en octubrefrente al mismo mes del año pasado.
Una nueva empresa se sumará en los próximos días a la oferta para los servicios de rampa en los aeropuertos de Argentina, impulsada por la desregulación del sector que el Gobierno nacional implementó desde el mes de septiembre. De acuerdo a una publicación en el Boletín Oficial, se constituyó la empresa MNZS S.A., con el objetivo de realizar la prestación de servicios de atención de aeronaves en tierra en todos los aeródromos y aeropuertos de la Argentina.
Por Mara Pedrazzoli
En junio de 2024 el gobierno nacional logró aprobar un texto de Ley Basas y Principios que solamente contenía ocho empresas conformando el listado de las “sujetas a privatización”. Cabe recordar que el capítulo 2 de la Ley Bases que originalmente el Gobierno llevó al Congreso incluía unas 41 empresas pero la ambición del oficialismo cosechó varios rechazos.

Por Mara Pedrazzoli
El Gobierno anunció este miércoles la primera privatización de la presidencia de Javier Milei, se trata de Industrias Metalúrgicas Pescarmona (Impsa), una empresa “hiper-estratégica” que fue vendida al consorcio IAF, cuyo socio principal es la estadounidense Arc Energy, una empresa que aportó para la campaña de Donald Trump. La firma norteamericana pagará 27 millones de dólares por las acciones estatales de Impsa a lo largo de 2025.

El dólar abrió a $1016 para la compra y $1056 para la venta.
El gobierno insiste en su programa económico de dólar barato. El presidente Javier Milei ratificó este miércoles que el tipo de cambio real no está atrasado y criticó al exministro de Economía durante el menemismo Domingo Cavallo, quien alertó la semana de una situación “apreciación exagerada”. Se trata de una crítica que empieza a llegar de economistas cercanos al gobierno y que los funcionarios buscan desestimar.
El dólar informal subió cinco pesos, a 1220 pesos, tras un alza de diez pesos en la jornada del martes y de cerrar sin variaciones el lunes. De esta manera, el tipo de cambio paralelo tocó máximos desde enero. La brecha cambiaria con el mayorista se ubicó en 17,7 por ciento. El gobierno saldará este jueves los vencimiento de la deuda soberano en moneda extranjera, lo cual hizo bajar las reservas.
El dólar oficial cotiza a $1016 para la compra y $1056 para la venta.
El dólar blue está a $1200 para la compra y a $1220 para la venta.",https://www.pagina12.com.ar/795662-dolar-blue-dolar-hoy-a-cuanto-cotizan-el-jueves-9-de-enero-d
Pagina 12,2025-01-09,Desregulación para una británica,"Una nueva empresa se sumará en los próximos días a la oferta para los servicios de rampa en los aeropuertos de Argentina, impulsada por la desregulación del sector que el Gobierno nacional implementó desde el mes de septiembre. De acuerdo a una publicación en el Boletín Oficial, se constituyó la empresa MNZS S.A., con el objetivo de realizar la prestación de servicios de atención de aeronaves en tierra en todos los aeródromos y aeropuertos de la Argentina.
La presentación abarca a todas las operadoras aéreas nacionales o extranjeras, ya sea que operen vuelos domésticos o internacionales, y los trámites pertinentes ya fueron iniciados ante la Administración Nacional de Aviación Civil (ANAC), por lo que en los próximos días se emitiría la habilitación correspondiente para el inicio de las operaciones, según pudieron confirmar fuentes aeroportuarias a la Agencia Noticias Argentinas.
MNZS S.A. es la representación en Argentina de la compañía Menzies Aviation, uno de los prestadores de servicios de rampa más importantes del mundo, con presencia en 300 aeropuertos de 65 países.
""Ya estamos constituidos como empresa y vamos a iniciar a la brevedad el proceso de obtención de licencias y permisos con la Administración Nacional de Aviación Civil (ANAC). Nos gustaría creer que en seis semanas aproximadamente estaremos operativos"", dijeron fuentes de Menzies Aviation.
En este caso, MNZS S.A. está representada por los abogados locales de Menzies Aviation, Diego Ferrari y Sebastián Villa, del estudio Cambiaso & Ferrari.
Menzies Aviation es una compañía radicada en Gran Bretaña, de capitales kuwaitíes, que se instaló en los últimos años en América, con siete nuevos países y más de una docena de aeropuertos.
""Nuestro objetivo es convertirnos en socios estratégicos de Aeropuertos Argentina y las aerolíneas que operan en toda la red de aeropuertos, crear una sinergia importante con aerolíneas y generar puestos de trabajo"", anticipaban los directivos en una presentación de diciembre pasado, donde explicaron que el plan de negocios prevé una participación gradual en el mercado con servicios tanto para aerolíneaslow costcomo regulares y de carga.
La desregulación de los servicios de rampa se concretó a través de la resolución 326/24 que fue publicada el 18 de septiembre en el Boletín Oficial, mediante la cual el Gobierno eliminó y simplificó los requisitos para la habilitación de más operadores aerocomerciales y estableció que las empresas no solo pueden autoproveerse el servicio de rampas en los aeropuertos, sino también pueden ofrecerlo a otras compañías terminando con el monopolio de Intercargo.
De esta forma, habilitó a prestar el servicio a terceros a operadoras que se autoprestaban el servicio como Flybondi y American Airlines. Luego agregó la posibilidad de que comiencen a operar nuevas empresas, como Air Class Cargo S.A., habilitada el viernes pasado.
El 2 de enero de 2025 quedó formalmente constituida MNZS S.A., una sociedad anónima con sede en la Ciudad Autónoma de Buenos Aires.  Según lo publicado en el Boletín Oficial, MNZS S.A. se dedicará a la atención de aeronaves en tierra en todos los aeródromos y aeropuertos del país.
La firma actualmente presidida por Diego Ferrari, uno de los dos abogados locales que ayudaron al desembarco de la empresa en el país, buscará aliarse con la mayor operadora aeroportuaria local, propiedad del empresario Eduardo Eurnekian,Aeropuertos Argentina.
Según medios especializados, aunque todavía no está definido el plan de negocios de la británica para la Argentina, la empresa es muy fuerte en el transporte de carga de alto valor y urgente, además del servicio de rampa. De hecho, cada año, manipula alrededor de 2,5 millones de toneladas de carga.
En el país, este negocio se centraliza en Ezeiza -llegan entre 400 y 500 toneladas de carga por semana- y cuenta con operadores internacionales como American Airlines, Avianca, Lufthansa, Latam y las empresas dedicadas exclusivamente a este negocio, como DHL, FedEx y UPS, entre otros.
La semana pasada, además de la conformación de Menzies,el Gobierno habilitó a una empresa uruguaya para empezar a brindar servicios de asistencia en tierra para las aeronaves locales.Air Class Cargo iniciará sus operaciones en el aeropuerto internacional de Ezeiza y su habilitación tendrá una vigencia de 15 años.
El servicio de handling se compone de toda la asistencia en tierra a los aviones, lo que incluye las maniobras depush back, colocación de las escaleras para el embarque y desembarque de pasajeros, y la gestión de la carga y descarga de equipaje, entre otras funciones.
",https://www.pagina12.com.ar/795563-desregulacion-para-una-britanica
Pagina 12,2025-01-09,La lista de las privatizables,"En junio de 2024 el gobierno nacional logró aprobar un texto de Ley Basas y Principios que solamente contenía ocho empresas conformando el listado de las “sujetas a privatización”. Cabe recordar que el capítulo 2 de la Ley Bases que originalmente el Gobierno llevó al Congreso incluía unas 41 empresas pero la ambición del oficialismo cosechó varios rechazos.
Finalmente, en la versión reducida de la Ley que ingresó al Congreso a mitad de año, quedaron incluídas solamente ocho empresas. Las más destacadas entre las que fueron excluídas del proyecto legislativo son YPF, Banco de la Nación Argentina, Aerolíneas Argentinas, Correo Argentino y el Sistema Nacional de Medios Públicos.
Las empresas públicas incluidas en la Ley Bases para privatización son Intercargo SAU –que presta los servicios de rampa y de transporte de pasajeros en los aeropuertos-, Enarsa, Nucleoeléctrica Argentina - opera las tres centrales nucleares de Argentina- y Yacimientos Carboniferos de Río Turbio (YCRT) –productora de energía termoeléctrica-.

Por otro lado, figuran como sujetas a privatización o concesión las siguientes: Agua y Saneamientos Argentinos S.A. –a quién el Gobierno benefició a lo largo de 2024 con los aumentos de tarifas-, Belgrano Cargas y Logística S.A. –que fue emblema de crecimiento en gobiernos pasados-, Sociedad Operadora Ferroviaria S.E (SOFSE) –que está en la mira por ser fuertemente deficitaria- y Corredores Viales S.A. –que administra las principales autovías y rutas en 13 provincias de la Argentina-.",https://www.pagina12.com.ar/795608-la-lista-de-las-privatizables
Pagina 12,2025-01-09,"El ladrillo, bien abajo de 2023","El indicador sintético de la actividad de laconstrucción(Isac) que confecciona el Indec mostró en noviembre unabaja de 23,6 por ciento con respecto a igual mes de 2023. Además, los puestos de trabajo registrados en la actividad del sector privado registraron unaretracción de 14 por ciento en octubrefrente al mismo mes del año pasado.
Elacumulado de los once meses de 2024del índice serie original registró una caída de 28,5 por ciento con respecto a igual período de 2023. El dato positivo es que noviembre marcó una mejora de 2,2 por ciento en relación al mes anterior.
Los datos del consumo en insumos para la construcción en el anteúltimo mes de 2024, con referencia a noviembre del año anterior, mostraronbajas de 46,9 por ciento en artículos sanitarios de cerámica; de 34,8 por ciento en hierro redondo y aceros para la construcción; 34,5 por ciento en mosaicos graníticos y calcáreos; 30,5 por ciento en ladrillos huecos; y 30,4 por ciento en yeso, entre otros.
Por su parte, las variaciones del acumulado durante los once meses de 2024 en su conjunto con relación al mismo período del año anterior,registraron bajas de 44 por ciento en asfalto; de 42,4 por ciento en artículos sanitarios de cerámica y de 41,9 por ciento en mosaicos graníticos y calcáreos, entre otros.
Lasuspensión de las obras públicas del Estado nacionaly la reducción de la inversión interna provocó que los puestos de trabajo registrados en la actividad de la construcción en el sector privado se redujeran 14 por ciento en octubre frente al mismo mes del año pasado. Asimismo, en el acumulado enero-octubre 2024, este indicador presentó una baja de 17,4 por ciento con respecto al mismo período del año anterior.
Respecto a la superficie a construir, autorizada por los permisos de edificación otorgados para la ejecución de obras privadas en una nómina representativa de 176 municipios, registró en octubre de 2024 una suba de 4,3 por ciento con respecto al mismo mes del año anterior.
En ese sentido, la superficie autorizada acumulada durante los diez meses de 2024 en su conjunto registró una baja de 10,4 por ciento con respecto al mismo período del año anterior.
Los números a la baja afectan directamente el desarrollo de la industria que, según el Índice de producción industrial manufacturero del Indec, en acumulado de enero-noviembre de 2024 se retrajo 10,7 por ciento respecto a igual período de 2023.
Según el Isac, que también mide las expectativas de las grandes empresas del sector para el período diciembre 2024-febrero 2025, hay disparidad en las respuestas:el 62,2 por ciento de las empresas que realizan principalmente obras privadas prevé que el nivel de actividad no cambiarádurante los próximos tres meses, mientras que 21,8 por ciento estima que aumentará y 16 por ciento, que disminuirá.
En cambio, entre las que se dedican fundamentalmente a laobra pública, el 53,1 por ciento opina que el nivel de actividad no cambiará durante el período diciembre 2024-febrero 2025, mientras que 26 por ciento piensa que disminuirá y 20,9 por ciento que aumentará.
Con respecto al tipo de obras que se realizarán en los próximos tres meses, las empresas que se dedican sobre todo a las obras privadas repartieron su respuesta de la siguiente manera: montajes industriales, 16,1 por ciento; edificios industriales, 14,9; otras obras de arquitectura, 13,3; edificios comerciales, 12,3; y viviendas, 9,8 por ciento. En tanto, las vinculadas a obras públicas dijeron que se sostendrá en obras viales y de pavimentación, 20,5 por ciento; otras obras de arquitectura, 14,7 por ciento; distribución de agua y cloacas, 11,9; viviendas, 10,9%; y obras hidráulicas, 8,5 por ciento.
Finalmente, sobre la variación de personal ocupado, permanente y contratado estimada para los próximos tres meses,entre las empresas que se dedican principalmente a obras privadas el 70,3 por ciento prevé que no habrá cambios, el 17,8 estima un aumento y 11,9, una disminución. En el caso de los empresarios que se dedican a obras públicas, 62,5 por ciento cree que no habrá cambios; 20,8 por ciento, que disminuirá y el 16,7 por ciento restante opina que aumentará.",https://www.pagina12.com.ar/795566-el-ladrillo-bien-abajo-de-2023
Pagina 12,2025-01-09,Milei pelea por el dólar barato,"El gobierno insiste en su programa económico de dólar barato. El presidente Javier Milei ratificó este miércoles que el tipo de cambio real no está atrasado y criticó al exministro de Economía durante el menemismo Domingo Cavallo, quien alertó la semana de una situación “apreciación exagerada”. Se trata de una crítica que empieza a llegar de economistas cercanos al gobierno y que los funcionarios buscan desestimar.
Milei aseguró que “me parece una vergüenza la declaración de Cavallo. Me sorprende para mal su juicio tan ligero y tan mal fundamentado técnicamente para un disparo de estas características”, indicó.
Al mismo tiempo, planteó que “es insultante la estupidez que dijo. Debería conocer la tasa de tiempo intertemporal, usted tiene que adivinar el proceso económico, debería ser omnisciente, omnipotente y omnipresente, debería ser Dios. Es imposible determinar ese número seriamente, hacer un cachivache lo hace cualquiera”.
Milei aseguró además que ""cuando Cavallo era ministro de Economía y le hablaban de tipo de cambio se ponía como loco y bastante violento"". Aseguró que ""eso pasó en la convertibilidad, si no recuerden las cosas que hizo durante el '94 y '95 en medio del efecto tequila y las cosas que decía y cómo se ponía"".
Milei consideró que el precio del dólar en el mercado es un reflejo de las expectativas y el optimismo, y no deja espacio a los economistas que plantean que es un precio regulado por los controles cambiarios. El presidente reforzó su posición respecto al valor del dólar. “Esa es la discusión sobre si la moneda está apreciada o no, si el tipo de cambio está atrasado. Si bajó el riesgo país, el costo del capital es menor. Lo que demanda el costo, el retorno, es menor. El tipo de cambio para mí no está atrasado”.
Con el objetivo de argumentar las declaraciones, Milei mencionó que la brecha cambiaria entre el oficial y el paralelo se redujo notablemente en los últimos meses. “En nuestro caso hay una brecha decreciente casi extinta y ganamos 25.000 millones de dólares de reservas; además hay equilibrio fiscal”. Pero no aclaró que las reservas negativas superan los 5 mil millones y que la economía se mueve con déficit de cuenta corriente cambiaria hace meses.
Por su parte, Milei aprovechó las declaraciones para dar pistas del programa para liberar los controles cambiarios y unificar. “Lo vamos a hacer, tenemos muchas esperanzas de hacerlo este año”, aseguró aunque luego aclaró: “Para salir del cepo se necesita asegurar que haya desaparecido la inflación, porque cuando emite queda un sobrante monetario que hay que limpiar”.
El presidente afirmó que “esa inflación, si tomás el 2,4 por ciento, tiene en servicios 4,4 por ciento, afectado por tarifas. Estamos recomponiendo precios relativos mientras los estabilizamos. Venimos en deflación en dólares. Tenemos el problema de stocks del Banco Central en torno a 11 mil millones. Si conseguimos del Fondo Monetario Internacional (FMI) fondos de inversión importantes, se puede salir del cepo”.
Por su parte, consideró que “desde que anunciamos emisión cero compramos 5 mil millones de dólares, se esterilizó por el superávit y pudimos hacer los pagos sin recurrir casi a nada. No solo eso, tenemos 5 mil millones que hay que devolver al mercado, eso para que vean que estamos muy holgados. Si nosotros conseguimos estos fondos, podemos hacer frente a lo que venga. Todo depende de las condicionalidades en cada caso. De acá a un año me van a decir que es verdad, que el cepo es historia del pasado”.
En cuanto a la posibilidad de avanzar con recortes de impuestos, uno de los puntos que le demanda el complejo agropecuario con las retenciones, Milei dijo que se deberá continuar reduciendo el gasto para bajar los impuestos. “Tengo en la mira el impuesto a los débitos y créditos bancarios. Yo no puedo hacer las cosas instantáneas. Que alguien me ayude a bajar el gasto público si quiere bajar impuestos. ¿Cómo se hace la reforma impositiva? Tengo que financiarla. Quiero que todos los argentinos se involucren con el equilibrio fiscal”, dijo.",https://www.pagina12.com.ar/795607-milei-pelea-por-el-dolar-barato
Pagina 12,2025-01-09,Pago de deuda y baja de las reservas,"El dólar informal subió cinco pesos, a 1220 pesos, tras un alza de diez pesos en la jornada del martes y de cerrar sin variaciones el lunes. De esta manera, el tipo de cambio paralelo tocó máximos desde enero. La brecha cambiaria con el mayorista se ubicó en 17,7 por ciento. El gobierno saldará este jueves los vencimiento de la deuda soberano en moneda extranjera, lo cual hizo bajar las reservas.
El Banco Central compró divisas por sexta jornada consecutiva, al sumar, en términos netos, otros 137 millones de dólares. Sin embargo, las reservas brutas se hundieron 1728 millones de dólares. Esto fue el resultado fundamentalmente del pago de los bonos Globales por 1600 millones de dólares, según confirmaron fuentes oficiales. También influyeron cambios en las cotizaciones.
El Gobierno pagará este jueves vencimientos de capital e intereses de los bonos soberanos en dólares por unos 4341 millones de dólares, según datos de la Oficina de Presupuesto del Congreso (OPC).
Los bonos que gatillarán pagos son los Bonares -con ley argentina- (AL29, AL30, AL35, AL38 y AL41), los Globales -con ley extranjera- (GD29, GD30, GD35, GD38 y GD41), ambos denominados en dólares, y los Globales nominados en euros (GE29, GE30, GE35, GE38, GE41 y GE46).
En tanto, el índice de la bolsa porteña sufrió toma de ganancias este miércoles y anotó su primera baja en una semana. Los papeles locales que cotizan en Wall Street también cedieron hasta 12 por ciento, mientras que los bonos en dólares cerraron mixtos y el riesgo país se ubicó en los 571 puntos básicos tras la corrección realizada por el JP Morgan.
En ese marco, el S&P Merval bajó 1,4 por ciento, mientras que medido en dólares cedió 1,6 por ciento. En el panel líder, los papeles que más bajaron fueron los de Edenor (-10,5 por ciento), Cresud (-3,3 por ciento), Transener (-3,1 por ciento), Telecom (-3,1 por ciento), Loma Negra (-2,6 por ciento) y BBVA (-2,4 por ciento).
En Nueva York, las acciones argentinas sufrieron toma de ganancias, aunque se destacó la baja de Edenor, que cayó 12,1 por ciento. Fuentes del mercado afirmaron que “un vendedor grande de afuera está saliendo de su tenencia, ya que van dos o tres días de viene cayendo en promedio 5 por ciento”.
Además, este miércoles se conoció que el Gobierno convocó a dos audiencias públicas en las cuales les solicitará a las distribuidoras de energía eléctrica mejoras en el servicio en el Área Metropolitana de Buenos Aires (AMBA) y endurecerá las sanciones. Los demás papeles cayeron hasta 5,5 por ciento, de la mano de Central Puerto, seguida de Telecom (-3,5 por ciento), y Loma Negra (-3,3 por ciento).
En la curva de renta fija, los bonos soberanos promediaron la jornada en terreno negativo, pero finalmente cerraron mixtos tras el pago del vencimiento de los Globales por unos 1.600 millones de dólares. Los que más subieron fueron el Global 2029 (+4,8 por ciento), seguido del Global 2035 (+0,6 por ciento) y el Global 2038 (+0,4 por ciento), mientras que los que más bajaron fueron el Bonar 2035 (-0,6 por ciento), seguido del Global 2030 (-0,5 por ciento) y el Bonar 2038 (-0,3 por ciento).",https://www.pagina12.com.ar/795606-pago-de-deuda-y-baja-de-las-reservas
