diario,fecha,titulo noticia,contenido,link
Clarín,2025-02-02,El campo ingresó divisas por más de US$ 2.000 millones durante enero,"Los dólares del campo ingresaron en valores superiores a lo esperado en enero, por US$2.073.499.162, un 36% más que en el mismo mes del año pasado, según informó la Cámara de la Industria Aceitera de la República Argentina y el Centro Exportadores de Cereales (CIARA-CEC).
De este manera, el gobierno de Javier Milei sigue recibiendo un aporte de divisas del sector agropecuario en niveles importantes, y permiten al Banco Central comprar dólares para fortalecer las reservas.
El año pasado, la administración  de La Libertad Avanza contó con un 27% más de divisas por exportaciones del campo, resepcto de 2023: fueron US$ 25.000 millones, una cifra importante pero que que de todos modos quedó bastante abajo del récord de 2022, US$40.000 millones, logrados especialmente por el ""dólar soja"" implementado ese año por Sergio Massa, especialmente en septiembre, y también en diciembre.
En este caso, la baja de retenciones implementada desde este lunes por el decreto 38/20225 es un incentivo en el mismo sentido, pero todavía no se ve reflejado plenamente en las estadisticas.
En rigor, durante enero hubo una sola semana de vigencia del nuevo régimen, pero en estos últimos 5 días hábiles las operaciones fueron escasas en el comercio de granos, por dudas en el impacto financiero de las nuevas reglamentaciones, particularmente la obligación de liquidar a los 15 días del embarque, que planteó dudas sobre el precio de referencia de la tonelada de soja.
Con todo, en diciembre ingresaron casi US$ 2.000 millones, por lo cual este nuevo registro queda un 5% arriba.
Habrá que ver si en febrero se mantiene la tendencia creciente, en sintonía con las expectativas del equipo económico liderado por Lusi Caputo, que negocia con el Fondo Monetario Internacional las condiciones para levantar el cepo cambiario.
""El ingreso de divisas del mes de diciembre es el resultado del ritmo de ventas de granos de parte del productor, las entregas a puerto de la cosecha de trigo y cebada, así como un programa de molienda de soja sostenido para los embarques de harina y aceite de soja"", indicaron las agroexportadoras.
Y afirmaron que ""los precios internacionales no acompañaron la mejora de la producción, si no los valores totales anuales podrían haber sido superiores"".
Newsletter Clarín
Recibí en tu email todas las noticias, coberturas, historias y análisis de la mano de nuestros periodistas especializados",https://www.clarin.com/rural/campo-ingreso-divisas-us-2000-millones-enero_0_vgbRq6iQwW.html
Clarín,2025-02-02,Dólar CCL hoy: a cuánto cotiza este domingo 02 de febrero,"La cotización deldólar CCLes de$1179,70para la compra y de$1191para la venta, este domingo 02 de febrero de 2025.
El dólar CCL sube1%respecto al mismo día de la semana anterior.
En lo que va de febrero de 2025, el dólar CCL baja respecto al mes anterior: la diferencia es de1%.
En comparación con el año pasado, el dólar CCL baja un8%. A esta altura del año anterior, el CCL cotizaba a$1277.3.
El valor deldólar CCLtiene una diferencia con eldólar MEP. Mientras que el primero está$1179,70, el MEP cotiza hoy a$1166,10, lo que marca una brecha de2%.
Eldólar CCL o dólar contado con liquidaciónes uno de los tipos de cambio financieros más usados en el país, junto con el dólar MEP (o dólar bolsa). Se trata de una herramienta financiera que permite cambiar pesos por dólares en el exterior. Muchas empresas e inversionistas usan este método para adquirir divisas y sacarlas del país legalmente.
Eldólar CCL o dólar contado con liquidaciónconsiste en la compra de un bono en pesos (AL30) o en dólares (AL30D) para venderlo en especie C (AL30C). Mediante estas 2 simples operaciones podés ingresar dinero a cuentas de inversión en Estados Unidos.
La cotización del dólar CCL funciona en el mismo horario del mercado de cotizaciones:hasta las 16:30 horas, de lunes a viernes.
Estas operaciones reciben el nombre de “operaciones de liquidación con cable”. Para identificarlas se agrega una C al final del código de negociación de la especie. Así se diferencian de aquellas que se liquidan en pesos o dólares en cuentas radicadas en el mercado local.
Newsletter Clarín
Recibí en tu email todas las noticias, coberturas, historias y análisis de la mano de nuestros periodistas especializados",https://www.clarin.com/economia/dolar-ccl-hoy-cotiza-domingo-02-febrero_0_Dvgr7S9cRF.html
Clarín,2025-02-02,Dólar tarjeta hoy: a cuánto cotiza este domingo 02 de febrero,"La cotización deldólar tarjetaes de$1395,55, este domingo 02 de febrero de 2025.
El dólar tarjeta sube0%respecto al mismo día de la semana anterior.
En lo que va de febrero de 2025, el dólar tarjeta sube respecto al mes anterior: la diferencia es de2%.
En comparación con el año pasado, el dólar tarjeta sube un3%. A esta altura del año anterior, el dólar tarjeta cotizaba a$1354.4.
El valor deldólar tarjetatiene una diferencia con eldólar blue. Mientras que el primero está$1395,55, el blue cotiza hoy a$1200, lo que marca una brecha de16%.
Eldólar tarjetaes el tipo de cambio que se emplea para el pago de consumos con tarjeta de débito y crédito en el exterior así como para la compra, también en dólares, de pasajes y paquetes turísticos hacia destinos fuera de la Argentina.
El valor deldólar tarjetase conforma de la siguiente manera: al dólar oficial se le añade un 30% de impuesto país y un 30% de ganancias. Se trata de una carga impositiva total del 60%, frente al 155% que existía en la gestión anterior.
La cotización del dólar tarjeta funciona en el mismo horario del mercado de cotizaciones:hasta las 16:30 horas, de lunes a viernes.
Newsletter Clarín
Recibí en tu email todas las noticias, coberturas, historias y análisis de la mano de nuestros periodistas especializados",https://www.clarin.com/economia/dolar-tarjeta-hoy-cotiza-domingo-02-febrero_0_OsdrAsfwUT.html
Clarín,2025-02-02,Dólar ahorro hoy: a cuánto cotiza este domingo 02 de febrero,"La cotización deldólar ahorroes de$1395,55para la venta este domingo 02 de febrero de 2025.
El dólar ahorro sube0%respecto al mismo día de la semana anterior.
En lo que va de febrero de 2025, el dólar ahorro sube respecto al mes anterior: la diferencia es de2%.
En comparación con el año pasado, el dólar ahorro sube un3%. A esta altura del año anterior, el ahorro cotizaba a$1354.4.
El valor deldólar ahorrotiene una diferencia con eldólar MEP. Mientras que el primero está$1395,55, el MEP cotiza hoy a$1166,10, lo que marca una brecha de20%.
Eldólar ahorroes un tipo de cambio mayor al dólar oficial, que se muestra como la opción más barata para comprar a modo de atesoramiento.
La compra deldólar ahorrohoy en Argentina se maneja bajo la siguiente cotización: el 30% del impuesto país se mantiene y el 35% del impuesto a las ganancias pasa a ser de un 45%, igualando la cotización del dólar tarjeta.
La cotización del dólar ahorro funciona en el mismo horario del mercado de cotizaciones:hasta las 16:30 horas, de lunes a viernes.
Estas operaciones reciben el nombre de “operaciones de liquidación con cable”. Para identificarlas se agrega una C al final del código de negociación de la especie. Así se diferencian de aquellas que se liquidan en pesos o dólares en cuentas radicadas en el mercado local.
Newsletter Clarín
Recibí en tu email todas las noticias, coberturas, historias y análisis de la mano de nuestros periodistas especializados",https://www.clarin.com/economia/dolar-ahorro-hoy-cotiza-domingo-02-febrero_0_Qq3RvpxeBH.html
Clarín,2025-02-02,Dólar MEP hoy: a cuánto cotiza este domingo 02 de febrero,"La cotización deldólar MEPes de$1166,10para la compra y de$1168,20para la venta, estedomingo 02 de febrero de 2025.
Eldólar MEPsube1%respecto al mismo día de la semana anterior.
En lo que va defebrero de 2025, el dólar MEPsuberespecto al mes anterior: la diferencia es de1%.
En comparación con el año pasado, el dólar MEPbajaun5.69%. A esta altura del año anterior, el MEP cotizaba a$1236.4.
El valor del dólar MEP tiene una diferencia con el dólar blue. Mientras que el primero está a$1166,10, el blue cotiza hoy a$1200, lo que marca una brecha de2.83%.
Eldólar MEPes un tipo de cambio mayor al dólar oficial, que se muestra como la opción más barata para comprar a modo de atesoramiento.
El dólar MEP consiste en la compra de un bono en pesos y su venta en dólares. Este tipo de cambio se calcula a partir de la división entre el precio en pesos y la cotización en dólares.
La cotización del dólar MEP funciona en el mismo horario del mercado de cotizaciones: hasta las 16:30 horas, de lunes a viernes.
Su nombre deriva de la sigla 'MEP', que significa Mercado Electrónico de Pagos. Es una variante al dólar ahorro, ya que presenta menos restricciones como se mencionó anteriormente.
Newsletter Clarín
Recibí en tu email todas las noticias, coberturas, historias y análisis de la mano de nuestros periodistas especializados",https://www.clarin.com/economia/dolar-mep-hoy-cotiza-domingo-02-febrero_0_efAppeeHL2.html
Clarín,2025-02-02,Euro hoy: a cuánto cotiza este domingo 02 de febrero,"Eleurocotiza estedomingo 02 de febreroa $1.028,58 para la compra y $1.029,77 para la venta, por lo que se mantiene estable respecto a la última cotización.
En cuanto a la divisa en el mercado paralelo, eleuro blue hoycotiza a 1247.16 para la compra y 1267.95 para la venta. De este modo, su precio sube en relación al último informado.
Con estos valores, labrechaentre el euro blue y el euro oficial​ es de 121219%.
Elvalor del euro bluetiene una diferencia sustancial más alta con el euro oficial ya que este último es el que se adquiere en los bancos y que posee una cotización establecida.
Al igual que el dólar blue, eleuro bluees el que circula en el mercado negro y suele tener un valor más alto que el oficial. Una explicación sobre su denominación señala que se llama así porque en inglés, ""blue"", además de nombrar al color azul, remite a algo ""oscuro"". De esta manera, se reconoce al cambio de la divisa por fuera del sistema cambiario.
El término euro blue se empezó a utilizar a partir del 2011, como consecuencia de lasrestriccionespara la adquisición de moneda extranjera que comenzaron a aplicar la Administración Federal de Ingresos Públicos (AFIP) y el Banco Central de la República Argentina bajo el gobierno de Cristina Fernández de Kirchner.
Estaslimitacionescobraron un nuevo impulso en diciembre de 2019, luego de los anuncios de presidente Alberto Fernández sobre la Ley de Emergencia económica y que se profundizaron a lo largo del 2020 con el cepo cambiario. Esto genera que los sectores que viajen al exterior opten por la compra de euros en elmercado negro, generando así un aumento en el precio del euro blue.
El nombre del Euro paralelo
El euro se lanzó el 1° de enero de 1999, cuando 10 países fijaron sus tipos de cambio y entregaron las decisiones sobre las tasas de interés al recién creado Banco Central Europeo. Los billetes y monedas de euro entraron en circulación tres años después.
La moneda compartida se vio como una solución a las constantes disputas por los tipos de cambio que habían marcado la política europea después de la Segunda Guerra Mundial y como una extensión lógica de la zona de libre comercio de aranceles de la Unión Europea. Gran Bretaña, en particular, optó por no participar, pero 19 de los 27 países de la UE utilizan el euro como moneda nacional. Quienes componen la zona del euro, también denominada ""eurozona"" son:AustriaBélgicaChipreEstoniaFinlandiaFranciaAlemaniaGreciaIrlandaItaliaLetoniaLituaniaLuxemburgoMaltaPaíses BajosPortugalEslovaquiaEsloveniaEspaña
Newsletter Clarín
Recibí en tu email todas las noticias, coberturas, historias y análisis de la mano de nuestros periodistas especializados",https://www.clarin.com/economia/euro-hoy-cotiza-domingo-02-febrero_0_LKXU6Yj5Wt.html
Clarín,2025-02-02,Dólar blue hoy: a cuánto cotiza este domingo 02 de febrero,"La cotización deldólar bluees de $1200 para la compra y de $1220 para la venta, estedomingo 02 de febrero de 2025.
En lo que va de febrero de 2025, el dólar blue sube respecto al mes anterior: la diferencia es de 0%.
En lo que va de este 2025, el dólar blue sube respecto al 2024: la diferencia es de 4%.
El valor del dólar blue tiene una diferencia sustancial con el dólar oficial, que se adquiere en los bancos y que posee una cotización establecida. La brecha entre el dólar oficial y el dólar blue es de 16%.
Eldólar bluees el que circula en el mercado negro y suele tener un valor más alto que el oficial. Este dólar no se compra en bancos o casas de cambio oficiales.
La cotización del dólar blue cierra junto con la del dólar oficial: a las 15 horas, de lunes a viernes.
Una explicación sobre su denominación señala que se llama así porque ""blue"", en inglés, además de nombrar al color azul, remite a algo ""oscuro"". Otra teoría lo relaciona con las operaciones de compra a través de bonos o acciones de compañías conocidas como""blue chips"". Y también se lo vincula con el color aproximado que aparece cuando se aplica un fibrón para detectar billetes falsos.
La cotización deldólar oficiales de $1033,50 para la compra y de $1073,50 para la venta, este domingo 02 de febrero de 2025, según el Banco Nación.
La cotización deldólar bolsaes de $1166,10 para la compra y de $1168,20 para la venta, este domingo 02 de febrero de 2025.
La cotización deldólar CCLes de $1179,70 para la compra y de $1191 para la venta, este domingo 02 de febrero de 2025.
Newsletter Clarín
Recibí en tu email todas las noticias, coberturas, historias y análisis de la mano de nuestros periodistas especializados",https://www.clarin.com/economia/dolar-blue-hoy-cotiza-domingo-02-febrero_0_fnN2lYESk8.html
Clarín,2025-02-01,"El Gobierno espera, en enero, la inflación más baja de su gestión","El Gobierno espera quela inflación de enero resulte la más baja de su gestión.Las previsiones de los economistas sobre el dato que el INDEC va a informar el 13 de febrero rondan el 2%, una cifra por debajo de los registros de diciembre, que cerró en 2,7%.
Una jugada que explica las expectativas oficiales sobre una nueva reducción del índice de precios esla baja de la tasa de interésque elBanco Centralimplementó en los últimos días al pasarla del 32% al 29%. Aún antes de reducir el ritmo devaluatorio, el dato puede interpretarse como una demostración de que el ministerio de Economía ya tiene indicios sobre la desaceleración inflacionaria del mes pasado.
Uno de los registros más bajos de los últimos tiempos (además del de diciembre) fue el de noviembre, cuando la aguja de los precios marcó una suba del 2,4%. Perohay que remontarse a julio del 2020, en plena pandemia y depresión económica, para encontrar un número por debajo del 2%(el nivel esperado ahora), cuando la suba promedió el 1,9%, según el INDEC.
Rocio Bisang, economista de la consultora Eco Go, señala que, con los datos preliminares, sin contabilizar la última semana del mes, espera una suba inflacionaria del 2,3% para enero.Y respecto de losrubrosque más incidieron en esa suba, la economista comenta: “en general fue un mes relativamente tranquilo, con tarifas por debajo de la inflación del mes pasado. Huboalgo más de movimiento en frutas y verduraspero más allá de eso no hay algún rubro puntual qué haya sobresalido”, explicó.
Por su parte, el relevamiento de precios minoristas de la consultora C&T “para la región de GBA mostróun incremento mensual de 2% en enero,mes durante el cual el ritmo de suba de precios se fue desacelerando, desde diciembre del año pasado”. ""Esta tasa de inflación es la menor en los últimos 53 mesesy la más baja para un mes de enero desde el 2018"", según los cálculos de la consultora a cargo del economista Camilo Tiscornia.
Uno de los cálculos más auspiciosos es el de Libertad y Progreso, que esperaun alza del 2%para el mes pasado, 0,7 puntos porcentuales por debajo del dato oficial de diciembre. “La variación anual registrada fue de84,3%, perforando la barrera del 100% por primera vez desde enero de 2023. Esta desaceleración, de 33 puntos porcentuales respecto al dato anterior, representa la novena consecutiva y refleja la solidez del proceso de desinflación”, evaluó la entidad. Este informe detalla que “a comienzos de mes, la inflación mantuvo su tendencia a la desaceleración, con variaciones semanales en torno del 0,3%. Sin embargo,en la última semana se vio una aceleración hasta un ritmo del 0,5%, impulsado principalmente por el rubro de alimentos,con fuerte incidencia de los aumentos en el precio de la carne”.
La contracara de la baja de la inflación esel deterioro del consumo.Tomando en cuenta sólo las ventas en supermercados y autoservicios, el desplome llegó al 18% interanual en diciembre y acumuló una retracción de 13,9% en 2024, según datos de la consultora Scentia. Si bien se moderó la caída, el año pasado se posicionó comouno de los peores de las últimas dos décadas.
Más allá de los pronósticos de las consultoras, otros estudios muestran que también los consumidores tienen una expectativa de menor aumento inflacionario hacia adelante. Según el Centro de Investigación en Finanzas (CIF) de la Universidad Torcuato Di Tella (UTDT),la inflación esperada a nivel nacional para enerose ubicó en4,25% en promedio y 3% en la mediana, ambos valores por debajo de los registrados en diciembre. El mes anterior, el promedio había alcanzado 6,61%, mientras que la mediana se había situado en 5%. A nivel interanual, finalmente, el promedio se ubicó en 41,2%, el nivel más bajo desde abril de 2020. En diciembre, este valor había sido de 45%.
Redactora de la sección Economía/Pyme.nmuscatelli@clarin.com
Newsletter Clarín
Recibí en tu email todas las noticias, coberturas, historias y análisis de la mano de nuestros periodistas especializados",https://www.clarin.com/economia/gobierno-espera-enero-inflacion-baja-gestion_0_NVjGEoK2Il.html
Clarín,2025-02-01,"Como con la coparticipación, es difícil que los gobernadores cedan con Ingresos Brutos","Al menos una vez por semana el ministro de Economía Luis Caputo les reclama a las provincias que reduzcan la alícuota delimpuesto a los Ingresos Brutosy a los municipios que dejen de aumentar las tasas municipales. El sector privado se suma a la queja. Después de podar el gasto público en más del 25% en términos reales durante el primer año, y dereducir en un 68% las transferencias discrecionales a provincias y municipios,el gobierno Nacional exige que gobernadores e intendentes se sumen a la reducción de la presión fiscal. Algunos lo hicieron tímidamente. Pero el grueso se abroquela en el impuesto propio que más fondos les acerca.
Ingresos Brutos es, por lejos,la principal fuente de recaudación propiaque tienen las provincias. Su peso en el presupuesto de cada distrito es determinante. Por ejemplo, en la Ciudad de Buenos Aires lo que se recauda porIngresos Brutoses cerca del 70% del total de los ingresos fiscales. En el otro extremo, en Santiago del Estero es de menos del 7%.
Según un informe elaborado por la Oficina de Presupuesto del Congreso (OPC),en casi todas las provincias mermó la recaudaciónde Ingresos Brutos en 2024 debido a la caída de la actividad económica, que fue fuerte en el primer semestre y se recuperó en la segunda mitad del año.
Solo la provincia deNeuquén(efecto Vaca Muerta) quedó con saldo positivo, conuna mejora de la recaudación por ingresos brutos del 13%en comparación a un año atrás, a valores constantes. En el lado opuesto,la ciudad de Buenos Aires sufrió una caída real del 18%,explicada básicamente porque dejó de percibir ingresos por aplicar IIBB a los intereses de las letras que emitía el Banco Central. Al pasar el grueso de la deuda al Tesoro, se cerró ese grifo.
Con todo, el peso de lo que recaudan las provincias por la vía de Ingresos Brutoscomo porcentaje del PBI nacional es creciente. Según la OPC en 2020 lo que recaudaron todos los estados provinciales por Ingresos Brutos era un monto equivalente al 3,9% del PBI.En 2023 -último dato disponible- creció al 4,2% del PBI.
El IERAL -de la Fundación Mediterránea- estimó la alícuota promedio ponderada de este impuesto, provincia por provincia, estableciendo una relación entre lo que recauda cada provincia por IIBB y su Producto Bruto Geográfico. Misiones aparece a la cabeza con una relación de 7,1%. En el otro extremo, Santiago del Estero, con el 1,3%. Buenos Aires, Santa Fe y Córdoba están en una relación de entre 3,8% y 4%.
Un informe del centro de estudios de la Unión Industrial Argentina recuerda que ""elConsenso Fiscal 2017presentaba un panorama tributario positivo para la industria en el mediano plazo, a través de lareducción progresiva de las alícuotas de Ingresos Brutos, que culminaba con la exención total de este impuesto para la industria en 2022. A su vez, también establecía la adecuación de los regímenes de recaudación provinciales y de las tasas municipales. Sin embargo, la baja progresiva de alícuota de ingresos brutos fue suspendida a partir del año 2020 y desde entonces los regímenes de recaudación provinciales y las tasas municipales nunca fueron readecuados.""
El relevamiento de la UIA concluye que, en función de los saldos retenidos, -que en definitiva permite calcular la alícuota efectiva que aplica cada gobierno-solo tres provincias(Catamarca, Santiago del Estero y Misiones) no incrementaron su alícuota efectiva en 2024 respecto a 2023
El peso que tiene IIBB en las arcas provinciales es tan grande que explica casi por completopor qué los gobernadores se niegan a reducir las alícuotas. Por más quejas que expresen el Gobierno nacional o diferentes sectores empresarios. Cada uno defiende la caja a su manera.
Editor jefe de la sección Economía.gbazzan@clarin.com
Newsletter Clarín
Recibí en tu email todas las noticias, coberturas, historias y análisis de la mano de nuestros periodistas especializados",https://www.clarin.com/economia/coparticipacion-dificil-gobernadores-cedan-ingresos-brutos_0_Z8fUwCVsZ9.html
Clarín,2025-02-01,Volvió a aumentar la nafta y el gasoil: YPF subió 2% el precio de sus combustibles,"La petrolera YPF aumentó los precios de la nafta y el gasoil entre 2% y 2,4%en sus estaciones de servicio a partir de este sábado. Durante el día la imitaron otras empresas como Shell, Axion, Puma y Gulf.
Así, la naftasúperde YPF en la Ciudad de Buenos Aires pasó de $ 1.128 a$ 1.151 por litro(2%); lapremium,de $ 1.394 a$ 1.422(2%); elgasoil,de $ 1.143 a$ 1.170(2,36%); y eldiésel premium,de $ 1.392 a$ 1.420(2%), de acuerdo a los datos que recolecta el portalSurtidores.
Esla segunda suba en lo que va del año; en enero el incremento había sido de 1,75%, por debajo de la inflación esperada para ese mes. De esta forma,el alza acumulada en 2025 es de 3,8%.
En comparación con febrero del año pasado, los precios de los combustibles treparon entre 42,2% y 54,9%, bien por debajo de la inflación de este período.
Las empresas del sector sostenían que elatraso de los preciosera de entre 4% y 7%, producto de la suba del petróleo que hubo en enero a nivel internacional.
Las productoras de petróleo crudo comoVista, Shell, Chevron y Pluspetrolempezaron a cobrar el mes pasado el equivalente a la paridad de exportación (export parity) por parte de YPF. Así, empezaron a ver unos 72 dólares por barril en vez de US$ 68.
El precio de equilibrio operativo (break-even) en Vaca Muerta promedia los US$ 40 por barril;hacia arriba es ganancia.
Desde que asumió Donald Trump como presidente de los Estados Unidos y confirmó que apoyará la producción petrolera,el precio internacional comenzó a bajar, una tendencia que se mantendría en los próximos dos años. Eso podría ayudar al Gobierno argentino a tener un ancla contra la inflación local.
Con este escenario, un ejecutivo del sector planteó aClarínque ""las importaciones de diésel a estos precios serán difíciles, porque viene la cosecha y el 10% del mercado es importado"".
Según un informe de la consultora Economía & Energía, ""luego del incremento verificado entre octubre 2023 y enero 2024, se asistió a un abaratamiento progresivo del valor de los combustibles en el mercado local medidos en moneda constante, aunque mantuvieron una tendencia creciente al evaluarse en dólares"". En relación a noviembre 2023, cuando hubo una crisis de desabastecimiento,los combustibles están 10% más caros en pesos y 4% más en dólares.
""La apreciación del tipo de cambio resultó central para mantener precios en surtidor relativamente bajos sin que esto afecte significativamente el valor del crudo en el mercado local"", consignó Nicolás Arceo.
Para no recalentar la inflación, el Gobiernocongeló durante febrero los impuestos a los combustibles,por los cuales está cediendo recaudación tributaria en favor de los usuarios por el equivalente a más de 200 millones de dólares por mes.
Si se cumpliera la normativa vigente,el Estado debería cobrar $ 180 más por litro de nafta del Impuestoa los Combustibles Líquidos (ICL) y el Impuesto al Dióxido de Carbono (IDC). Pero el gobierno de Alberto Fernández lo empezó a atrasar desde mediados de 2021.

Redactor de la sección Economíasspaltro@clarin.com
Newsletter Clarín
Recibí en tu email todas las noticias, coberturas, historias y análisis de la mano de nuestros periodistas especializados",https://www.clarin.com/economia/volvio-aumentar-nafta-gasoil-ypf-subio-2-precio-combustibles_0_wj8c1V9lv7.html
