diario,fecha,titulo noticia,contenido,link
Pagina 12,2025-04-17,Abren las importaciones de maquinaria usada,"El Gobiernoflexibilizó la importación de maquinariausada a través de la eliminación del Certificado de Importación de Bienes Usados (CIBU), como parte de las condicionalidades impuestas por el FMI. El CIBU regía desde hace más de tres décadas en el país y regulaba también el ingreso de maquinaria que fuera producida localmente.Hay preocupación por laimportación de máquinas agrícolas usadas y equipos para la extracción de petróleo y gas. La UIA, empresarios industriales pyme y diversas cámaras rechazaron la decisión porque",https://www.pagina12.com.ar/818785-abren-las-importaciones-de-maquinaria-usada
Pagina 12,2025-04-17,Avalancha de bienes de consumo,"La balanza comercial registró en marzo un superávit de 323 millones de dólares y mantuvo la variación positiva de los últimos meses, de acuerdo con el reporte del Indec difundido este miércoles. Entre los datos relevados se destaca el incremento de las importaciones en bienes de consumo, que compiten con la producción nacional en industrias clave.
En el tercer mes del año el comercio exterior volvila retracción es del 67 por ciento",https://www.pagina12.com.ar/818862-avalancha-de-bienes-de-consumo
Pagina 12,2025-04-17,El biodiesel pide aumentar los precios,"La Cámara de pymes Regionales productoras de Biodiesel (CEPREB) salió a pedir un aumento en el precio de los biocombustibles dado que ""la modificación del régimen cambiario afectó directamente a la industria y, en particular, a la del biodiesel, por lo que las Cámaras del sector solicitaron al gobierno un nuevo precio para poder seguir entregando biodiesel y evitar riesgos de desabastecimiento"".
En una carta enviada a la Secretaría de Energía y que lleva la firma de Federico Martelli, director ejecutivo de la entidad, se especifica que ""el aceite de soja y el metanol son los dos insumos más importantes para la fabricación de biodiesel y ambos precios están nominados en dólares, en cambio el biodiesel, para su venta, tiene un precio fijado en pesos por la Secretaría de Energía. Al producirse un salto en el tipo de cambio, los costos de elaboración crecen de inmediato, pero por ahora el precio de venta sigue fijo ya que la Secretaría de Energía a cargo de la Lic. María Tettamanti aun no emitió una resolución adecuando el precio a la nueva situación cambiaria"".
Agregaron, además, que ""a este salto reciente del dólar debemos agregarle que el precio ya se encontraba previamente atrasado un 9% y ante la nueva situación el atraso es de alrededor de 17%. Con una industria que trabaja con márgenes de rentabilidad de 3%, semejante atraso imposibilitará continuar con las operaciones de no existir una adecuación a la realidad"". Por último, pidieron que el precio del producto se publique ""directamente en dólares"".",https://www.pagina12.com.ar/818741-el-biodiesel-pide-aumentar-los-precios
Pagina 12,2025-04-17,Inusual baja del dólar minorista,"En el tercer día de vigencia de la liberación del cepo cambiario para particulares, el dólar operó con fuertes bajas en las cotizaciones. El sector exportador aportó lo suyo en el mayorista, con liquidaciones que se estima que triplicaron a la media diaria de las semanas previas.  El dólar oficial retrocedió 5,7%, con un tipo de cambio minorista de 1160 pesos en el Banco Nación, que redujo el salto devaluatorio del lunes, con el que debutó el nuevo esquema de flotación entre bandas.
Este comportamiento en los mercados oficiales arrastró a las cotizaciones del dólar bursátil y paralelo, que también registraron caídas importantes en sus cotizaciones.
En las operaciones del mercado mayorista del dólar, donde participan principalmente los importadores y exportadores, se vende a $1.155, lo que implica una merma de $51, o un 4,3%. Entre los motivos de la caída del mayorista se verificó una mayor oferta del sector agroexportador.
Según el promedio de entidades que difunde el Banco Central (BCRA), la cotización cede a $1.198,63 para la posición vendedora. En cuanto a los contratos del dólar futuro, los plazos exponen una dinámica alcista, salvo los correspondientes al último trimestre del año. El mercado ""pricea"" un tipo de cambio oficial a $1.170 para fines de abril.
A su vez, los dólares financieros se desploman por tercera rueda al hilo. El MEP bajó más de 70 pesos (casi un 6 por ciento), a $1.165,90. El Contado con Liquidación (CCL) cayó a $1.181,70, casi un 5 por ciento en relación a su cotización previa.
En el mercado informal, el dólar blue desciende 35 pesos, a $1.250, tras mantenerse sin cambio el martes y experimentar el lunes una caída de $95 (-6,5%). En todos los casos, con muy bajo nivel de operaciones.
Con un dólar bajo control tras la salida del cepo para particulares, el S&P Merval en dólares subió 3 por ciento, luego del desplome del dólar CCL. En tanto, los bonos soberanos en moneda dura cotizan dispares y el riesgo país se mantiene en mínimos de un mes.
En tanto que el índice líder de BYMA baja 1,5%. Las acciones líderes que más caen son las de Aluar (-4,4%), BYMA (-3,6%), Transportadora de Gas del Sur (-3,5%) y Ternium (-3,4%). Los ADRs, en tanto, registran subas de hasta 5% lideradas por YPF, seguida de Edenor (4,8%), Cresud (3,7%), y Central Puerto (3,2%).
Este miércoles se conoció que el Gobierno logró un nuevo superávit en marzo, lo cual también mejoró el ánimo del mundo de los negocios.En el primer trimestre de 2025, se acumuló un superávit primario de aproximadamente 0,5% del PIB y un superávit financiero de 0,2% del PIB, informó el ministro de Economía, Luis Caputo.
En el plano internacional, las bolsas caían en Wall Street, Europa y Asia debido a la guerra comercial que hizo que Nvidia se viese afectada por las restricciones de EEUU a las ventas de chips a China, mientras que el oro alcanzaba un récord y las divisas refugio subían.
En tanto, los bonos en dólares cotizan con alzas generalizadas en la plaza local, a pesar de haber arrancado a la baja en Wall Street. Entre losticketde deuda se destacan las subas del Global 2046 (+2,1%), el Bonar 2041 y 2030 con ganancias de 1,4%.
El riesgo país, que mide J.P. Morgan, se mantiene en 725 puntos básicos. Su valor mínimo desde el 12 de marzo.",https://www.pagina12.com.ar/818856-inusual-baja-del-dolar-minorista
Pagina 12,2025-04-17,Vista compra Petronas,"La petrolera del ex titular de YPF, Miguel Galuccio, adquirió este miércoles los activos de Petronas en Vaca Muerta por 1.200 millones de dólares y se convirtió en el mayor productor independiente de petróleo en el país.
Vista Energy compró a la compañía de Malasia el 50 por ciento del bloque La Amarga Chica, en Vaca Muerta, provincia de Neuquén, y Petronas se retiró por completo de las operaciones en Argentina donde se había establecido en 2014.
A través de este mecanismo, Vista se asoció con YPF, que seguirá siendo el operador, con el objetivo de acelerar su crecimiento y consolidar una superficie total de más de 92.000 hectáreas en el yacimiento, con la segunda reserva de gas natural más grande del mundo y la cuarta de petróleo.
En siete años de actividad, con una inversión de 6.000 millones de dólares, pasó de producir 24.000 barriles equivalentes de petróleo por día a más de 120.000, que contemplan la participación en este nuevo activo.
Vista desembolsó 900 millones de dólares en efectivo al cierre de la operación y pagará otros 300 millones de moneda extranjera en dos partes iguales en 2029 y 2030. Además, Petronas recibió 7.297.507 de acciones de Vista.
En un comunicado, Galuccio explicó que con esta adquisición ganarán “una escala significativa en Vaca Muerta, incorporando un bloque premium con producción en crecimiento y bajos costos operativos, lo que nos permite acelerar el plan de largo plazo y fortalecer nuestro perfil de generación de flujo de caja libre”.
""La operación no solo incrementa nuestra rentabilidad, sino que también mejora nuestro portafolio de locaciones listas para perforar en el área central” del yacimiento, destacó el empresario.
La Amarga Chica pasó a etapa de desarrollo masivo, en 2018, luego de Loma Campana y El Orejano. Según precisaron, el proyecto contemplaba un desarrollo a 20 años, con inversiones por 7.000 millones de dólares.
Con 68.000 barriles por día, La Amarga Chica se convirtió en uno de los tres yacimientos de mayor volumen del país.",https://www.pagina12.com.ar/818864-vista-compra-petronas
Pagina 12,2025-04-17,El cumpleaños de 15 de la caída del consumo,"En pleno rebrote inflacionario, consecuencia de la devaluación que le impuso al Gobierno de Javier Milei el Fondo Monetario Internacional (FMI), un dato de la economía es lapidario: el consumo masivo, en marzo, cayó muy fuerte y acumuló 15 meses consecutivos en rojo. Así, es la primera vez en la historia que un Presidente queda a días de tener el gasto básico de los hogares caído en un año y medio",https://www.pagina12.com.ar/818742-el-cumpleanos-de-15-de-la-caida-del-consumo
Pagina 12,2025-04-17,Superávit con ganadores y perdedores,"En marzo, el Sector Público Nacional (SPN) registró un superávit primario de 745,4 billones de pesos, mientras que el resultado financiero –luego del pago de intereses- dejó un saldo de 398,9 billones, según informó el Ministerio de Economía. Así, el pago de intereses de deuda pública neto de los intra-sector público contabilizó unos 346,4 billones de pesos. En el primer trimestre, el superávit primario equivalió a 0,5 por ciento del PIB y el financiero, a 0,2 por ciento. Menores subsidios económicos y programas sociales fueron clave para la baja del gasto.
""El superávit en el tercer mes se alcanzó en simultáneo a la vigencia de distintas medidas de reducción de impuestos que vienen implementándose en los últimos meses"", indicaron desde el Gobierno.
Los ingresos totales del SPN en marzo retrocedieron 0,7 por ciento en términos reales, según un análisis del Centro de Economía Política Argentina (CEPA). Pero puntualmente en lo que respecta alos recursos tributarios, presentaron un crecimiento real del 2,7 por ciento, explicado principalmente por los Aportes y Contribuciones a la Seguridad Social (28 por ciento), la variación en el impuesto a las Ganancias (31 por ciento) debido a que se compara con un período de excención del cobro a la cuarta categoría y el aporte del IVA (2 por ciento).
En tanto en marzo,el gasto primario nacional tuvo una suba real interanual del 2 por ciento, según calcularon desde elInstituto Argentino de Análisis Fiscal (Iaraf)en base a datos oficiales: con 9 gastos subiendo y 7 gastos bajando. Los gastos que más subieron fueron las transferencias de capital a provincias (343 por ciento), las transferencias corrientes a provincias (192 por ciento) y los subsidios al transporte (38 por ciento). También resulta importante destacar el incremento del 28 por ciento del gasto en jubilaciones y pensiones contributivas, que participa en el 42 por ciento del gasto primario.
Por otro lado, los tres gastos que más cayeron en el mes fueron: transferencias a universidades (89 por ciento), subsidios a la energía (70 por ciento) y subsidios a otras funciones (54,3 por ciento), destacó el Iaraf.
Desde el CEPA aclararon que el superávit obtenido en el mes fue posible, pese a la caída en los ingresos y el aumento del gasto, porque se partía de una base de comparación muy baja para las erogaciones. Además señalaron que el crecimiento del gasto en marzo fue mucho menor al experimentado en los meses de enero y febrero, de 13,5 y 19,1 por ciento respectivamente. Y que el superávit financiero fue posible porque no se contabilizan los intereses capitalizados en LECAPs y LEFIs que sumaron 5,1 billones en el tercer mes.
En el primer  trimestre del año, el gasto primario nacional tuvo una suba interanual real del 11 por ciento, con 10 gastos subiendo y 6 gastos bajando, señalaron desde el Iaraf. Esa performance también se relaciona con la baja base de comparación contra el primer trimestre de 2024 que tuvo un fuerte recorte en el gasto.

Entre los componentes del gasto con incrementos reales, impulsados por la base de comparación se destacan: las transferencias de capital a provincias (170 por ciento), las transferencias corrientes a provincias (130 por ciento) y las jubilaciones y pensiones contributivas (36 por ciento). En tantolos gastos que más cayeron fueron los subsidios a la energía (54 por ciento), subsidios a otras funciones (49 por ciento) y programas sociales (32,4 por ciento).",https://www.pagina12.com.ar/818866-superavit-con-ganadores-y-perdedores
Pagina 12,2025-04-17,El golpe contra la industria pyme,"La preocupación en el sector industrial por las consecuencias de la nueva fase del plan del gobierno se vio acentuada esta semana al recibir las nuevas listas de precios de los insumos básicos para la actividad. Tras la implantación del nuevo régimen cambiario y la consecuente devaluación del peso, los aumentos resultantes promedian el 11/12 por ciento con respecto a los precios vigentes hasta la",https://www.pagina12.com.ar/818837-el-golpe-contra-la-industria-pyme
Pagina 12,2025-04-16,"Dólar blue, dólar hoy: a cuánto cotizan el miércoles 16 de abril de 2025","Seguí en vivo las cotizaciones de todos los tipos de dólar para este miércoles.


La actividad metalúrgica retrocedió 1,3 por ciento en marzo respecto de febrero y tuvo un incremento interanual de 2,9 por ciento, de acuerdo con un informe de la Asociación de Industriales Metalúrgicos de la República Argentina (Adimra).
“Dice que no hay plata, pero nosotros estamos vendiendo más que el año pasado.” Con esa frase, Nicolás Pino, presidente de la Sociedad Rural, marcó distancia del Gobierno y encendió una nueva polémica con el presidente Javier Milei. En un contexto de alta expectativa por el cambio de régimen cambiario y la posibilidad de un regreso de las retenciones a mitad de año, Pino cuestionó al oficialismo por lo que considera un incumplimiento de promesas y una actitud “angurrienta” hacia el campo.
La canasta de crianza de la primera infancia, niños y adolescentes se ubicó en 409.414 pesos en el caso de niñas y niños menores a un año de edad en marzo de este año, contra 282.025 pesos en marzo de 2023, lo cual implicó un aumento del 45 por ciento en el costo de solventar a un niño o niña, según informó el Indec.
""La caída de la inflación es la base de la popularidad deMilei. Los argentinos podrían enfadarse si aumenta aún más, especialmente porque en su triunfal discurso del 11 de abril, Milei declaró que 'la inflación se va a derrumbar'"", aseguraron desde el medio inglésThe Economisten una columna publicada este martes. El análisis del matutino llegó un día después de la implementación deflotación entre bandas del dólar oficial.
Por Mara Pedrazzoli
En 2024 la remuneración de las y los asalariados cayó a 44,1 por ciento del PBI, al mismo tiempo que se redujo también la participación de la ganancia empresaria sobre el producto, que fue del 42,7 por ciento, según los datos de Indec. La diferencia fue obtenida por el ingreso de los cuentapropistas y autónomos, que creció hasta un 14,6 por ciento del PBI. En la industria manufacturera, la agricultura, ganadería y pesca; y en el comercio mayorista y minorista se observaron las mayores bajas de la ganancia empresaria a fines de 2024. Por otro lado, también se redujo la cantidad de puestos de trabajo registrados en el último año.
Por Javier Lewkowicz
En los últimos días, tanto el presidente Javier Milei como el ministro de Economía, Luis Caputo, vienen asegurando queel actual nivel del tipo de cambio es incluso superiora lo que marca la relación entre las reservas del Banco Central y los pesos que circulan en la economía doméstica. De esa forma, sostienen que el riesgo de una corrida cambiaria o de una disparada del dólar es inexistente, que no depende ni siquiera de las expectativas, sino queese escenario está vedado a raíz de una situación objetiva de ""cobertura"". Sin embargo, esa afirmación no es correcta, el riesgo existe y es grande.
Por Mara Pedrazzoli
Los aumentos salariales por paritarias a lo largo del primer trimestre de 2025 vienen dando por debajo de la inflación, lo cual implica un nuevo ajuste sobre la clase trabajadora en el Gobierno de Javier Milei. Este resultado es producto de la decisión del Gobierno deponerle techo a las paritarias–del orden del 1 por ciento mensual- y de la aceleración inflacionaria reciente, señalaron desde CP consultora.

Por Leandro Renou
La escena muestra, en tiempo récord y a la perfección, lo delicado del escenario económico nacional luego del acuerdo entre el Gobierno y el Fondo Monetario Internacional (FMI): mientras el lunes por la tarde el Presidente Javier Milei y el ministro de Economía, Luis Caputo, se abrazaban, bailaban y se sacaban selfies en un salón de Hacienda celebrando la eliminación del cepo cambiario que pidió el organismo a cambio de un salvavidas de dólares, los empresarios de diferentes rubros usaban el Excel para remarcar precios, preocupados por el impacto de la devaluación en sus costos, muchos de ellos en dólares.

Por Leandro Renou
El acuerdo con el Fondo Monetario (FMI), que forzó al Gobierno a abrir el cepo cambiario, le dio al ministro de Economía, Luis Caputo, una tranquilidad con el ingreso de respaldo de la deuda pero, a la vez, corrió controles cambiarios que muestran resultados dispares: por un lado, hubo una devaluación del 12 por ciento que llevó el oficial a la franja de 1230 pesos; por otro, mostró el mercado sin cepo un nivel importante de demanda de divisas.

El dólar abrió a $1180 para la compra y $1230 para la venta.",https://www.pagina12.com.ar/818627-dolar-blue-dolar-hoy-a-cuanto-cotizan-el-miercoles-16-de-abr
Pagina 12,2025-04-16,Parche del FMI a las reservas,"El Fondo Monetario Internacional (FMI)giró este martes 12.000 millones de dólaresa la Argentina, luego del acuerdo firmado entre el Gobierno nacional y el organismo de crédito donde establecieron la flotación cambiaria entre bandas. La devaluación se mantuvo en el 15 por ciento, subieron las reservas y también la preocupación de los sectores vinculados a la economía real.
Las reservas brutas del Banco Central (BCRA) se ubicaron en 36.799 millones de dólares, luego del desembolso inicial por el 60 por ciento de la totalidad del dinero que el FMI decidió prestar al país a través de un programa sellado entre las partes el viernes pasado.
Desde el 7 de eneroel BCRA había perdido 8.000 millones dólaresde reservas brutas principalmente para sostener el tipo de cambio y por pagos de deuda. La entidad rectora de la economía nacional necesitaba recuperar divisas con urgencia.
El déficit de la cuenta corriente se explicaba por el atraso en el precio del dólar, con un constante aumento en el uso de la moneda extranjera para frenar el alza de las  cotizaciones en un contexto donde olían la devaluación.
Con este primer envío,las reservas netas del BCRA pasaron a terreno positivoen 4.600 millones de dólares, desde un nivel negativo de 7.000 millones de dólares.
El segundo giro del FMI por 2.000 millones de dólares dependerá de laprimera revisión trimestralde metas que el organismo llevará adelante en junio.
De todos los préstamos vigentes que tiene el FMI, Argentina concentra la mitad. “El acuerdo con el FMIes una estafaporque el crédito representa 1324 por ciento de la cuota que Argentina paga, razón por la cuál parte de los integrantes delstaffdel Fondo no firmaron”, aseguró el economista Claudio Lozano aPágina 12.
Entre los puntos que el Gobierno aceptó para obtener el dinero se destaca la sustitución del esquema del 1 por ciento de devaluación mensual por el de flotación entre bandas de 1000 y 1400 pesos, y el compromiso de acumular 9.000 millones de dólares en reservas netas para fines de este año. La gestión libertaria debe llegar a esos números sin incluir los envíos del FMI y otros organismos multilaterales.
La calificadora Moody's consideró que ""el nivel de reservas internacionales será un indicador clave para evaluar la sostenibilidad de este ajuste"" y advirtió que ""el éxito de la salida del cepo dependerá de la atracción de capitales de largo plazo"".
El economista y ex funcionario del FMI Claudio Loser opinó que una de las ventajas de Milei es que “ya hizo el ajuste de entrada y por eso el apoyo importante"" del organismo.
“Lo que va a buscar el Fondo es que se mantenga el ajuste fiscal y hay límites serios para financiar al gobierno”, expresó en declaraciones radiales.
Por su parte, el medio británico The Economist también destacó la reducción del gasto adelantada y la baja de la inflación para poder acordar: “Muchos de los 22 programas anteriores de Argentina con el FMI terminaron en fracaso. El historial de Milei le da cierta credibilidad a su insistencia de que esta vez será diferente"".
“Vamos hacia unescenario de recesióncon cepo para personas jurídicas, control de los ingresos por debajo de la inflación, subas de la tasa de interés queimposibilitan el desarrollo industrial; y expectativas deun dólar que puede escalar hasta los 1.400 pesos”, cuestionó Lozano.
Con el poder adquisitivo licuado por las dos últimas devaluaciones, el techo a los acuerdos de salarios y los aumentos tarifarios, este martes las listas mayoristas en supermercados llegaron con incrementos del orden del 7 al 9 por ciento.
""Los aumentos ya empezaron antes, muchas empresas se adelantaron y por eso en marzo la inflación dio más alta. Nosotros no podemos subir más los precios. Silas familias ya no compran. Antes lo más común era el alfajor para que los chicos llevaran a la escuela porque es lo más práctico. Ahora con el precio de los alfajores no lo pueden comprar y llevan un paquete de galletitas que está arriba de los 2000 pesos para repartir entre los tres hijos y que tengan algo en el recreo"", contó aPágina 12el vicepresidente de la Confederación General Almacenera Nacional, Fernando Savore.
Según el relevamiento de la consultora Focus Market en 756 puntos de venta del país, el consumo masivo en el tercer mes del año cayó 1,6 por ciento intermensual y se desplomó 7,6 por ciento interanual contra marzo de 2024, cuando la mayoría de los indicadores económicos daban en negativo.",https://www.pagina12.com.ar/818567-parche-del-fmi-a-las-reservas
