diario,fecha,titulo noticia,contenido,link
Pagina 12,2025-03-20,"Dólar blue, dólar hoy: a cuánto cotizan el jueves 20 de marzo de 2025","Seguí en vivo las cotizaciones de todos los tipos de dólar para este jueves.


Tras la apertura del dólar en baja, el ministro de Economía, Luis Caputo, apuntó este jueves a quienes señalan que existe ""atraso cambiario"" y lo vinculó a la mejora del real brasilero.
""Y del real que se apreció de 6.22 a 5,66 ya no habla más nadie. Pero si volviera a 6.10 sería un drama, porque el peso estaría ""retrasado"". Pero si entonces se depreciara 2 por ciento, sería ´corrida´!!"", posteó el funcionario en redes sociales.
Caputo publicó esta cita sobre un tuit que marcaba las bajas a $1.245 del dólar blue y a $1.282 del MEP y $1.281 el Contado con Liquidación.
A su vez, los precios de dólar futuro también se acomodan a la baja en algo más del 1%.
El mercado de bonos soberanos opera sin una tendencia definida y el Riesgo País se mantiene en 767 puntos.
Por Raúl Dellatorre
Los resultados del Informe de avance del nivel de actividad del Indec para el año 2024 muestran crudamente la orientación que el gobierno de Milei quiere darle a la economía argentina. Se contraponen un crecimiento muy marcado de Agricultura y Ganadería, Pesca, y Minas y canteras, con la caída sensible de producción manufacturera, actividad de la construcción y comercio minorista. Es decir, la consolidación de los sectores extractivistas y exportadores frente a la depresión en todos aquellos estrechamente relacionados a la actividad interna, tanto en la producción como en el empleo. No es sorprendente que, entre los componentes de la demanda, caiga fuertemente el consumo mientras sube más de 20 por ciento la exportación, que es el destino buscado por los productos generados en el modelo extractivista.
El comienzo del segundo año de la gestión de Javier Milei en la presidencia muestra en general una tendencia derecuperación leve en indicadores clavesvinculados a la producción y al trabajo. La variación positiva se explica en tanto la comparación es contra el primer bimestre de 2024, etapa atravesada por ladevaluación del peso en más de 50 por ciento y el ajuste motosierraen la mayoría de los aspectos de la economía real.
El peso de la canasta de servicios en los ingresos continúa al alza en el Área Metropolitana de Buenos Aires (AMBA) y empuja para abajo el poder de compra de los salarios, de acuerdo a un estudio realizado por la UBA y el Conicet . En febrero las tarifas de electricidad, gas, agua y transporte subieron 82 por ciento interanual y en lo que va de la gestión libertaria treparonmás de 400 por ciento.
Por Mara Pedrazzoli
Elpoder adquisitivo de los salarios formales cayó 9 por cientodesde que asumió la presidencia Javier Milei, calcula el Centro de Investigación y Formación de la República Argentina (CIFRA) de la CTA. Como es sabido, el IPC que elabora el Indec subestima puntualmente el gasto en servicios porque usa una canasta de consumo donde estos tienen un menor peso relativo que en la actualidad.
El superávit comercial fue de 227 millones de dólares en febrero, una cifra que se ubicó levemente por encima del saldo que se había registrado en enero. El resultado fue positivo pese a que las importaciones registraron su mayor aumento interanual desde julio de 2022. Las importaciones que suben con más fuerza no se vinculan con la inversión sino con artículos para consumo que reemplaza a la producción local debido a la apreciación cambiaria.
Por Leandro Renou
Los escándalos políticos y de presunta corrupción que enfrenta el Gobierno de Javier Milei parecen estar coincidiendo conun cambio de tendencia sobre lo que otrora era valorado como un proceso de estabilidad económica. En diferentes sondeos de opinión se observa que la crisis sigue siendo un eje de preocupación y, lo más interesante, que las curvas de desconfianza sobre la marcha de la economía van en fuerte camino ascendente desde principios de año a hoy . Además, la mayoría cree que lo peor del ajuste no pasó y la inflación sigue en el top 3 de los problemas más serios.
El dólar oficial abrió a $1049,25 para la compra y $1089,25 para la venta.
Las reservas internacionales del Banco Central continúan en descenso y la entidad no logra frenar el drenaje. Este miércoles debió vender otros 186 millones de dólares, acumulando una pérdida de 931 millones de dólares en los últimos cuatro días. En total, desde el viernes pasado, las reservas cayeron 1057 millones de dólares, alcanzando los 27.045 millones de dólares.
El dólar oficial cotiza a $1049,25 para la compra y $1089,25 para la venta.
El dólar blue está a $1260 para la compra y a $1280 para la venta.",https://www.pagina12.com.ar/812117-dolar-blue-dolar-hoy-a-cuanto-cotizan-el-jueves-20-de-marzo-
Pagina 12,2025-03-20,"Lo peor no pasó, está por venir","Los escándalos políticos y de presunta corrupción que enfrenta el Gobierno de Javier Milei parecen estar coincidiendo conun cambio de tendencia sobre lo que otrora era valorado como un proceso de estabilidad económica. En diferentes sondeos de opinión se observa que la crisis sigue siendo un eje de preocupación y, lo más interesante, que las curvas de desconfianza sobre la marcha de la economía van en fuerte camino ascendente desde principios de año a hoy . Además, la mayoría cree que lo pe",https://www.pagina12.com.ar/811959-lo-peor-no-paso-esta-por-venir
Pagina 12,2025-03-20,Leve saldo a favor en comercio exterior,"El superávit comercial fue de 227 millones de dólares en febrero, una cifra que se ubicó levemente por encima del saldo que se había registrado en enero. El resultado fue positivo pese a que las importaciones registraron su mayor aumento interanual desde julio de 2022. Las importaciones que suben con más fuerza no se vinculan con la inversión sino con artículos para consumo que reemplaza a la producción local debido a la apreciación cambiaria.
Según datos publicados por el INDEC este miércoles, las compras al exterior crecieron un 42,3 por ciento respecto del mismo mes del año pasado. Vale recordar, no obstante, la baja base de comparación ya que en los primeros meses de 2024 la actividad económica todavía acusaba el impacto de la devaluación y permanecían las restricciones sobre los plazos de pago de los productos provenientes de otros países.
En términos mensuales, las importaciones también avanzaron un 8,9 por ciento, aun contemplando el efecto de la estacionalidad. En términos monetarios representaron unos 5864 millones de dólares.
Desde la Gerencia de Estudios Económicos del Banco Provincia señalaron a este medio que el aumento de importaciones está algo por encima de la elasticidad histórica, que indicaba que por cada punto de crecimiento del PIB, las compras al exterior crecían en tres puntos. ""En la actualidad, estamos viendo algo más cercano a 4, explicado, entre otros factores, por la apreciación cambiaria y la flexibilización arancelaria y paraarancelaria"", acotaron.
En detalle, el repunte anual de las compras se dio por las mayores cantidades importadas, ya que los precios registraron caídas. A nivel de uso económico, las principales incidencias se verificaron en bienes de capital (564 millones de dólares), bienes de consumo (361 millones de dólares) y piezas de bienes de capital (338 millones de dólares).
Mientras tanto, las exportaciones presentaron un incremento interanual del 10,1 por ciento, para ubicarse en los 6092 millones de dólares. Asimismo, respecto de enero la variación fue positiva en un 1,8 por ciento. Las ventas también mejoraron por el efecto cantidades. Al segmentar por rubros, los mayor aportes al aumento general los hicieron manufacturas de origen industrial (216 millones de dólares) y productos primarios (184 millones de dólares).
Respecto de los distintos bloques y socios comerciales, los mayores superávits se vislumbraron con los países latinoamericanos excluyendo Mercosur (750 millones de dólares), Medio Oriente (352 millones) e India (281 millones). En el otro extremo, los déficits más altos fueron con China (-1118 millones de dólares), Mercosur (-521 millones) y Unión Europea (-321 millones).
Con Brasil, principal socio comercial del país, se verificó un déficit de 360 millones de dólares. El ""rojo"" en el sector automotor explicó la mayor parte del deterioro en el intercambio bilateral.",https://www.pagina12.com.ar/812044-leve-saldo-a-favor-en-comercio-exterior
Pagina 12,2025-03-20,"Sectores extractivos crecen, la industria se hunde","Los resultados del Informe de avance del nivel de actividad del Indec para el año 2024 muestran crudamente la orientación que el gobierno de Milei quiere darle a la economía argentina. Se contraponen un crecimiento muy marcado de Agricultura y Ganadería, Pesca, y Minas y canteras, con la caída sensible de producción manufacturera, actividad de la construcción y comercio minorista. Es decir, la consolidación de los sectores extractivistas y exportadores frente a la depresión en todos aquellos estrechamente relacionados a la actividad interna, tanto en la producción como en el empleo. No es sorprendente que, entre los componentes de la demanda, caiga fuertemente el consumo mientras sube más de 20 por ciento la exportación, que es el destino buscado por los productos generados en el modelo extractivista.
Lo único que le falló a Milei en la evolución de la actividad económica en el año 2024, respecto a 2023, es que la inversión faltó a la cita. Cayó 17,4 por ciento, pese a todos los incentivos a la llegada del capital externo, algunos escritos en leyes de promoción y otros simplemente prometidos. Pero el capital extranjero no se terminó de convencer, en consecuencia no vino. Los acontecimientos de las últimas jornadas y la revelación de fuertes signos de inestabilidad en el frente externo empiezan a darle la razón a los capitalistas extranjeros por su desconfianza.
La estimación de la evolución de la economía en su conjunto que hace el Indec, como una suerte de anticipo de los datos de crecimiento del producto bruto interno que se conocerá más adelante, es que hubo una caída del 1,7 por ciento con respecto a 2024. Pero con una diferencia muy marcada entre sectores, como se indicó más arriba, y es la que debe analizarse para entender qué es lo que pasa detrás de ese promedio.
Como fue dicho, crecen las actividades extractivistas. Y mucho, en algún caso. Agricultura y ganadería creció 31,3 por ciento respecto del nivel de actividad de 2023, un guarismo exagerado por el impacto de la sequía en ese año 2023 que redujo entre 20 y 50 por ciento los niveles de producción en esa campaña de los principales cultivos agrícolas.
Minas y canteras exhibe un crecimiento anual del 7,4 por ciento, asentado en el desempeño del rubro hidrocarburos y en algunos minerales exportables que empiezan a ser figuras estelares de la nueva estructura económica, como en el caso del litio. La pesca también acompañó este proceso alcista de la producción extractivista, con un aumento anual de la producción del 6,9 por ciento.
Es notable la contracara con la industria manufacturera, que retrocedió un 9,2 por ciento, y el comercio minorista, con una baja respecto de 2023 del 7,3 por ciento en su nivel de actividad. Completan el panorama de la actividad interna, el dato de descenso en el sector de la construcción, que vivió una caída del 17,7 por ciento con respecto al año anterior.
Varios elementos aportaron a este brutal descenso de la construcción, y todos contundentes. Uno fue la paralización de la obra pública --sacrificada en el altar del ajuste--. Otra razón fue el violento descenso del poder adquisitivo de una población de ingresos medios y medio/alto, que es usualmente demandante de viviendas y oficinas. Muchas obras en construcción se paralizaron o demoraron su finalización para adaptarse a la menor capacidad de pago de los compradores, y otras empresas o emprendimientos privados abandonaron la escena. Y, finalmente, el atractivo de las colocaciones financieras distrajo del sector de la construcción a muchos eventuales inversores en ladrillos.
El sector de comercio exterior también exhibió las dos caras del modelo. Crecieron 23,2 por ciento las exportaciones, de la mano del motor de las actividades primarias, y cayó 10,6 por ciento la importación, arrastrada por la recesión y menor demanda de insumos, productos finales y bienes de capital. Es probable que este último dato se revierta en este 2025, porque las importaciones ahora repuntan no porque se haya superado la recesión interna, sino porque aparece el fenómeno del auge del producto importado que reemplaza al indefenso producto nacional.
El retroceso del Estado tanto en actividad económica, pago de salarios y jubilaciones y en regulaciones, tiene impacto en varios de los rubros mencionados. Los grupos económicos que controlan las exportaciones --no son más de veinte-- obtuvieron con la política de Milei grandes ventajas en sus relaciones internas con el resto de la economía, pero tenían en contra un esquema cambiario que produce un atraso constante en sus ingresos. Es previsible que hasta ese factor se corregirá a su favor antes de fin de año, con el salto cambiario impulsado por un acuerdo con el FMI, o las presiones especulativas incluso sin acuerdo.

",https://www.pagina12.com.ar/812041-sectores-extractivos-crecen-la-industria-se-hunde
Pagina 12,2025-03-20,El mapa de la caída del salario,"Elpoder adquisitivo de los salarios formales cayó 9 por cientodesde que asumió la presidencia Javier Milei, calcula el Centro de Investigación y Formación de la República Argentina (CIFRA) de la CTA. Como es sabido, el IPC que elabora el Indec subestima puntualmente el gasto en servicios porque usa una canasta de consumo donde estos tienen un menor peso relativo que en la actualidad.
Siguiendo alEn base al IPC reponderado",https://www.pagina12.com.ar/811961-el-mapa-de-la-caida-del-salario
Pagina 12,2025-03-20,Fuerte aumento de los servicios esenciales,"El peso de la canasta de servicios en los ingresos continúa al alza en el Área Metropolitana de Buenos Aires (AMBA) y empuja para abajo el poder de compra de los salarios, de acuerdo a un estudio realizado por la UBA y el Conicet . En febrero las tarifas de  electricidad, gas, agua y transporte subieron 82 por ciento interanual y en lo que va de la gestión libertaria treparonmás de 400 por ciento.
En este contexto, según el Indec, se deterioró elconsumo de electricidad, gas y aguaquecayó 4,1 por cientoen diciembre de 2024 respecto a noviembre del mismo año.
Un hogar promedio del AMBA, que no recibe subsidios, en febrero de 2025 debió destinar136.104 pesos promediopara cubrir necesidades energéticas, de transporte y de agua potable. El monto representa un incremento de 82 por ciento respecto al mismo mes del año anterior, aunque disminuyó 6 por ciento en la relación intermensual.
Como ocurre con otros indicadores, algunos muestran mejoras leves porque la comparación es contra los primeros meses de gestión de la Libertad Avanza cuando la devaluación impactó duramente sobre la actidad económica y los ingresos.
El reporte realizado por el Observatorio de Tarifas y Subsidios de la UBA y el Conicet sostiene además que la reducción del 6 por ciento en canasta de servicios públicos en febrero respecto a enero se explica principalmente por ladisminución estacional del consumo de energía eléctrica: se redujo un 15 por ciento.
Otros de los datos que influyeron en el número a la baja fueron el cálculo de la tarifa mensual de agua porque febrero tiene menos días e implicó un menor gasto, y la estabilidad en el consumo de gas natural que se mantuvo constante.
En los 15 meses que van desde diciembre de 2023 hasta febrero de 2024, inclusive, la canasta de servicios del AMBA aumentó 401 por ciento, mientras que en igual franja de tiempo el nivel general de precios se incrementó en 127 por ciento, revela el estudio.
En relación con el segundo mes del año pasado, el gasto total en la canasta de servicios creció 82 por ciento:el gas natural se incrementó 573 por ciento, representando el mayor peso, y el agua, 311 por ciento. En menor escala pero también al alza, la energía eléctrica y el transporte aumentaron un 43 y 37 por ciento, respectivamente.
Las estimaciones contemplan que los hogares del AMBA continúan recibiendo subsidios que cubren aproximadamente el 50 por ciento del costo de los servicios públicos, aunque varía entre diferentes segmentos de hogares y tipos de servicios.
Si se eliminaran la totalidad de los subsidios, con la evolución salarial vigente, la mayor parte de la población no podría afrontar el pago de estas prestaciones esenciales.
El último Indicador sintético de servicios públicos (ISSP) elaborado por Indec registró en diciembre una baja del 0,5 por ciento con respecto a noviembre, pero creció 0,9 por ciento sobre igual mes del año anterior. En el segmento de electricidad, gas y agua, en relación al año anterior tuvo una caída del 1,3 por ciento.
",https://www.pagina12.com.ar/811973-fuerte-aumento-de-los-servicios-esenciales
Pagina 12,2025-03-20,Desafío 2025 para las paritarias,"El comienzo del segundo año de la gestión de Javier Milei en la presidencia muestra en general una tendencia derecuperación leve en indicadores clavesvinculados a la producción y al trabajo. La variación positiva se explica en tanto la comparación es contra el primer bimestre de 2024, etapa atravesada por ladevaluación del peso en más de 50 por ciento y el ajuste motosierraen la mayoría de los aspectos de la economía real.
Entre las estimaciones, la Remuneración Imponible Promedio de los Trabajadores Estables (RIPTE) es uno de los datos que el Gobierno nacional mira con atención por dos motivos centrales:
*Por un lado, pretende que no se dispare porque repercute en el caballito de batalla de la administración libertaria:mantener a raya la inflación. Fue el propio ministro de Economía, Luis Caputo, quien anunció el techo para las paritarias 2025 en alrededor del 1,0 por ciento pero manifestó como ideal que “tiendan al 0 por ciento”. Algunos ejemplos sobre esta aplicación son los acuerdos alcanzados por la Unión Obrera Metalúrgica (UOM) de 1,8 por ciento en enero, 1,5 en febrero y 1 por ciento en marzo; por el gremio Camioneros de 1,8 en enero y 1,5 en febrero y por la Unión Personal Civil de la Nación (UPCN) del 1,5 y 1,2 por ciento en enero y febrero respectivamente.
*A la vez, necesitapresentar alguna mejoraen términos de poder adquisitivo, aunque lejos está de la declaración del primer mandatario cuando expresó: “el salario básico en la Argentina pasó de 300 dólares a 1.100 dólares”. Más adelante se desmintió a él mismo para cuestionar un aumento de sueldo para el Poder Legislativo que había propiciado la vicepresidenta Victoria Villarruel:  “el salario promedio de la economía es 400 mil y pico de pesos”, aseguró entonces Milei.
El RIPTE trepó 0,4 por ciento en términos reales durante enero, sobre diciembre del año pasado.Se ubicó en 1.234.658,40 pesos, que en la relación interanual significa una suba del 20,2 por ciento. La cifra compara la actualidad con los primeros meses del gobierno de la Libertad Avanza, atravesados por la inflación al alza y la incertidumbre. Sin embargo,las remuneraciones no lograron recuperar el nivel anterior a la asunción del primer presidente libertario del mundo: está 1,4 por debajo de noviembre de 2023.
De acuerdo con la opinión de distintos especialistas formados en economía, las estimaciones más certeras para evaluar la evolución de los salarios del empleo registrado privado, son antes que las del RIPTE, las del Sistema Integrado Previsional Argentino (SIPA).
Los últimos informes publicados por el Indec sobre el tema apuntaron quelos salarios formales cayeron 5,1 por ciento en promediodurante la gestión de Milei: el 15,3 por ciento de la retracción la sufrieron los estatales, mientras que los sueldos del sector privado crecieron solo 0,6 por ciento.
Los economistas advierten los problemas que podrían surgir al utilizar el RIPTE como principal referencia sobre la situación de los salarios en Argentina. Entre las falencias que remarcan se encuentran que el indicador:
*Toma las variaciones de la base de aportes de la seguridad social, cuyo tope se actualiza cada tres meses.
*No contempla los conceptos no remunerativos.
*No incluye los ingresos de los trabajadores más nuevos porque contabiliza sólo los sueldos de los empleos bajo relación de dependencia declarados en forma continua durante los últimos 13 meses.",https://www.pagina12.com.ar/811974-desafio-2025-para-las-paritarias
Pagina 12,2025-03-20,El Banco Central paga el costo de la incertidumbre,"Las reservas internacionales del Banco Central continúan en descenso y la entidad no logra frenar el drenaje. Este miércoles debió vender otros 186 millones de dólares, acumulando una pérdida de 931 millones de dólares en los últimos cuatro días. En total, desde el viernes pasado, las reservas cayeron 1057 millones de dólares, alcanzando los 27.045 millones de dólares.
La cotización del dólar en lo",https://www.pagina12.com.ar/812049-el-banco-central-paga-el-costo-de-la-incertidumbre
Pagina 12,2025-03-19,"Dólar blue, dólar hoy: a cuánto cotizan el miércoles 19 de marzo de 2025","Seguí en vivo las cotizaciones de todos los tipos de dólar para este miércoles.


La inflación mayorista fue de 1,6 por ciento en febrero contra el mes anterior, según informó el Indec, con lo cual se mantuvo cercana al índice de enero (1,5 por ciento) y en el primer bimestre trepó 3,2 por ciento acumulado.
La actividad metalúrgica creció en febrero 5,3 por ciento en forma interanual y 1 por ciento con relación a enero, impulsada por la maquinaria agrícola y las carrocerías y remolques. Los datos positivos surgen de la comparación con el segundo mes del 2024, cuandocorría la devaluación y la incertidumbre económicaprovocadas por Javier Milei apenas asumió la presidencia de la Nación.
""El país está a toda velocidad (...). El presidente Milei está trabajando fuerte para generar las inversiones necesarias para el desarrollo de nuestros recursos energéticos"". No se trata de una declaración de otros tiempos ni fue pronunciada por el vocero presidencial ni otro funcionario de este gobierno. Lo dijo Alejandro Bulgheroni, CEO de Pan American Energy Group (PAE), este martes por la mañana en un encuentro empresario en el elegantísimo hotel y mansión Four Seasons, en el barrio de Recoleta (CABA).

El fondo Attestor Master Valueejectuó el cobro de 209 millones de dólarespertenecientes a un embargo que la jueza de Nueva YorkLoretta Preskaaprobó en contra de la Argentina por losbonos Brady, emitidos en 1990 y defaulteados en 2001.
El modelo económico libertario no sólocruje por la sangría de reservas del Banco Centralpara poder mantener controlado al dólar. Del costado productivo, el combo de apreciación cambiaria, achicamiento del mercado por deterioro del poder adquisitivo, avalancha de importaciones y suba de costos por tarifas vienerepresentando un fuerte desincentivo para la producción nacional. Reflejo de ello son las noticias de despidos y suspensiones laborales.
El gobierno de Javier Milei modificó la normativa de venta de bienes del Estado de modo tal que ahoralos muebles, inmuebles y demás bienes vaciados o en desuso podrán rematarse por internet, a través de sitios privados de subastaselectrónicas.
Por Mara Pedrazzoli
Seis de cada 10 argentinos eligieron Miami como principal destino para realizar untourde compras en el fin de semana XL por Semana Santa (del jueves 17 al domingo 20 de abril) y Brasil fue el principal centro escogido para vacacionar, según un relevamiento privado. El atraso cambiario y la recuperación del nivel de actividad presionan sobre el saldo en divisas del Banco Central, en un contexto donde el Gobierno negocia con el FMI un acuerdo para que ingresen fondos frescos y busca por todos los medios evitar una devaluación brusca. En lo que va del año las reservas acumuladas en el Banco Central disminuyeron en alrededor de 2.300 millones de dólares.
Por Leandro Renou
A media mañana del martes, el ministro de Economía, Luis Caputo, debía estar exponiendo ante empresarios en el Foro Económico Internacional de las Américas (IEFA), pero la noche anterior canceló el convite de manera sorpresiva. En esas horas, el funcionario coordinó una entrevista televisiva para el día siguiente, en vivo, antes de la apertura de los mercados. ""No nos podemos gastar 1000 palos por semana para calmar el dólar"", admitió ante uno de sus laderos -según confiaron desde su entorno a Página I12-, justificando así la necesidad de un mensaje urgente a inversores el día siguiente.

El dólar oficial abrió a $1048,50 para la compra y $1088,50 para la venta.
Las declaraciones del ministro de Economía,Luis Caputo, en la previa de la apertura de los mercadosno parecieron traer confianzasobre un futuro acuerdo con el FMI que genere estabilidad en la economía.",https://www.pagina12.com.ar/811817-dolar-blue-dolar-hoy-a-cuanto-cotizan-el-miercoles-19-de-mar
Pagina 12,2025-03-19,"Caputo, en la trampa de la devaluación del FMI","A media mañana del martes, el ministro de Economía, Luis Caputo, debía estar exponiendo ante empresarios en el Foro Económico Internacional de las Américas (IEFA), pero la noche anterior canceló el convite de manera sorpresiva. En esas horas, el funcionario coordinó una entrevista televisiva para el día siguiente, en vivo, antes de la apertura de los mercados. ""No nos podemos gastar 1000 palos porPágina I12",https://www.pagina12.com.ar/811691-caputo-en-la-trampa-de-la-devaluacion-del-fmi
