diario,fecha,titulo noticia,contenido,link
Pagina 12,2025-03-01,Aumentó el costo de la vianda y el transporte escolar,"El costo de comprar un plato de comida en el comedor escolar aumentó 84 por ciento respecto del año anterior y totalizó alrededor de 192.000 pesos, según un relevamiento privado. En tanto, el costo de preparar en el hogar una vianda para el colegio es de 58.000 pesos al mes y subió un 77 por ciento. Estos son algunos de los costos involucrados en el inicio de clases, además de la canasta de útiles. Por otro lado estimaron el precio del traslado en un transporte escolar (98.000 pesos al mes) versus una app de movilidad (que llegó a 120.000 pesos). En el interín los gremios docentes mantienen el llamado al paro en reclamo salarial.
En Argentina el 80 por ciento de los estudiantes asisten a escuelas estatales, y aproximadamente un 20 por ciento a escuelas privadas, laicas o religiosas. La conflictividad en este inicio de clases es alta porque los gremios exigen la actualización del piso salarial nacional, que no se toca desde agosto. Tras el paro de los sindicatos docentes nacionales de este lunes, se rechazó la propuesta salarial del Gobierno (de 500.000 pesos desde febrero para un docente de media jornada) y ratificó un nuevo paro para el 5 de marzo. El Gobierno dice que su propuesta busca terminar con la ""dispersión salarial que existe entre los docentes de las 24 jurisdicciones del país"".
Pero no solo el acuerdo salarial docente se negocia en febrero, también otros precios vinculados al ámbito escolar. “Estacionalmente el mes de febrero es un mes donde el rubro educación por inicio de clases marca aumentos más elevados en este sector de servicios que otros. Particularmente el precio de los servicios adicionales a la matrícula y cuota escolar cómo puede sertransporte y comedor escolarpresentaron los nuevos listados durante este mes con aumentos de hasta 84 por ciento interanual”, detalló Damián Di Pace Director de la Consultora Focus Market.
Elpromedio mensual delcosto en un comedor escolares de 191.800 por mes, el cual representa un aumento del 84 por ciento con respecto al 2024, según relevó la consultora Focus Market. En este ejemplo se toma el menú más caro que corresponde al nivel de cuarto grado en adelante (niveles anteriores cuestan aproximadamente un 10 por ciento menos). El cálculo corresponde a 20 días hábiles multiplicados por un costo de 9.590 pesos por día (esto si se contrata el servicio mensual porque si el servicio se tomara solo por algunos días, puede costar un 15 por ciento más, aclaran).
En tanto, el precio de lavianda hogareñamensual(20 días) este año sumó 58.102 pesos (promedio de 2,905 pesos por vianda), esto es un 77 por ciento más alta que el año pasado, de acuerdo con la consultora. En este ejemplo se debe tener en cuenta que en algunos colegios se cobra el servicio de vianda, con un valor promedio de 1.500 pesos por día por calentar y servir la vianda (y en algunos casos se le da jugo y postre al niño, lo cual sumaría al valor de la vianda hogareña aproximadamente 30.000 pesos más al mes).
Para el transporte escolar las distancias determinan el análisis de eficiencia en el gasto que puede realizar una familia, contemplando la posibilidad de llevar a los chicos en transporte público o particular o evaluando la opción de plataformas de servicios de movilidad automotor. A modo de ejemplo, este año eltransporte escolartiene un valor promedio de 98.000 pesos por mes, de acuerdo al relevamiento de Focus Market. Ese valor corresponde a una distancia desde la casa al colegio (ida y vuelta), de 25 a 30 cuadras a la redonda .

En tanto si se elige el traslado a través de unaapp de movilidad, el precio promedio es de 120.000 pesos por mes, tomando la misma distancia, desde la casa al colegio (ida y vuelta). Claro que este valor puede variar de acuerdo al horario y la demanda del servicio, que suele ser mayor en el horario de salida escolar y laboral entre las 17 y 18hs.",https://www.pagina12.com.ar/807526-aumento-el-costo-de-la-vianda-y-el-transporte-escolar
Pagina 12,2025-03-01,Silencios cómplices del poder económico,"El tiempo pone todo en perspectiva y, por lo general, lo hace de una manera despiadada. Aquel establishment que en los últimos 20 años hizo gala de la defensa de las instituciones ante el avance del poder político de turno -en general el peronismo- parece haber hecho un pacto de silencio con el Presidente Javier Milei para evitar cuestionar una agenda que, claramente, supone un avance inédito y pe",https://www.pagina12.com.ar/807536-silencios-complices-del-poder-economico
Pagina 12,2025-03-01,El Banco Central habilitará el pago del transporte público con QR,"El Banco Central de la República Argentina (BCRA) estableció los requisitos que deberán cumplir las billeteras y apps para adherir al sistema de pagos QR en los pasajes de transporte público urbano. La medida comenzará a funcionar en líneas de colectivos, trenes y subtes a partir del 12 de mayo. Para no depender de la conectividad, los usuarios deberán descargar el código antes de viajar.
Mediante la comunicación A 8206 emitida este jueves, la entidad monetaria implementó un nuevo estándar regulado para que las empresas puedan incorporar pagos con código QR al sistema de transporte público.
La iniciativa ""garantiza que con las billeteras digitales interoperables registradas ante el BCRA que ofrezcan a sus clientes el servicio puedan pagar el transporte público en aquellas plataformas de pago que acepten esta nueva modalidad"", se informó oficialmente.
Con la nueva modalidad, que entrará en operatividad a partir del 12 de mayo, la persona usuaria será responsable de generar previamente el código QR desde su billetera digital. De esa manera, el organismo monetario busca evitar los problemas de conectividad a internet que podrían ocurrir al momento de viajar y, con ello, el malestar social que produce. Una vez arriba del transporte público, los pasajeros deberán validar el QR en el escáner colocado en cada unidad.
En ese sentido, desde el BCRA aclararon que se trata de un método ágil y diferente al de uso habitual en los comercios, que depende integralmente del acceso a la red.
Estas opciones de pago funcionan como alternativa a la tarjeta SUBE, que seguirá vigente, y se suman a las incorporadas recientemente como el uso de tarjetas de crédito y de celular para abonar el pasaje.
Según detalló la norma, inicialmente, el sistema de código QR solo admitirá́ pagos con débito desde cuentas bancarias (CBU) y de pago (CVU).
La nueva metodología, que lleva como nombre Viaje con QR (VQR), requiere que las empresas de transporte adapten las máquinas validadoras -de lectura inmediata- a partir del estándar técnico fijado por el BCRA.
El nuevo método generaba controversias porque la compañía Mercado Pago se había encargado de hacercarle la propuesta al Gobierno nacional. Sin embargo, desde el BCRA abrieron la iniciativa a todas las billeteras interoperables -bancarias o de fintech- registradas en el organismo para fomentar la competencia, argumentaron. De esta manera, las que no estén autorizadas oficialmente quedan por afuera del negocio.
Para garantizar el normal funcionamiento del sistema se requiere de dos grupos de servicios: las billeteras digitales y los administradores QR. Estos últimos procesan las transacciones en los accesos mediante lectores específicos.
La firma de Marcos Galperin -Mercado Pago- participa en los dos rubros y ganó la concesión de Subterráneos de Buenos Aires (Sbase), para gestionar la forma de pagos del boleto.
Con descuentos y reintegros que llegaron hasta el 100 por ciento, el primer mes de uso  en la Ciudad de Buenos Aires se registraron más de 2 millones de pagos con tarjetas, basados en la tecnología contactless. Esta herramienta, que también se implementó en Mendoza, tenía la dificultad de no abarcar a todo el espectro de aparatos celulares y limitaba las posibilidades de adquirir el boleto con medios optativos a la SUBE.",https://www.pagina12.com.ar/807522-el-banco-central-habilitara-el-pago-del-transporte-publico-c
Pagina 12,2025-02-28,Cuenta DNI en marzo 2025: todos los descuentos y beneficios del mes,"Cuenta DNI, la billetera digital delBanco Provincia,comunicó los descuentos en comercios de cercanía, ferias y mercados que tendrá disponibles durante marzo 2025. Además, para acompañar a las familias con hijos en edad escolar, la plataforma de pagos electrónicos ofrecerátres jornadas con25% de descuentoen librerías adheridas.
De a cuerdo a información oficial, desde el 5 y hasta el 8 de marzo, los pagos que se realicen con la app Cuenta DNI tendrán un descuento especial del 25% en librerías, con untope de reintegro de $5.000. Esta medida intenta amortiguar el aumento de hasta el 44% que se registró en la canasta escolar en comparación con el año pasado.
Así, la banca pública bonaerense se prepara paraacompañar lavuelta a clasesde millones de chicos y chicas. Además de este beneficio puntual, durante marzo se mantendrán las siguientes promociones:
Todos los días, los usuarios de Cuenta DNI podrán acceder a un20% de descuentoen comercios de cercanía dedicados a la venta de alimentos, incluyendo locales de gastronomía. Eltope mensual de reintegro es de $6.000por persona, alcanzable con consumos totales de $30.000.
En ferias, mercados y eventos, se ofrecerá un40% de descuento todos los días, con untope semanal de $5.000. Este límite se alcanza con compras de $12.500 por semana.
Lossábados 8 y 22 de marzo, las carnicerías, granjas y pescaderías adheridas brindarán un 35% de descuento, con untope de reintegro de $6.000por jornada, alcanzable con consumos de $17.150 en el día.
Todos los días, los comercios de cercanía que no pertenezcan al rubro de alimentos ofrecerán la posibilidad de pagar en hasta tres cuotas sin interés, utilizando tarjetas Visa y/o MasterCard del Banco Provincia vinculadas a la aplicación.

Todas las personas pueden adherirse a Cuenta DNI del Banco Provincia y obtener todos los beneficios mencionados. A continuación,el paso a paso para obtener la billetera electrónica del Bapro:
La Cuenta DNIno tiene costos de aperturani de mantenimiento. Tanto la aplicación como la caja de ahorros son gratuitas. Los jóvenes de 13 a 17 años también pueden solicitar su Cuenta DNI. Para tramitarla, solo es necesario tener laúltima versión física del Documento Nacional de Identidad.
Desde su lanzamiento, Cuenta DNI ha buscado facilitar las transacciones digitales y ofrecer beneficios económicos a sus usuarios, especialmente en momentos clave como el inicio del ciclo escolar.",https://www.pagina12.com.ar/807453-cuenta-dni-en-marzo-2025-todos-los-descuentos-y-beneficios-d
Pagina 12,2025-02-28,"Dólar blue, dólar hoy: a cuánto cotizan el viernes 28 de febrero de 2025","Seguí en vivo las cotizaciones de todos los tipos de dólar para este viernes.


Por Bernarda Tinetti
Los préstamos personales en pesos, que otorgan las entidades financieras, se triplicaron en 2024 y registraron un crecimiento interanual del 204 por ciento en enero: pasaron de 2.01 billones de pesos a 10.7 billones de pesos, según datos del Banco Central. El alza en la demanda de estos instrumentos financieros está asociada a la pérdida del poder adquisitivo de los salarios, a la estabilidad del Índice de Precios al Consumidor, que difunde el Indec, y a la baja de las tasas.
Por Mara Pedrazzoli
En enero el valor promedio de los alquileres subió 2,7 por ciento respecto a diciembre de 2024, según mediciones privadas. La correlación entre alquileres y la inflación minorista contiene el impacto de la recesión interna que mantiene los precios relativamente estables. Ni los precios de alquileres, ni la oferta para alquilar se vio sustancialmente afectada por la derogación de la Ley de alquileres que ya suma poco más de un año. La oferta mantuvo en enero su tendencia a la caída. Tampoco cambió que el 40 por ciento del salario debió destinarse al pago del alquiler en el primer mes del año.
Por Leandro Renou
Con el telón de fondo del escándalo global de $Libra, la cripto estafa que el presidente Javier Milei promocionó en sus redes sociales, en Estados Unidos y en Argentina los gobiernos parecen haber decidido actuar en espejo para encubrir presuntas irregularidades y posibles delitos de las firmas del sector.En las últimas horas, Donald Trump dispuso un cambio radical de la cabeza de la Security Exchange Commission (SEC), el organismo regulador; bajó en tiempo récord investigaciones contra irregularidades en empresas del sector y se dispone a hacer una política pro cripto. Ese antecente es un inconveniente serio para Argentina: avisa que será muy dificil que los reguladores de Estados Unidos se ocupen con seriedad del caso Milei y la estafa cripto, aún cuando hay operadores de ese país vinculados a la estafa.
ElBanco Central de la República Argentina(BCRA) volvió a prorrogar la norma para que losdólares ""cara chica"" ""viejos"" o ""algo dañados""sigan siendo aceptados por todas las entidades bancarias hasta fin de año. Sin embargo, la Comunicación ""A"" 8205 no obliga a aplicar esta política, por lo que algunos bancos podrían adoptar la misma lógica que ya funciona desde hace tiempo en el mercado paralelo, donde solo se aceptan los dólares ""cara grande"" o se cambian a un precio diferencial.

En el tercer trimestre de 2024, losingresos netos de inversión extranjera directatotalizaron 2395 millones de dólares, explicados por la reinversión de utilidades por 1.151 millones de dólares, aportes de capital por 669 millones de dólares, ingresos netos por transacciones de deuda por 572 millones de dólares y fusiones y adquisiciones por 4 millones de dólares. Así lo precisó el Banco Central en su último informe sobre Inversión Extranjera Directa (IED).
Por Mara Pedrazzoli
El Banco Central habilitará desde este viernes 28 de febrero los pagos en dólares con tarjeta de débito y códigos QR en comercios. La medida fue anunciada a principios de este año, cuando se autorizó a exhibir precios en ambas monedas, y abrirá una nueva fase en la dinámica de pagos en Argentina, al menos en sectores puntuales con precios de referencia en dólares. Especialistas sostienen que es una buena alternativa para movilizar los ahorros en moneda extranjera de los argentinos, pero advierten sobre riesgos eventuales de descalces ante una devaluación, o debilidad del peso si se mantiene la brecha cambiaria.
El dólar oficial abrió a $1041,25 para la compra y $1081,25 para la venta.
Elmercado argentino atraviesa una semana marcada por la volatilidad, con fuertes caídas en los activos bursátiles y tensiones en el mercado cambiario. El S&P Merval no logra encontrar un piso y este jueves volvió a caer con fuerza, mientras que el riesgo país quedó al borde de los 770 puntos. Los inversores buscan señales concretas sobre el acuerdo con el Fondo Monetario Internacional (FMI) y una posible flexibilización del cepo cambiario.
El dólar oficial cotiza a $1041,25 para la compra y $1081,25 para la venta.
El dólar blue está a $1205 para la compra y a $1225 para la venta.",https://www.pagina12.com.ar/807383-dolar-blue-dolar-hoy-a-cuanto-cotizan-el-viernes-28-de-febre
Pagina 12,2025-02-28,El rumbo económico de Milei no seduce a la inversión extranjera directa,"En el tercer trimestre de 2024, losingresos netos de inversión extranjera directatotalizaron 2395 millones de dólares, explicados por la reinversión de utilidades por 1.151 millones de dólares, aportes de capital por 669 millones de dólares, ingresos netos por transacciones de deuda por 572 millones de dólares y fusiones y adquisiciones por 4 millones de dólares. Así lo precisó el Banco Central en su último informe sobre Inversión Extranjera Directa (IED).
Lossectores que captaron mayores flujosde IED en el tercer trimestre de 2024 fueron las “sociedades captadoras de depósitos, excepto el Banco Central”, con 871 millones de dólares; “explotación de minas y canteras”, con 718 millones de dólares e “industria manufacturera”, con 371 millones de dólares. El principal origen de los flujos de IED fue España, con ingresos netos por 788 millones de dólares, seguido por Brasil con 589 millones de dólares. Luego se ubicaron Estados Unidos, con 267 millones de dólares, China, con 191 millones de dólares y Chile, con 130 millones de dólares.
Laposición pasiva bruta de IEDalcanzó los 171.795 millones de dólares, con participaciones de capital de 115.552 millones de dólares, e instrumentos de deuda por 56.242 millones de dólares. Estados Unidos se ubicó como el principal origen de la IED en Argentina, con un stock de 28.875 millones de dólares al 30.09.24, lo que representó un 17 por ciento del total de tenencias. En segundo lugar, se encontró España, con una posición pasiva bruta de 26.562 millones de dólares (15 por ciento del total), y en tercera posición Países Bajos, con 20.100 millones de dólares (12 por ciento del total). Esos tres países concentraron el 44 por ciento del stock de IED en Argentina.
Losaportes de capitalacumularon ingresos netos por 669 millones de dólares en el tercer trimestre de 2024, siendo la segunda fuente de financiamiento por parte de los inversores directos. Esta cifra superó en 67 millones de dólares a la registrada un año atrás. Del monto total de aportes del período, el 90 por ciento correspondió a aportes en efectivo.
En el tercer trimestre de 2024, el 88 por ciento de los aportes de capital tuvieron como destino dos sectores: “Industria manufacturera” que, con 427 millones de dólares, representó el 64 por ciento del total, y “Explotación de minas y canteras”, con 160 millones de dólares y el 24 por ciento del total.
En tanto, larenta de capitalde IED se estimó en 1303 millones de dólares para el tercer trimestre de 2024, con una caída del 39 por ciento interanual. A nivel sectorial, el 66 por ciento de la renta de capital fue explicada por “Sociedades captadoras de depósitos, excepto el banco central”, la cual alcanzó los 854 millones de dólares.
Ladistribución de utilidades y dividendosdel tercer trimestre de 2024 fue de 152 millones de dólares (-26 por ciento interanual). La deuda de utilidades y dividendos aumentó en 95 millones de dólares, mientras que unos 57 millones de dólares fueron cancelados utilizando otros medios de pago. Con estas cifras, la reinversión de utilidades en el período se ubicó en 1.151 millones de dólares (-40 por ciento interanual).
Los flujos por fusiones y adquisiciones representan en la actualidad el menor de los flujos transaccionales de IED en Argentina. Puntualmente, en el tercer trimestre de 2024 se registró una entrada neta de 4 millones de dólares por este concepto, la cual estuvo explicada principalmente por “Industria manufacturera” y “Explotación de minas y canteras”.
En el tercer trimestre de 2024 los flujos transaccionales de deuda de IED resultaron en ingresos netos por 572 millones de dólares (-86 por ciento interanual), de los cuales 519 millones de dólares correspondieron a deuda de carácter financiero, mientras que los restantes 54 millones de dólares a deuda comercial. El crecimiento de la deuda comercial fue explicado principalmente por la deuda de importaciones de servicios con empresas vinculadas, que registró un aumento neto de 687 millones de dólares. Por el contrario, la deuda por importaciones de bienes con empresas vinculadas se redujo 593 millones de dólares en el tercer trimestre de 2024. En la misma línea, la deuda por exportaciones de bienes se redujo 49 millones de dólares.",https://www.pagina12.com.ar/807244-el-rumbo-economico-de-milei-no-seduce-a-la-inversion-extranj
Pagina 12,2025-02-28,La demanda de préstamos personales creció más de 200% en 2024,"Los préstamos personales en pesos, que otorgan las entidades financieras, se triplicaron en 2024 y registraron un crecimiento interanual del 204 por ciento en enero: pasaron de 2.01 billones de pesos a 10.7 billones de pesos, según datos del Banco Central. El alza en la demanda de estos instrumentos financieros está asociada a la pérdida del poder adquisitivo de los salarios, a la estabilidad del Índice de Precios al Consumidor, que difunde el Indec, y a la baja de las tasas.
El último año, -con la reducción de la tasa de interés que pasó de superar el 100 por ciento cuando asumió Javier Milei en diciembre 2023 al 33,63 por ciento en la actualidad, y los problemas que atravesaron las familias para enfrentar gastos- los préstamos personales tomaron impulso, aunque la demanda de todo tipo de créditos se mantuvo al alza.
En 2024, el dinero destinado a préstamos personales creció de en 2.01 billones de pesos a 10.7 billones de pesos. Fuentes oficiales aseguran que ""las tasas podrían bajar aún más porque tenemos domada la inflación"" para incentivar expectativas de inversión.
""El acceso al financiamiento es un motor importantísimo para la inversión y el consumo, dos pilares esenciales para sostener el crecimiento económico. Además, esta dinámica refuerza un círculo virtuoso: a medida que los actores económicos perciben estabilidad, se incrementan los depósitos, las inversiones y las oportunidades de crecimiento"", opinó Julián Sanclemente, CEO y cofundador de Alprestamo.
De acuerdo con el reporte del BCRA, los otros préstamos que registraron crecimientos importantes en el mismo período fueron: los hipotecarios +84,9 por ciento, los prendarios +95,1 por ciento y los del rubro ""otros"" + 105,7 por ciento. Dentro del último ítem, que abarca varios conceptos, una de las posibilidades es que las personas se estén endeudando para afrontar gastos corrientes porque ""no les alcanza el dinero"" debido al incremento del costo de vida.
""Si bien están creciendo los préstamos personales, también están creciendo los hipotecarios, los destinados a bienes durables como autos o motos y dentro de los personales, los que se toman para diferentes necesidades de consumo"", afirmó Damián Di Pace, economista y director de la consultora Focus Market.
El especialista aseguró además que ""el boom de los préstamos personales está directamente asociado a la baja de las tasas de interés"". Y en ese sentido consideró que ""el recorte de la tasa de política monetaria no es un incentivo como para que los bancos se queden en letras. Entonces, parte de esas letras pasan a encajes y lo prestan al sector privado"".
Por su parte, el volumen de dinero otorgado por préstamos al sector privado no financiero se duplicó en el último año: tuvieron un aumento interanual, en términos nominales, del 246,7 por ciento -98,7 teniendo en cuenta la inflación- y pasaron de 15.6 billones de pesos a 54.2 billones de pesos.
El sector empresario, según el índice de confianza que difunde Vistage, se encuentra optimista en relación a este tipo de instrumentos financieros. El último estimador alcanzó 113 puntos en el tercer trimestre de 2024 y marcó su nivel más alto en cuatro años, con un 80 por ciento de los encuestados que proyectan mejoras en la economía para 2025.
En cuanto a los bancos, el director de Focus Market adelantó que ""están encontrando un buen nivel de rendimiento en los préstamos personales"" y que a lo largo del año ""van a haber más recortes y bajas de tasas para el financiamiento para estos fines"".
Durante diciembre de 2024, el informe del BCRA, detalla que los créditos hipotecarios lideraron el crecimiento del financiamiento, con un aumento mensual del 16,1 por ciento a precios constantes y que acumulan un crecimiento anual del 36 por ciento en términos reales. En 2023, este mismo instrumento había sufrido una caída del 52 por ciento.",https://www.pagina12.com.ar/807233-la-demanda-de-prestamos-personales-crecio-mas-de-200-en-2024
Pagina 12,2025-02-28,$Libra y la omertá de los cripto-presidentes,"Con el telón de fondo del escándalo global de $Libra, la cripto estafa que el presidente Javier Milei promocionó en sus redes sociales, en Estados Unidos y en Argentina los gobiernos parecen haber decidido actuar en espejo para encubrir presuntas irregularidades y posibles delitos de las firmas del sector.En las últimas horas, Donald Trump dispuso un cambio radical de la cabeza de la Security Exchange Commission (SEC), el organismo regulador; bajó en tiempo récord investigaciones contra irregularidades en empresas del sector y se dispone a hacer una política pro cripto. Ese antecente es un inconveniente serio para Argentina: avisa que será muy dificil que los",https://www.pagina12.com.ar/807190-libra-y-la-omerta-de-los-cripto-presidentes
Pagina 12,2025-02-28,Un nuevo tarifazo eléctrico está en marcha,"Las distribuidorasde energía eléctricaen el Área Metropolitana de Buenos Aires (AMBA), Edesur y Edenor,le pidieron al gobierno nacional que aplique nuevos aumentos en el servicio eléctrico y una actualización atada a la inflación.
Las subas, de acuerdo a esa solicitud, serían de al menos el 10 por ciento. El nuevo cuadro de tarifas que tendrá que ser definido en última instancia por el Ejecutivo será publicado el próximo 31 de marzo y entrará en vigencia el 1° de abril.
El planteo de las empresas fue realizado durante una audiencia pública convocada por elEnte Nacional Regulador de la Electricidad (ENRE), correspondientealProceso de Revisión Quinquenal de Tarifas (RQT), que no solo involucra a tarifas sino también a los parámetros de calidad de servicio de los próximos años, penalidades por incumplimientos y planes de inversión de las distribuidoras.
Durante la audiencia, Fernanda Lacey, en representación de las asociaciones que integran la Comisión de Usuarios Residenciales del ENRE, recordó que ""entre febrero de 2024 y enero de 2025, las tarifas de Edenor y Edesuraumentaron en promedio un 431%, cuando lainflación en el mismo período fue 85%.Es decir, tuvieron un incremento extra de 187%"". Entre las objeciones planteadas, advirtió que las empresas ""pretenden incorporar alos incobrablescomo ítem, es decir que dentro de las tarifas los usuarios pagarían las deudas de quienes no pagaron"".
Ahora, el ente regulador y la Secretaría de Energía deberán analizar los números ydar una respuesta en las próximas semanasal pedido que, según el argumento de las empresas, fue hecho de acuerdo a “la evolución del perfil de los consumidores en los últimos años”. ""Las empresas pidieron ajustes mensuales, revisiones trimestrales y en el caso de Edesur compensación anual y reducir las categorías de 6 a 2. Las modificaciones introducidas para las proyeccionesreducen la calidad del servicio, flexibilizan las sanciones a las distribuidoras y trasladan costos injustificados a la tarifa"", advirtió durante la audiencia el ex interventor delENRE, WalterMartello.
En el caso de Edenor, se propuso quela factura pase a tener un valor de 29.544 pesospara el 80% de sus usuarios residenciales (2,3 millones), lo que equivale auna suba de 9.624 pesos en promedio por mes. El incremento sería del 8%, más un 2% asociado al sector de transporte, que se aplicaría a lo largo del año, de forma paralela a la actualización por inflación que se llevará adelante.
Para justificar su pretensión, la firma planteó que ""a nivel internacional la factura mensual con impuestosalcanzaría un valor de 27 dólarespor un consumo de 275 kWh muy por debajo de otros países como Brasil (44 dólares), en Chile y Perú de (59 dólares) y Uruguay (73 dólares)"".
Además, Edenor busca que la suba en el Valor Agregado de Distribución (VAD) sea de maneraautomática y periódicaa través de una fórmula compuesta mayormente por el Índice de Salarios (43,6%), el Índice de Precios Mayoristas (29,6%) y el Índice de Precios al Consumidor (26,8%).
Por el lado de Edesur, se detalló el pedido de “simplificar las escalas tarifarias, pasando de 6 a 2 categorías"", así como pidióincrementar el valor de los recargos por exceso de potencia.Según detallaron las distribuidoras, la tarifa que paga un usuario se compone de cuatro elementos en distintos porcentajes:la generación abarca el 44% de lo que se paga, la distribución demanda el 30%, el 24% son impuestos y el transporte, el 2%.
Martello advierte que ""ahora se establecenmáximos de 6 bonificaciones por corte prolongado o reiterado en un semestrey que el plazo de resolución de reclamos se extiende hasta 12 meses, afectando los derechos de los usuarios"". También critica que ""Edesur propone que losgastos por defensa del consumidor sean pagados por los usuarios"" y que ""los clientes tendrán que financiar el recambio de medidores en cuotas"".
Asimismo, las entidades de usuarios remarcaron que la Resolución 3/25 del ENRE, emitida en enero pasado, ""le quita potencia al esquema sancionatorio. Ello no es menor, dado que la capacidad del Ente para reponer la calidad del servicio justamente se sustenta en un fuerte esquema disuasorio, aplicando multas. Si esto no sucede, a las distribuidoras les resulta más rentable incumplir los estándares de calidad y pagar multas accesibles, que cumplir con la adecuada calidad en la prestación del servicio"".",https://www.pagina12.com.ar/807346-un-nuevo-tarifazo-electrico-esta-en-marcha
Pagina 12,2025-02-28,"""Todo para las empresas, nada para la gente""","El intendente de Esteban Echeverría, Fernando Gray, participó en una nueva audiencia pública organizada por el Ente Nacional Regulador de la Electricidad (ENRE). En esta ocasión, se abordaron las propuestas presentadas por las empresas Edenor y Edesur para el próximo período quinquenal, en el marco de la Revisión Quinquenal de Tarifas (RQT).
Durante su intervención, Gray expresó su preocupación por el modelo financiero que favorece a las empresas y no atiende las necesidades de la población. “Ya se ha tornado costumbre ver cómo el gobierno garantiza las metas financieras de las empresas mientras ignora por completo las necesidades de las argentinas y los argentinos. Voy a detenerme puntualmente en la concesionaria que nos brinda un servicio paupérrimo en Esteban Echeverría y la región: me refiero a Edesur. Mientras la empresa asegura mantener una vasta red de alta demanda, sabemos muy bien que supera los límites técnicos, operando transformadores y líneas de distribución escandalosamente obsoletos”, manifestó el jefe comunal.
Además, Gray destacó que las propuestas de las compañías, si se implementan, podrían impactar negativamente en las economías familiares, las industrias locales y la producción en el municipio. “Debemos poner sobre la mesa la realidad que nos preocupa a las echeverrianas y los echeverrianos: el modelo financiero, el equilibrio pretendido de la concesión y la remuneración exigida solo afectarán aún más los bolsillos de las familias, nuestras industrias y todo el aparato productivo del distrito”.
El Municipio de Esteban Echeverría, a través de su intendente y los equipos de gestión, sigue participando activamente en las audiencias públicas relacionadas con los temas que afectan directamente a los intereses de la comunidad.",https://www.pagina12.com.ar/807235-todo-para-las-empresas-nada-para-la-gente
