diario,fecha,seccion,url,mercado__merval__direccion,mercado__merval__magnitud,mercado__fx_ars__direccion,mercado__fx_ars__magnitud,mercado__tasa_bcra__direccion,mercado__tasa_bcra__magnitud,mercado__bonos_soberanos__direccion,mercado__bonos_soberanos__magnitud,optimismos__positividad_general,optimismos__apoyo_gobernanza,optimismos__optimismo_macro_corto,optimismos__optimismo_macro_largo,optimismos__optimismo_fin_corto,optimismos__optimismo_fin_largo,evento__tipo_evento,evento__shock,evento__caracter,evento__horizonte_dias,calidad_fuente__categoria,calidad_fuente__calidad_fuente_score,confianza,entidades__tipo_actor_principal,entidades__nombre_actor_principal,entidades__empresas_mencionadas,entidades__tickers_mencionados,entidades__sectores_mencionados,tematicas__menciona_inflacion,tematicas__menciona_pbi,tematicas__menciona_reservas,tematicas__menciona_embi,tematicas__menciona_deuda,tematicas__menciona_fmi,tematicas__menciona_salarios_paritarias,evidencia__citas_evidencia,evidencia__notas
Ámbito Financiero,2025-04-15 00:00:00,economia,https://www.ambito.com/economia/el-gobierno-javier-milei-elimino-el-ruca-y-concentran-los-datos-del-agro-el-sistema-sisa-n6134916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,0.0,0.0,0.0,0.0,regulatorio,positivo,prospectivo,21.0,periodistica,0.7,0.65,gobierno_nacional,Secretaría de Agricultura,[],[],"['agro', 'cadena agroindustrial', 'cárnico', 'lácteo']",False,False,False,False,False,False,False,"['La Secretaría de Agricultura resolvió dar de baja al Registro Único de la Cadena Agroindustrial (RUCA), en funcionamiento desde 2017, y concentrar toda la información de los productores y operadores de granos en el Sistema de Información Simplificado Agrícola (SISA).', 'La disposición fue formalizada a través de la Resolución General Conjunta 5673/2025, emitida en conjunto con la Agencia de Recaudación y Control Aduanero (ARCA).', 'Desde el Gobierno detallaron que esta modificación ""significará menor carga administrativa y permitirá tener a todos los actores de la cadena bajo un mismo registro e integrar toda la información"".']","La Secretaría de Agricultura (con ARCA) eliminó el RUCA y migrará automáticamente esos registros al sistema SISA; la Resolución General Conjunta 5673/2025 entra en vigencia el 6 de mayo de 2025. Se busca unificar registros, reducir carga administrativa y eventualmente integrar los registros cárnico y lácteo."
La Nación,2025-03-03 00:00:00,Política,https://www.lanacion.com.ar/politica/por-que-la-polarizacion-favorece-a-axel-kicillof-como-candidato-del-peronismo-segun-rosendo-fraga-nid03032025/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,electoral,positivo,vigente,,periodistica,0.7,0.25,provincia,Axel Kicillof,[],[],[],False,False,False,False,False,False,False,"['A partir de esto que está pasando, [Axel Kicillof] se ha transformado en figura nacional.', 'Es hoy una alternativa dentro del Justicialismo.', 'Y esta polarización nos está cansando más a nosotros, al periodismo y a los analistas políticos, que a la gente.']","El analista Rosendo Fraga afirmó que la polarización política en curso favorece a Axel Kicillof, transformándolo en figura nacional y en una alternativa dentro del Justicialismo. El artículo es un análisis político y no menciona impactos económicos, datos de mercado ni medidas económicas específicas."
La Nación,2025-02-25 00:00:00,Campo,https://www.lanacion.com.ar/economia/campo/banco-santander-le-compro-a-galicia-el-50-de-una-innovadora-plataforma-de-pagos-y-financiamiento-nid25022025/,0.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.1,0.2,0.3,0.5,corporativo,positivo,vigente,310.0,periodistica,0.7,0.6,empresa_mercado_ext,Banco Santander SA,"['Nera', 'Grupo Galicia', 'Banco Galicia', 'Banco Comafi', 'Banco del Sol', 'Grupo Sancor']",[],"['agro', 'fintech', 'bancario', 'plataformas de pagos', 'tecnología', 'agrotech']",False,False,False,False,False,False,False,"['Banco Santander SA compró el 50% de Nera, la plataforma digital de pagos y financiamiento para el sector agropecuario de Grupo Galicia.', 'La operación abarca las actividades de la firma en la Argentina, Paraguay y Uruguay y tiene por objetivo, explicaron, ampliar su alcance y fortalecer su desarrollo tecnológico.', 'Con esta nueva estructura, el productor podrá encontrar en la plataforma las ofertas de Banco Galicia, Banco Comafi, Banco del Sol y, próximamente, Santander.']","Banco Santander SA adquirió el 50% de Nera (plataforma de pagos/financiamiento agropecuario) a Grupo Galicia; la operación cubre Argentina, Paraguay y Uruguay. Desde 2023 la plataforma registró más de 6.000 productores financiados y 28.000 operaciones; tiene 12.000 productores registrados y la meta es 15.000–18.000 en 2025. La intención declarada es ampliar alcance, fortalecer desarrollo tecnológico y convertir a Nera en una plataforma agrotech abierta y estándar del mercado."
Ámbito Financiero,2025-04-07 00:00:00,politica,https://www.ambito.com/politica/peligra-diputados-la-sesion-libra-la-oposicion-numeros-ajustados-conseguir-quorum-n6131924,-0.2,0.15,0.2,0.15,0.0,0.0,-0.2,0.15,0.2,0.15,0.2,0.3,0.2,0.3,otro,negativo,prospectivo,1.0,periodistica,0.7,0.25,congreso,oposición en Diputados,[],[],['criptomonedas'],False,False,False,False,False,False,False,"['La oposición en Diputados aúna fuerzas para poner en marcha la sesión pedida para este martes al mediodía, con los proyectos $LIBRA como plato fuerte.', 'En las horas previas al debate el quórum estaba en duda por la presión de los gobernadores a legisladores que les responden.', 'El Gobierno (de La Libertad Avanza) ‘levanta’ diputados de gobernadores de todos los bloques que pidieron la sesión y quiere hacer pasar rápido el tema $LIBRA un día antes de Semana Santa"", dijo una fuente parlamentaria.']","La oposición en Diputados pidió sesionar este martes al mediodía para tratar proyectos vinculados a $LIBRA, pero corre riesgo de no lograr quórum por presiones de gobernadores y ausencias en bloques. Se menciona la intención de crear una comisión investigadora sobre el caso y la percepción de debilidad del gobierno."
La Nación,2025-01-29 00:00:00,Economía,https://www.lanacion.com.ar/economia/esquema-8020-por-que-la-baja-de-retenciones-podria-prolongar-la-calma-de-los-dolares-financieros-nid29012025/,0.2,0.2,-0.6,0.6,-0.3,0.3,0.15,0.15,0.6,0.7,0.6,0.3,0.7,0.3,fiscal,mixto,vigente,152.0,periodistica,0.7,0.6,gobierno_nacional,Gobierno nacional,[],[],"['agropecuario', 'productos agrícolas', 'economías regionales', 'granos (soja, trigo, maíz, girasol)']",False,False,True,False,False,False,False,"['La reducción transitoria de las retenciones al campo podría ayudar a contener las presiones cambiarias hasta mitad de año.', 'Este lunes empezó a regir la baja de los derechos de exportación para los principales cultivos... que estará vigente hasta el 30 de junio próximo.', 'Por eso, la reacción inmediata del mercado el viernes pasado fue una caída del 1% del dólar MEP y del 2,1% del contado con liquidación.']","El Gobierno bajó transitoriamente las retenciones a varios cultivos (detalles de alícuotas en el texto), medida vigente hasta el 30/06/2025. Analistas esperan que esto acelere liquidaciones del agro y aumente la oferta de divisas en los dólares financieros; tras la medida el MEP cayó 1% y el CCL 2,1% según el artículo."
La Nación,2025-01-14 00:00:00,Política,https://www.lanacion.com.ar/politica/milei-gano-el-premio-nobel-judio-por-su-apoyo-a-israel-y-a-las-victimas-del-terrorismo-nid14012025/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.25,0.35,0.2,0.3,externo,neutro,vigente,,periodistica,0.7,0.25,gobierno_nacional,Javier Milei,[],[],[],False,False,False,False,False,False,False,"['El presidente Javier Milei ganó este martes el “Premio Nobel Judío” por su apoyo a Israel y a las víctimas del terrorismo.', 'incluyendo su decisión de trasladar la embajada argentina a Jerusalén y su postura firme en la ONU para revertir años de votos contrarios a Israel', 'También subrayó “la estabilización de la economía argentina en 2024″']","Javier Milei recibió el Genesis Prize (denominado aquí 'Premio Nobel Judío') por su apoyo a Israel; el comité destacó su traslado de la embajada a Jerusalén, su postura en la ONU y mencionó la 'estabilización de la economía argentina en 2024'. Milei declaró que donará el premio económico."
Clarín,2025-04-05 00:00:00,economia,https://www.clarin.com/economia/historia-llevo-bill-clinton-expandir-libremercado-donald-trump-revertirlo_0_SQAViZHPVO.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.15,0.25,0.15,0.25,regulatorio,negativo,retroactivo,,periodistica,0.7,0.25,gobierno_nacional,Donald Trump,[],[],"['acero', 'manufactura', 'comercio internacional', 'finanzas']",False,False,False,False,True,False,False,"['“Quiero un decreto para el viernes que retire a Estados Unidos del NAFTA”, ordenó Donald Trump cuando recién arrancaba como presidente en 2017.', 'La carta la firmó un grupo de republicanos y demócratas de lo más selectos, entre los que se incluían  Alan Greenspan y y Ben Bernanke, anteriores presidentes de la Reserva Federal; Laura Tyson, la principal consejera económica del gobierno de Bill Clinton, y el Premio Nobel Joseph Stiglitz.', 'Según Trump, las tarifas permitirán al gobierno aumentar la recaudación y bajar el déficit fiscal.']","Artículo periodístico que relata cómo Bill Clinton impulsó la apertura comercial (NAFTA, OMC) y cómo Donald Trump, ya en la presidencia, buscó revertir políticas de libre comercio mediante decretos y tarifas; incluye reacciones de economistas y advertencias sobre efectos económicos y fiscales (déficit, emisión, empleo)."
Ámbito Financiero,2025-03-25 00:00:00,opinion,https://www.ambito.com/opiniones/dnu-necesidad-ni-urgencia-n6127009,-0.6,0.5,-0.7,0.6,0.5,0.5,-0.6,0.6,0.1,0.1,0.05,0.1,0.05,0.1,fiscal,negativo,vigente,,periodistica,0.7,0.7,congreso,"Diputado Nacional (Unión por la Patria, Presidente Partido Solidario)",[],[],['textil'],False,False,True,False,True,True,False,"['El DNU 179/2025 ... impone un nuevo endeudamiento con el FMI', 'no conocemos el monto que involucra, las condiciones, la tasa de interés, en definitiva, ninguno de los elementos que lo componen.', 'se hubieran dejado de percibir unos cerca de 19.500 millones de dólares por la aplicación del llamado “dólar blend”, por el cual el 20% de las exportaciones se liquida por el contado con liquidación, y no ingresa a las Reservas Internacionales.']","Columna de opinión que critica el Decreto (DNU 179/2025) que autoriza endeudamiento con el FMI, denuncia falta de información sobre términos, advierte riesgo de fuga de capitales y describe impacto sobre Reservas por políticas cambiarias (dólar blend) y compras de títulos."
Ámbito Financiero,2025-03-02 00:00:00,politica,https://www.ambito.com/politica/facundo-manes-frenemos-antes-que-sea-tarde-la-pulsion-antirepublicana-milei-y-caputo-n6119253,-0.3,0.25,-0.3,0.2,0.2,0.2,-0.25,0.2,0.2,0.2,0.2,0.3,0.2,0.3,otro,negativo,vigente,,periodistica,0.7,0.25,congreso,Facundo Manes,[],[],[],False,False,False,False,False,False,False,"['""Frenemos antes de que sea tarde la pulsión antirepublicana de Milei y Caputo.""', '""Ya me vas a conocer, te voy a tirar todo el Estado encima"", fue la frase que desde el bloque Democracia por Siempre... difundieron como parte del presunto apriete del asesor presidencial.', 'La agresión sufrida por Manes anoche luego del discurso de Javier Milei... generó el repudio de todo el arco politico opositor.']","El artículo narra un conflicto político: el diputado Facundo Manes acusa al asesor presidencial Santiago Caputo de amenazas y a colaboradores de agresión física, anuncia posible denuncia y recibió apoyo del arco opositor. No se reportan medidas económicas, cambios de política o reacciones de mercado en la nota."
Clarín,2025-01-29 00:00:00,economia,https://www.clarin.com/economia/sectores-produjo-caida-75-inversion-publica-2024_0_bDkpK32pXz.html,-0.5,0.4,0.0,0.0,0.0,0.0,-0.4,0.4,0.1,0.1,0.1,0.1,0.1,0.1,fiscal,negativo,retroactivo,,periodistica,0.7,0.25,congreso,Oficina de Presupuesto del Congreso (OPC),[],[],[],False,True,False,False,False,False,False,"['La inversión pública ejecutada durante 2024 ascendió a $ 2,09 billones, lo que representó una disminución real del 75,1%con relación a la ejecución del ejercicio 2023.', 'En términos del Producto Interno Bruto, la caída de la inversión pública de un año a otro representó 0,9 puntos porcentuales, pasando de 1,3% del PIB en 2023 a 0,4% en 2024.', 'Así lo señala el Informe “Análisis de la Ejecución de la Inversión Pública 2024” de la Oficina de Presupuesto del Congreso (OPC) que destaca que “las caídas reales interanuales se registraron en los dos componentes: tanto la Inversión Real Directa (-71,5%) como las Transferencias de Capital (-76,7%).']","El Informe de la Oficina de Presupuesto del Congreso (OPC) indica que la inversión pública ejecutada en 2024 fue $2,09 billones, una disminución real de 75,1% respecto a 2023. La inversión pública cayó de 1,3% del PIB en 2023 a 0,4% en 2024; la Inversión Real Directa disminuyó 71,5% y las Transferencias de Capital 76,7%."
