fecha,merval_apertura,merval_maximo,merval_minimo,merval_cierre,embi_spread_arg,embi_spreads_brz,embi_spread_global,emae_original,emae_desestacionalizado,emae_tendencia_ciclo,tc_minorista,tc_mayorista,rrii,tamar,badlar,tm20,tasa_prestamos_personales,tasa_pf_pesos,tasa_pf_dolares,base_monetaria,circulacion_monetaria,dep_ccorrientes,dep_cahorro,dep_plazo,dep_plazo_fijo,m1,m2,m2_transaccional,dep_dolar_priv_ars,prestamos_privados_pesos_ars,prestamos_privados_dolares_ars,prestamos_privados_ars,inflacion,rem,cer,uva
2011-01-03,3524,3631.09,3523.82,3628.47998,493.329,181.391,282.417,133.0769197,145.5974385,143.3132278,4.01,3.97,52178.93257,,10.0625,,28.46,9.588927439,0.295091838,162877.5022,124765.9006,61676,57917,151131,81957,186441.9006,280621.9006,,257787.0408,166053,29509.4388,195562.4388,0.7,12,26319,
2011-01-04,3636,3657.01,3548.72,3613.72998,489.096,168.007,270.618,133.0769197,145.5974385,143.3132278,4.01,3.97,52185.44117,,10.875,,29.32,10.14318382,0.350075075,164389.3346,125040.0719,61828,58290,151943,82772,186868.0719,279740.0719,,258638.317,165528,29495.552,195023.552,0.7,12,26325,
2011-01-05,3608,3610.67,3566.58,3604.80005,482.67,163.797,263.52,133.0769197,145.5974385,143.3132278,4.01,3.97,52214.71372,,8.8125,,28.84,9.167972753,0.260885824,163500.1767,125293.3761,61573,59867,152162,82981,186866.3761,278836.3761,,260379.37,164951,29714.3,194665.3,0.7,12,26331,
2011-01-06,3606,3637.31,3588.8,3603.43994,485.963,165.343,271.855,133.0769197,145.5974385,143.3132278,4.01,3.97,52197.37251,,10.875,,29.01,10.20700496,0.307879446,163226.0882,125536.1199,60683,61194,152504,83360,186219.1199,279372.1199,,260758.524,165099,29845.8225,194944.8225,0.7,12,26337,
2011-01-07,3605,3623.68,3531.64,3546.26001,502.519,169.994,281.632,133.0769197,145.5974385,143.3132278,4.01,3.97,52118.77102,,8.3125,,29.91,8.939335847,0.294685603,163082.5441,126020.9057,59493,60432,154367,84040,185513.9057,277565.9057,,259366.2286,165140,30097.5612,195237.5612,0.7,12,26344,
2011-01-10,3547,3546.72,3497.84,3540.59009,501.724,173.575,287.602,133.0769197,145.5974385,143.3132278,4.01,3.98,52140.94789,,10.5625,,29.61,9.853962432,0.29374048,163319.0822,126771.2931,60254,57757,153372,83304,187025.2931,276909.2931,,257403.9424,165330,30131.4524,195461.4524,0.7,12,26366,
2011-01-11,3550,3576.6,3537.25,3545.70996,487.929,168.969,280.97,133.0769197,145.5974385,143.3132278,4.01,3.98,52200.78731,,10.8125,,30.27,10.17321588,0.416911039,163704.8172,127194.189,60338,56060,154171,83808,187532.189,276724.189,,255956.911,165412,30121.798,195533.798,0.7,12,26373,
2011-01-12,3556,3608.62,3555.73,3601.44995,478.402,166.274,278.37,133.0769197,145.5974385,143.3132278,4.01,3.98,52205.56382,,9.4375,,29.32,9.334079609,0.247389628,164108.2997,127445.6238,60868,54839,15429,83741,188313.6238,277363.6238,,255274.204,165524,30277.071,195801.071,0.7,12,26380,
2011-01-13,3602,3616.19,3539.01,3543.46997,479.007,168.192,281.384,133.0769197,145.5974385,143.3132278,4.01,3.98,52306.55859,,10.4375,,29.69,9.872318829,0.346760009,165039.362,127649.7896,60151,54234,165892,84070,187800.7896,266550.7896,,254097.725,165280,30277.575,195557.575,0.7,12,26387,
2011-01-14,3545,3551.83,3513.7,3539.06006,485.027,169.654,281.399,133.0769197,145.5974385,143.3132278,4.01,3.98,52331.31296,,10.375,,28.9,9.971291991,0.276572056,165948.5137,127644.8251,60599,53645,167918,84445,188243.8251,267153.8251,,253840.7555,165245,30405.5388,195650.5388,0.7,12,26394,
2011-01-17,3539,3564.79,3537.14,3563.3501,,,,133.0769197,145.5974385,143.3132278,4.01,3.98,52328.70337,,8.3125,,29.32,8.760653043,0.264829272,164835.2333,127643.2879,61107,52149,167646,83845,188750.2879,264701.2879,,252830.3214,165838,30413.1828,196251.1828,0.7,12,26415,
2011-01-18,3565,3613.81,3564.95,3613.81006,475.342,167.233,278.6,133.0769197,145.5974385,143.3132278,4.01,3.98,52406.68649,,11.0625,,29.5,10.13110376,0.31920623,163860.8707,127624.3582,61163,51501,170087,84430,188787.3582,262626.3582,,252291.0963,165792,30489.098,196281.098,0.7,12,26423,
2011-01-19,3616,3667.36,3615.57,3636.8999,495.322,174.853,285.444,133.0769197,145.5974385,143.3132278,4.01,3.98,52468.04467,,10.5625,,28.83,10.00998027,0.33479485,162926.1611,127559.0094,61870,51238,170117,84416,189429.0094,263738.0094,,252728.6052,165804,30536.1276,196340.1276,0.7,12,26430,
2011-01-20,3638,3698.69,3633.54,3664.82007,489.249,171.972,281.646,133.0769197,145.5974385,143.3132278,4.01,3.98,52503.45456,,10.3125,,29.02,9.850527385,0.309360003,163442.594,127550.7998,61584,51376,170386,84598,189134.7998,266101.7998,,252433.733,166312,30536.2764,196848.2764,0.7,12,26437,
2011-01-21,3669,3700.9,3638.6,3648.26001,492.814,169.615,284.126,133.0769197,145.5974385,143.3132278,4.02,3.98,52509.79299,,10.125,,29.66,9.913184708,0.310795434,163534.0707,127419.4413,61455,50954,176116,85109,188874.4413,261916.4413,,252357.1376,166620,30586.9928,197206.9928,0.7,12,26444,
2011-01-24,3656,3659.68,3616.55,3631.80005,485.489,166.131,283.2,133.0769197,145.5974385,143.3132278,4.02,3.98,52527.72517,,9.5625,,29.38,9.606709899,0.263172141,163758.2083,127416.3508,62261,50028,174991,84807,189677.3508,262128.3508,,252397.3245,167264,30656.743,197920.743,0.7,12,26465,
2011-01-25,3634,3640.89,3581.2,3604.77002,503.248,173.468,290.598,133.0769197,145.5974385,143.3132278,4.02,3.99,52569.13538,,11.5,,28.87,10.50166029,0.29612709,163717.7291,127187.5024,62260,49676,175138,85322,189447.5024,263258.5024,,252337.9072,167876,30797.1328,198673.1328,0.7,12,26472,
2011-01-26,3605,3642.2,3605.1,3642.19995,499.419,166.965,281.511,133.0769197,145.5974385,143.3132278,4.02,3.99,52653.67188,,10.875,,28.7,10.09820532,0.245059388,161438.5613,127027.4113,63320,49741,17335,85336,190347.4113,265106.4113,,253538.7136,167947,30793.536,198740.536,0.7,12,26480,
