fecha,merval_apertura,embi_spread_arg,embi_spread_global,emae_tendencia_ciclo,tc_minorista,tc_mayorista,badlar,tasa_pf_pesos,tasa_pf_dolares,base_monetaria,circulacion_monetaria,m1,m2_transaccional,prestamos_privados_pesos_ars,inflacion,rem
2025-01-02,2533634.75,606.032,298.031,150.6317812,1061.83,1032.75,31.6875,31.87910343,0.373241515,30977989.0,20054032.0,37193117.0,48766786.04,54023460.0,2.2,21.9
2025-01-03,2695646.5,583.588,292.186,150.6317812,1062.8,1034.75,32.3125,32.43345536,0.396265447,31660480.0,20064707.0,36442977.0,48262431.62,53520114.0,2.2,21.9
2025-01-06,2728911.0,568.378,292.176,150.6317812,1064.95,1035.75,32.5,32.46376475,0.435607559,31269417.0,20066119.0,36388766.0,47041621.42,53242842.0,2.2,21.9
2025-01-07,2801220.75,560.562,285.868,150.6317812,1068.57,1036.25,32.3125,32.46915733,0.499489915,31025360.0,20040263.0,36158081.0,47228280.39,52678534.0,2.2,21.9
2025-01-08,2822174.5,569.027,295.423,150.6317812,1065.62,1036.75,30.75,31.01922792,0.515776417,31138876.0,20008933.0,35776106.0,46429946.06,52666644.0,2.2,21.9
2025-01-09,2782477.0,558.677,291.236,150.6317812,1065.68,1037.75,31.5,31.73914148,0.559186571,30687325.0,19987975.0,35381079.0,46118961.77,52822334.0,2.2,21.9
2025-01-10,2829730.5,578.547,292.35,150.6317812,1066.34,1039.75,31.875,31.77329538,0.61492137,30414752.0,19962165.0,35038550.0,45679950.72,53053407.0,2.2,21.9
2025-01-13,2805139.75,582.954,296.109,150.6317812,1067.44,1040.25,31.6875,31.6566212,0.435117985,29988673.0,19943885.0,35323960.0,44904105.33,53404927.0,2.2,21.9
2025-01-14,2655178.5,579.514,295.85,150.6317812,1068.04,1041.25,32.5,32.74629654,0.575781984,29244363.0,19921688.0,35527087.0,45025984.1,53533787.0,2.2,21.9
2025-01-15,2733273.25,602.882,295.79,150.6317812,1068.86,1041.75,31.5,31.48493792,0.462469247,30122644.0,19917223.0,35986562.0,45850028.06,53718541.0,2.2,21.9
2025-01-16,2704473.75,618.983,296.403,150.6317812,1069.69,1042.25,30.375,30.60599698,0.524787106,30188706.0,19899396.0,35923588.0,45169820.93,53762240.0,2.2,21.9
2025-01-17,2629377.0,640.91,295.256,150.6317812,1069.88,1044.5,31.5,31.54193234,0.368595327,30146444.0,19903717.0,35476955.0,44781155.69,53884766.0,2.2,21.9
2025-01-20,2510886.0,638.535,294.4995,150.6317812,1071.0,1045.25,30.375,30.39868106,0.435699328,29983683.0,19906704.0,35715623.0,44341994.11,54155574.0,2.2,21.9
2025-01-21,2536837.5,636.16,293.743,150.6317812,1071.71,1045.92,31.3125,31.36967181,0.557332098,29894816.0,19888809.0,35448242.0,43856866.76,54538728.0,2.2,21.9
2025-01-22,2619719.25,641.696,290.355,150.6317812,1072.14,1047.25,31.0,31.28372469,0.371441557,30090521.0,19865761.0,35089509.0,43974462.87,54723400.0,2.2,21.9
2025-01-23,2680945.75,643.806,290.334,150.6317812,1074.87,1047.67,30.5625,30.43989289,0.561927566,30058865.0,19858523.0,34945082.0,43646564.64,55019464.0,2.2,21.9
2025-01-24,2625050.0,632.58,289.925,150.6317812,1075.78,1049.58,31.5,31.64906785,0.412532683,30008838.0,19894941.0,35079126.0,43716381.88,55409064.0,2.2,21.9
2025-01-27,2566082.25,644.489,295.998,150.6317812,1076.41,1050.5,29.8125,30.24301506,0.347236146,30451680.0,19947236.0,35968399.0,44214661.5,55950159.0,2.2,21.9
2025-01-28,2439098.75,625.177,294.755,150.6317812,1077.91,1050.92,31.5625,31.81305463,0.644404629,29616605.0,19966008.0,35791745.0,44225494.24,56408108.0,2.2,21.9
2025-01-29,2435628.75,615.295,292.769,150.6317812,1078.21,1051.58,30.875,31.27665307,0.4898008,29196847.0,19983941.0,36092696.0,44694997.84,56490634.0,2.2,21.9
2025-01-30,2545355.5,617.182,291.478,150.6317812,1078.38,1052.5,31.3125,31.48040186,0.66075963,28999198.0,20046151.0,36374188.0,45733918.49,56858206.0,2.2,21.9
2025-01-31,2599328.5,624.592,288.517,150.6317812,1079.63,1053.5,28.9375,28.84658339,0.453115361,30246597.0,20118507.0,36572622.0,47398428.92,56421663.0,2.2,21.9
2025-02-03,2564659.0,636.005,289.859,151.1189194,1080.65,1053.92,27.8125,27.98397774,0.415256831,31194889.0,20147992.0,36591719.0,47392269.22,56880064.0,2.4,22.2
2025-02-04,2484135.75,639.842,290.479,151.1189194,1082.36,1054.25,29.5,29.40990712,0.413271271,31793497.0,20167041.0,36288789.0,47046155.36,56960702.0,2.4,22.2
2025-02-05,2523647.0,659.398,289.523,151.1189194,1084.27,1054.71,29.5,29.55116948,0.467274604,30901745.0,20167452.0,35973480.0,47120119.02,56671971.0,2.4,22.2
2025-02-06,2477714.0,651.453,288.318,151.1189194,1084.69,1054.88,29.125,29.3162466,0.365327521,31034691.0,20197866.0,35526980.0,47738777.68,56319809.0,2.4,22.2
2025-02-07,2503483.5,659.979,287.078,151.1189194,1085.27,1055.92,28.125,28.28568093,0.439010972,31310198.0,20188444.0,34899585.0,46104037.18,56304827.0,2.4,22.2
2025-02-10,2416381.75,680.191,287.093,151.1189194,1086.08,1056.38,28.4375,28.6778502,0.459901474,30993421.0,20198847.0,34912399.0,44761742.03,55738867.0,2.4,22.2
2025-02-11,2391367.5,706.863,289.561,151.1189194,1086.08,1056.63,28.875,28.87349245,0.401723192,30640926.0,20177248.0,35030437.0,44563399.97,56031039.0,2.4,22.2
2025-02-12,2273568.0,673.818,286.41,151.1189194,1086.4,1056.88,28.0625,28.14715913,0.521390617,30436865.0,20159450.0,35291302.0,44675894.55,56080703.0,2.4,22.2
2025-02-13,2285846.5,673.139,287.573,151.1189194,1086.55,1057.46,28.0,27.78177598,0.473275302,30533195.0,20153361.0,35282795.0,43813974.01,56064606.0,2.4,22.2
2025-02-14,2353743.75,673.85,285.52,151.1189194,1087.85,1058.5,28.8125,28.78846463,0.740229901,30388719.0,20153623.0,35607000.0,44366370.03,56208514.0,2.4,22.2
2025-02-17,2387385.0,684.6665,284.09000000000003,151.1189194,1088.19,1059.08,28.125,28.58863868,0.429059161,29278470.0,20178079.0,35682785.0,44070611.09,56571106.0,2.4,22.2
2025-02-18,2254188.0,695.483,282.66,151.1189194,1088.4,1059.17,28.25,28.61572524,0.459288403,29264005.0,20164481.0,36231959.0,44058249.55,56959578.0,2.4,22.2
2025-02-19,2391724.0,718.807,287.232,151.1189194,1087.19,1059.38,27.5,27.73597722,0.518339484,28991665.0,20154437.0,36124659.0,44054294.14,57166906.0,2.4,22.2
2025-02-20,2401579.0,712.494,288.564,151.1189194,1088.45,1059.88,28.0,28.17079779,0.496055635,29063451.0,20161317.0,36169161.0,44257723.51,57556361.0,2.4,22.2
2025-02-21,2410220.0,718.628,291.769,151.1189194,1089.07,1060.88,28.1875,28.21591418,0.506680093,29449494.0,20183960.0,35825600.0,44062504.21,58025823.0,2.4,22.2
2025-02-24,2364529.5,731.456,293.577,151.1189194,1089.28,1061.13,27.75,27.986881,0.642194441,29282430.0,20229185.0,35951415.0,43829604.9,58354548.0,2.4,22.2
2025-02-25,2348398.0,746.846,297.746,151.1189194,1089.89,1061.63,28.25,28.33705503,0.698010152,29229656.0,20313452.0,35868984.0,43916551.02,58734047.0,2.4,22.2
2025-02-26,2282895.0,749.738,298.811,151.1189194,1090.03,1061.88,27.25,27.33281344,0.581321684,29103728.0,20384744.0,36213445.0,44718214.08,58853526.0,2.4,22.2
2025-02-27,2275036.0,775.5,297.303,151.1189194,1091.89,1062.38,27.8125,27.96278179,0.55656607,30179493.0,20584368.0,36869228.0,46463143.17,59276744.0,2.4,22.2
2025-02-28,2193656.0,784.116,299.561,151.1189194,1093.18,1064.38,28.0,28.13443513,0.516366296,30282166.0,20701648.0,36376340.0,48802489.89,59490889.0,2.4,22.2
2025-03-05,2205800.0,716.888,293.919,151.4529099,1093.8,1064.38,27.0625,27.03950524,0.602306707,30759385.0,20780070.0,37286805.0,48131887.13,59716802.0,3.7,24.5
2025-03-06,2290050.0,715.292,301.316,151.4529099,1091.44,1064.63,28.625,28.55274731,0.563137543,31125291.0,20820571.0,37487438.0,48340419.48,60000881.0,3.7,24.5
2025-03-07,2270181.25,693.552,297.291,151.4529099,1095.52,1066.04,28.6875,28.72562916,0.661504289,30856427.0,20790765.0,36679666.0,48345593.73,59516901.0,3.7,24.5
2025-03-10,2262289.25,722.316,303.659,151.4529099,1096.33,1066.33,28.0625,28.04177941,0.600811059,30146018.0,20769572.0,36374856.0,46578599.61,59055777.0,3.7,24.5
2025-03-11,2138846.25,719.56,301.437,151.4529099,1096.43,1066.67,28.5,28.44938989,0.623750347,30475141.0,20737979.0,36394162.0,46029754.38,59508483.0,3.7,24.5
2025-03-12,2159499.75,717.982,299.367,151.4529099,1098.18,1066.88,28.5625,28.61220475,0.69301441,30493322.0,20712569.0,36460765.0,45861660.45,59463768.0,3.7,24.5
2025-03-13,2272936.75,746.716,306.778,151.4529099,1097.8,1067.13,28.5,29.00791971,0.650413659,30051710.0,20691372.0,36620921.0,46142671.27,59349649.0,3.7,24.5
2025-03-14,2232180.0,738.029,301.385,151.4529099,1098.57,1068.54,28.4375,29.00042666,0.745524963,30562264.0,20661470.0,36576335.0,46150972.62,59562984.0,3.7,24.5
2025-03-17,2335574.75,748.869,300.962,151.4529099,1098.97,1068.92,28.5625,28.79418721,0.832403511,30215667.0,20668873.0,36414121.0,45435594.74,59751495.0,3.7,24.5
2025-03-18,2346305.5,790.432,302.733,151.4529099,1099.34,1069.13,29.8125,29.99525382,0.821572686,29885056.0,20656562.0,36779206.0,45455745.72,60139518.0,3.7,24.5
2025-03-19,2288358.0,764.201,303.617,151.4529099,1099.52,1069.63,29.9375,30.09299534,1.085700076,29992603.0,20686784.0,37035135.0,45746743.5,60618622.0,3.7,24.5
