fecha,titulo,resumen,articulo,url
28 de agosto 2025 - 07:28,Prorrogan la intervención de Casa de Moneda por 120 días," La decisión, publicada este jueves en el Boletín Oficial, extiende la gestión del interventor Pedro Cavagnaro para completar el traspaso de áreas operativas a distintos organismos del Estado."," El Poder Ejecutivo prorrogó por 120 días la intervención de Casa de Moneda Sociedad Anónima Unipersonal y ratificó en su cargo al interventor Pedro Daniel Cavagnaro, según lo establece el decreto 615/2025 publicado este jueves en el Boletín Oficial.  La medida responde a la necesidad de concluir el proceso de reorganización iniciado en 2024, que incluyó la transferencia de áreas productivas a otros organismos estatales. Entre ellas, el servicio de trazabilidad impositiva pasó a la Agencia de Recaudación y Control Aduanero (ARCA), la fabricación de pasaportes al Registro Nacional de las Personas (Renaper) y la billetera virtual a la empresa estatal Arsat.  Según los informes elevados por la intervención, el traspaso de personal y equipamiento resultó más complejo de lo previsto y requiere mayor tiempo para garantizar una transición ordenada.  Casa de Moneda, que en diciembre de 2024 se transformó en sociedad anónima unipersonal, mantiene entre sus funciones principales la impresión de billetes y especies valoradas, así como la provisión de impresos especiales para organismos públicos y privados.  ",https://www.ambito.com/economia/prorrogan-la-intervencion-casa-moneda-120-dias-n6183641
28 de agosto 2025 - 06:30,Ahorro de fin de mes: un supermercado cuenta con ofertas imperdibles hasta el 1 de septiembre, Descubrí los descuentos exclusivos que ofrece esta cadena para empezar la próxima semana con menos gastos.,"  Se termina agosto y muchas familias comienzan a planificar las compras para el próximo mes. Para ello, Carrefour ofrece descuentos imperdibles hasta el próximo 1 de septiembre de 2025 con los que se podrá comprar todos los productos necesarios sin necesidad de pagar demás.  Además de las promociones generales para todos sus clientes, la cadena de supermercados francesa cuenta con su propio programa de beneficios. Este es Mi Carrefour, en el que sus usuarios tendrán acceso a más descuentos de manera exclusiva.  Carrefour: promociones vigentes hasta el 1 de septiembre  carrefour.jpg        Hasta el 1 de septiembre, los clientes de Carrefour podrán aprovechar un 50% de descuento al comprar una segunda unidad de mantecas Milkaut y La Serenísima, leches La Serenísima y galletitas de diversas marcas, como Rumba, Merengadas, Hogareñas, entre otras. En caso de pagar con alguna de las Tarjetas Mi Carrefour, la promoción aumenta a 70% en la segunda unidad.  Por otro lado, el llevar 3 unidades de jugos en polvo BC o Arcor, postres lácteos, bebidas isotónicas o cervezas, se podrán pagar sólo 2 de ellas. También habrá 2x1 en alfajores triples y tabletas de chocolate. Asimismo, al descargar la App Carrefour, se podrá acceder a un 4x2 en los jugos.  Finalmente, los electrodomésticos claramente no se quedaron sin su promoción de fin de mes. hasta el próximo lunes se podrá acceder a 12 cuotas sin interés o un 20% de descuento en un pago en seleccionados de heladeras, y lavarropas automáticos, mientras que también hay 9 cuotas sin interés o un 15% de descuento en un pago en seleccionados de Smart TVs, aires acondicionados y notebooks.",https://www.ambito.com/economia/ahorro-fin-mes-un-supermercado-cuenta-ofertas-imperdibles-el-1-septiembre-n6183037
28 de agosto 2025 - 00:00,"Gas, agua, colegios, alquileres y transporte: los aumentos que llegan en septiembre"," El mes entrante llega con incrementos en servicios públicos, pero también medios de transporte en el AMBA y colegios subsidiados, entre otros rubros."," El mes próximo se acumulan ajustes en  distintos rubros que inciden directamente en el bolsillo: desde tarifas de servicios y transporte hasta alquileres, salud y educación. A continuación, los aumentos de septiembre.  Gas El Ministerio de Economía resolvió aplicar un recargo del 6,8% sobre el precio del gas en el Punto de Ingreso al Sistema de Transporte (PIST).  La medida busca reforzar el financiamiento de los subsidios a usuarios residenciales y se convierte en un paso previo a la publicación de los nuevos cuadros tarifarios de septiembre.  Dichas tarifas contemplarán factores como el nivel de ingresos, el régimen de zona fría, el consumo industrial y comercial, y más de 3.000 combinaciones diferentes en todo el país.  Agua El servicio de Agua y Saneamiento Argentinos (AySA) ajusta su tarifa de forma mensual mediante el coeficiente K. Para agosto, la empresa informó un incremento tope de 1% sobre la boleta de agosto.   Alquileres Los contratos aún regidos por la antigua Ley de Alquileres de 2020 sufrirán en septiembre un incremento. La actualización anual por Índice de Contrato de Locación (ICL) marcará un ajuste del 50,3% respecto de agosto.Prepagas En el sector de la salud, las empresas de medicina privada aplicarán subas moderadas. Los porcentajes de aumento oscilan entre el 1,68% y el 1,9%, con un promedio que se ubica por debajo del 2% mensual. Estos incrementos se suman a la secuencia de ajustes que las prepagas vienen realizando mes a mes desde comienzos del año.Colegios Tanto en la Ciudad como en la Provincia de Buenos Aires se autorizaron nuevos cuadros de aranceles para los colegios que reciben aporte estatal. En territorio bonaerense, el aumento llegará a 2,8%, mientras que en los establecimientos porteños alcanzará el 3,2%. Las subas comenzarán a regir con el inicio del último trimestre del ciclo lectivo.Transporte El subte tendrá una suba de 3,87%, lo que llevará el pasaje base a $1.071. Por su parte, el boleto mínimo de colectivos subirá alrededor de 3,9%, fijándose en $526,13 en la Ciudad y $529,25 en el conurbano bonaerense. Estas actualizaciones responden al mecanismo que ajusta las tarifas todos los meses de acuerdo con la inflación más un adicional del 2%.Combustibles En materia de combustibles, septiembre aparece como un mes de definición. Si el Gobierno decide avanzar con la actualización de todos los impuestos que se postergaron durante 2024 y el primer trimestre de 2025, el precio de las naftas y el gasoil podría saltar más de 15% de manera inmediata. Sin embargo, no se descarta que vuelva a optarse por una prórroga para evitar un golpe inflacionario.",https://www.ambito.com/economia/gas-agua-colegios-alquileres-y-transporte-los-aumentos-que-llegan-septiembre-n6183589
27 de agosto 2025 - 20:16,Desempleo: un tercio de las empresas prevé reducir puestos de trabajo en lo que resta del año," Un tercio de los especialistas en recursos humanos prevé reducir su plantilla en lo que resta del año y más de la mitad reconoce haber despedido empleados durante el primer semestre, según una encuesta de Bumeran."," El mercado laboral continúa siendo un desafío para la economía argentina, no solo por la caída de poder adquisitivo sino también por el alza en el desempleo-el más alto para un primer trimestre desde 2021, a la salida de la pandemia- así como también en la  falta de creación de empleo de calidad.  Un tercio de los especialistas en recursos humanos prevé reducir su plantilla en lo que resta del año y más de la mitad reconoce haber despedido empleados durante el primer semestre, según una encuesta de Bumeran.  Los indicadores hacia adelante, lejos de mejorar, siguen en deterioro: los analistas privados recalibraron sus proyecciones de crecimiento económico en 2025 y lo ubican debajo del 5%. Desde LCG y Equilibra avizoran un incremento cercano al 4,5%, Econviews proyecta un 4,2%, mientras que desde EcoGo también esperan un porcentaje cercano al 4% o ""quizás algo por encima"".  El recorte del crecimiento económico se da en medio de un estancamiento de los salarios, así como también una alta volatilidad en las tasas de interés y alza de la morosidad, que se traduciría en una posición defensiva que limitaría el otorgamiento de créditos al sector privado. En esa línea, Gonzalo Carrera, economista senior de Equilibra, aclaró a este medio que la última corrección la hicieron en julio, por lo cual no descartó que haya nuevos ajustes a la baja en breve. ""Ya es un escenario bastante magro, dado que implicaría una economía prácticamente estancada en diciembre, en términos interanuales"", acotó.  Indicadores laborales: 42% de trabajadores informales, con alza de desempleo y pérdida de poder adquisitivo La informalidad afecta a más de 8,8 millones de personas en Argentina, lo que equivale al 41,8% de los empleados ocupados, según el último dato del mercado laboral de INDEC. De ellas, 5,5 millones son asalariadas sin aportes y 3,3 millones son trabajadores independientes no inscriptos en monotributo o autónomos.   El tipo de contratación de asalariados sin aportes comenzó una curva ascendente desde 2015, cuando había caído hasta el 32%, y llegó hasta el 36% en el primer trimestre de 2025. En el otro extremo, el empleo asalariado formal casi no creció desde 2011, que se explica principalmente por el estancamiento económico. Según un estudio del exMinisterio de Desarrollo Productivo, por cada 1% de crecimiento del PBI, el empleo formal en empresas aumentó un 0,7%, lo que equivale a unos 50.000 puestos de trabajo registrados.  En el primer trimestre del año, subió al 7,9% desde el 7,7% registrado en el mismo período de 2024 y tocó su nivel más alto desde 2021, cuando el país se estaba recuperando de la caída de la producción por la pandemia de Coronavirus. Al extrapolar el dato al total de la población, en Argentina hay 1.790.000 desocupados, según los cálculos de Ámbito.Los salarios registrados, en tanto, marcan una fuerte caída de 5,5% del poder adquisitivo desde noviembre 2023, con una caída más fuerte en los haberes de los empleados públicos que sufrieron una pérdida del 14,3% real en ese período, mientras que los privados anotaron una baja real del 0,6%.La caída de los haberes, que están en un mínimo histórico, redundó en una suba del pluriempleo, que pasó de representar 8% en 2013 a 12% en 2024, según un informe del Programa de Capacitación y Estudios sobre Trabajo y Desarrollo (CETyD) de la Universidad Nacional de San Martín (UNSAM). El alza también se da en el marco del aumento del empleo en plataformas digitales que no se encuentra regulado.Pérdida de puestos de trabajo Una encuesta de Bumeran revela que durante el primer semestre del año el 66% de los especialistas en Recursos Humanos reportó haber realizado despidos en las empresas. De las firmas que redujeron su personal, el 36% destacó que se debió a una reducción de costos.Aunque aún no hay indicadores de desempleo del segundo trimestre, ya que el INDEC publicará el indicador el próximo 18 de septiembre, desde CP-Consultores adelantaron que será un trimestre complicado: si bien hay un crecimiento de la tasa de empleo luego de 4 meses de caída, también hay una contracción de la tasa de entrada, lo que implica que ""el empleo total dejó de caer a costa de un mayor congelamiento de la economía: menos personas dejaron sus empleos, pero las empresas contrataron menos personal"". image      En ese sentido, el economista Federico Pastrana destacó que el empleo se encuentra en un ""estancamiento"". Si bien se ve un crecimiento del tipo asalariado en mayo, según datos del SIPA, es mínimo.""En el segundo trimestre la tasa de desempleo suele mejorar por cuestiones estacionales, aunque el año pasado con la recesión del primer semestre no se observó una mejora sustancial (7,7% en el primer trimestre 2024 a 7,6% en el segundo). Ahora, lo que puede pasar es que te dé un poco por debajo del primer trimestre de 2025 e incluso frente al año pasado, pero con la economía estancada y una creación de empleo bajísima, la tendencia es de estancamiento"", resaltó el especialista. image      A su vez, en un contexto de caída de ingresos también existe una mayor presión en el mercado laboral, donde más cantidad de personas están en busca de un trabajo para lograr una mejora salarial.De cara al semestre siguiente, desde Bumeran informaron que el 31% de los especialistas de recursos humanos aún prevé reducir la plantilla de empleados.  Además, el 47% de los especialistas en recursos humanos anticipa una evolución regular del mercado laboral en el próximo semestre, con un crecimiento negativo frente a las proyecciones de 2024: la previsión de que la evolución sea mala y muy mala subió del 29% al 30%, aunque las proyecciones de que sea buena o muy buena cayeron del 31% al 23%.",https://www.ambito.com/economia/desempleo-un-tercio-las-empresas-preve-reducir-puestos-trabajo-lo-que-resta-del-ano-n6183547
27 de agosto 2025 - 14:37,ARCA amplió plazos y flexibilizó el cómputo de percepciones de IVA para inscriptos, La medida se ejecutó por el pedido de distintos entes empresariales. Para el organismo se trata de reducir esas trabas administrativas.," La Agencia de Recaudación y Control Aduanero (ARCA) anunció una modificación en el régimen de percepciones del Impuesto al Valor Agregado (IVA). A partir del 1 de septiembre de 2025, los responsables inscriptos tendrán la posibilidad de computar las percepciones no solo en el período fiscal en que fueron practicadas, sino también en cualquiera de los cinco períodos fiscales posteriores.  La medida quedó oficializada este miércoles a través de la Resolución General N° 5750/25, publicada en el Boletín Oficial.  La decisión de ARCA se adoptó luego de que distintas entidades empresarias reclamaran cambios en los plazos. El argumento principal fue que los sistemas de registración y validación documental dificultaban el cumplimiento estricto de los tiempos previstos por la normativa anterior.  Con esta modificación, el organismo afirma que busca ""reducir esas trabas administrativas"", ofreciendo a los contribuyentes una mayor flexibilidad y simplificación en el proceso de determinación del impuesto.   Percepciones IVA 1     U24   Impacto en el nuevo “Portal IVA” La flexibilización se enmarca dentro del sistema integral y asistido de determinación del IVA, conocido como Portal IVA, una plataforma que centraliza la liquidación del tributo.Al permitir un margen mayor para computar percepciones, se busca mejorar la eficiencia del sistema y otorgar previsibilidad a las empresas.Diferencias clave con el esquema anterior Antes de este cambio, las percepciones solo podían computarse en el período fiscal en el que eran practicadas. Ahora, se suman cinco períodos adicionales para su utilización.La normativa también contempla una excepción: en casos puntuales, podrá aplicarse en el período inmediato anterior, siempre que la operación correspondiera a ese lapso y la percepción se hubiese practicado antes del vencimiento.Además, si del cálculo surge un saldo a favor, se considerará como ingreso directo, con la posibilidad de aplicarlo de acuerdo con lo establecido en el artículo 24 de la Ley de IVA.",https://www.ambito.com/economia/arca-amplio-plazos-y-flexibilizo-el-computo-percepciones-iva-inscriptos-n6183372
27 de agosto 2025 - 14:27,El efecto Shein: se quiebra la industria textil argentina ante el golpe de las plataformas de venta online," Importaciones récord, ventas en caída y miles de empleos en riesgo: el desembarco de Shein golpea de lleno a la industria textil argentina."," La industria textil argentina atraviesa un momento crítico que se refleja en números cada vez más alarmantes. El avance de plataformas digitales como Shein alteró las reglas del juego del consumo de indumentaria, y el sector local acusa el impacto de manera directa. Lo que antes era un problema latente, hoy se convirtió en una verdadera crisis que combina caída de ventas, avalancha de importaciones y despidos masivos.  En paralelo, los cambios normativos que abarataron las compras al exterior facilitaron aún más el desembarco de productos asiáticos. Los consumidores, golpeados por la pérdida de poder adquisitivo, migraron rápidamente hacia la ropa importada de bajo costo. El fenómeno no es nuevo, pero su magnitud actual puso en jaque a cientos de fábricas locales que no logran competir en precios ni en volumen.   shein     Las importaciones textiles crecieron un 97% en volumen respecto al año pasado.    Caída de ventas y despidos: el efecto Shein Los números muestran con crudeza el impacto de esta tendencia. Según la Cámara Argentina de Comercio Electrónico, un 33% de las compras internacionales digitales proviene de plataformas chinas, con Shein concentrando el 10% del total. Solo en julio de 2025, las importaciones vía couriers sumaron 98 millones de dólares, y en los primeros siete meses del año llegaron a 408 millones: casi el doble de lo registrado en todo 2024.  La Fundación ProTejer informó en tanto que, entre enero y julio, las importaciones textiles crecieron un 97% en volumen respecto al año pasado. El rubro más afectado fue la indumentaria, con un salto del 123%, seguido por los productos para el hogar, que se dispararon un 195%. En la práctica, eso significa que prendas como jeans, remeras o vestidos llegan al país a precios que muchas veces ni cubren los costos básicos de producción local.   TEMU SHEIN     Según la Cámara Argentina de Comercio, el  33% de las compras internacionales digitales proviene de plataformas chinas, con Shein concentrando un 10% del total.  Ajustes en las empresas del sector para contrarrestar el efecto Shein Relevamientos sectoriales revelan que el 72% de las empresas aplicó medidas de ajuste laboral entre 2023 y mediados de 2025. Se redujeron horas extras, cerraron turnos productivos y se aceleraron los despidos. Seis de cada diez compañías achicaron su plantilla, una tendencia que no distingue entre grandes y chicas.El consumo interno tampoco ayuda. Durante el segundo trimestre de este año, la mitad de las firmas textiles reportó una baja promedio del 7% en ventas frente a 2024, y la caída llega al 28% si se compara con 2023. La producción acompaña esa curva descendente: un retroceso del 12% interanual y del 30% en apenas dos años.El fenómeno Shein, potenciado por la eliminación de aranceles para envíos de hasta 400 dólares y el aumento del límite por pedido a 3.000 dólares, dejó al descubierto la fragilidad de un sector que no encuentra herramientas de defensa frente al dumping.",https://www.ambito.com/economia/el-efecto-shein-se-quiebra-la-industria-textil-argentina-el-golpe-las-plataformas-venta-online-n6183363
27 de agosto 2025 - 14:00,Últimos días de agosto 2025: la billetera virtual que ofrece descuentos exclusivos a fin de mes para ahorrar, Descubrí todos los beneficios vigentes de la billetera virtual que se podrán aprovechar hasta este domingo.," La billetera digital de Banco Provincia, Cuenta DNI, ofreció una gran cantidad de promociones en agosto. Algunos de ellos se mantendrán vigentes hasta el  fin de agosto 2025, lo que resulta beneficioso para quienes buscan comprar insumos y ahorrar dinero al mismo tiempo.  Los beneficios de Cuenta DNI son actualizados mensualmente, ya sea en cuanto a rubros, locales adheridos, porcentajes de descuento o topes de reintegro. No es necesario ser cliente del banco para poder acceder a ellos pero es importante tener una cuenta en la aplicación.  Con esta billetera virtual sus usuarios podrán recargar la Tarjeta SUBE, abonar impuestos, recargar saldo en el celular y, como novedad, invertir en un plazo fijo de manera gratuita. Para poder obtener una cuenta solo hay que escanear el DNI, verificar la identidad con una foto y completar el formulario correspondiente con los datos personales.  Descuentos de Cuenta DNI vigentes en agosto 2025  cuenta dni.jpg          Comercios de cercanía:20% de descuento todos los viernes de agosto. Tope de $4.000 por persona por semana (equivale a $20.000 en consumos).  Ferias y mercados:40% de descuento todos los días. Tope de $6.000 por semana por persona (equivalente a $15.000).  Universidades: 40% de descuento todos los días en comercios adheridos de universidades bonaerenses. Tope de $6.000 por semana por persona (equivalente a $15.000).  Garrafas:40% de descuento todos los días, incluye compra y recarga. Tope de $12.000 por mes (equivale a $30.000).  Comercios de cercanía (no alimentos): 3 cuotas sin interés todos los días, con tarjetas Visa y/o Mastercard vinculadas en la app.  ",https://www.ambito.com/economia/ultimos-dias-agosto-2025-la-billetera-virtual-que-ofrece-descuentos-exclusivos-fin-mes-ahorrar-n6182933
27 de agosto 2025 - 12:43,Economía le echa la culpa a Mauricio Macri por el riesgo país y asegura que bajará tras las elecciones," Así lo planteó José Luis Daza, viceministro de Luis Caputo, en una charla virtual organizada por la Fundación FIEL. Sostuvo que LLA está pagando los errores de Cambiemos."," El secretario de Política Económica, José Luis Daza, sostuvo que los problemas que registra el Gobierno de Javier Milei para que baje el riesgo país, a pesar del férreo ajuste en las cuentas del fisco, se deben ""a la falla del programa de estabilización del presidente Mauricio Macri"".   Daza expresó esta idea, que forma parte del diagnóstico que conversan los funcionarios del Palacio de Hacienda, en una charla que ofreció en forma virtual a los socios de la Fundación de Investigaciones Económicas Latinoamericanas (FIEL).  ""Cuando el presidente Macri llega al poder había un consenso en el mundo sobre las posibilidades de Argentina. Ese consenso se materializó en el hecho de que entró dinero de inversionistas que nunca había invertido en mercados emergentes"", explicó el funcionario. El viceministro de Luis Caputo agregó que ""gran parte de los emisiones de bonos que hacía la Argentinas eran lideradas por fondos que no invertían en mercados emergentes"".  ""Tuviste una enorme cantidad de dinero que invertía en la creencia del presidente Macri. A estas alturas de su administración tenía las cuentas sustancialmente peores de las que tenemos nosotros. Tenía déficit de cuenta corriente sustancial del 6%. Todos los números cíclicos eran peores de los que tenemos nosotros, sin embargo, el país estaba en 400 puntos básicos"", agregó.   Riesgo país y efecto desilusión, la tesis de Daza En ese sentido, el funcionario sostuvo que ""una vez más, la desilusión que tuvo el capital internacional con la Argentina nos está pasando la cuenta en forma muy seria"". ""No hay conciencia del daño que se ha hecho en estos años"", aseguró.  El funcionario admitió que ""todavía no logramos acceder a los mercados para hacer el rollover de la deuda y estamos pagando con los ahorros del Gobierno"". En ese sentido, consideró que ""nuestro objetivo es crear las condiciones para poder volver a los mercados internacionales"". Por otro lado, Daza reconoció que la economía muestra niveles débiles de actividad que se deben a ""toda la incertidumbre política"" que enfrenta el programa, aunque reconoció que ""también está influida por lo que está pasando con la tasa de interés"" En otro aspecto, admitió que el equipo económico decidió no comprar reservas al momento de entrar en las bandas cambiarias, a pesar de que sabían que iban a incumplir el acuerdo con el FMI. ""Al momento de salir del cepo había muchos indicadores que nos decían que las expectativas inflacionarias estaban desancladas"", explicó. Por último, dijo que la Argentina ""va a ir hacia una inflación sustancialmente más baja, que va a confluir con la inflación mundial"". ",https://www.ambito.com/economia/le-echa-la-culpa-mauricio-macri-el-riesgo-pais-y-asegura-que-bajara-las-elecciones-n6183293
27 de agosto 2025 - 10:48,Donald Trump ahora presiona sobre los bancos regionales de la Fed y crece la preocupación del mercado," Mientas intenta conseguir la mayoría en la mesa chica de la Reserva Federal, Trump también quiere aprovechar a su favor el recambio en el Comité Federal de Mercado Abierto, que decide el movimiento de las tasas."," El despido de la gobernadora de la Reserva Federal de los Estados Unidos (Fed), Lisa Cook, por parte del presidente norteamericano, Donald Trump, no solo es el último capítulo en la escalada de enfrentamiento que mantiene el mandatario sino también que puede ser la antesala a un movimiento para ejercer más influencia sobre los 12 bancos regionales de la Fed.  Si la destitución de Cook es validada por los tribunales norteamericanos, debido a que ella ya adelantó que la va a judicializar, le daría la oportunidad a Trump de asegurarse una mayoría en la Junta de Gobernadores, compuesta por siete personas.  Los hombres (y mujeres) de Trump en la Fed Trump ya cuenta con dos ""aliados"" en la junta de la Reserva Federal, Michelle Bowman y Christopher Waller, ambos nombrados durante su primer mandato. No tan curiosamente, fueron los únicos miembros que se opusieron a votar contra mantener las tasas de interés en la última reunión de la Fed, marcando el mayor nivel de disidencia dentro del ""Board"" desde 1993.  Se espera que el último candidato de Trump, Stephen Miran, quien actualmente preside el Consejo de Asesores Económicos de la Casa Blanca, ocupe temporalmente un puesto vacante hasta finales de enero. Asumirá en reemplazo de Adriana Kugler, quien renunció antes de finalizar su mandato, una situación que permitirá a la Casa Blanca nominar posteriormente a un reemplazo para un período completo.  Sin embargo, el head of research de Pepperstone Chris Wetson planteó en su último informe que ""tener cuatro gobernadores en sus cargos durante tanto tiempo, y que en esencia son vistos como alineados con los deseos de Trump, impactaría aún más la percepción del mercado sobre una pérdida de la independencia del banco central"".   trump powell.jpg     Trump y Powell están enfrentados desde que el mandatario republicano lo instó a bajar las tasas de interés. Imagen creada con inteligencia artificial La importancia de las Fed regionales para definir la tasa De todas maneras, desde Portfolio Personal Inversores (PPI), aclararon que ""ni siquiera ese control le garantiza imponer recortes de tasas"". Explicaron que la política monetaria la define el Comité Federal de Mercado Abierto (FOMC, por sus siglas en inglés), que además de los gobernadores de la autoridad monetaria incluye al presidente de la Fed de Nueva York y a un sistema rotativo de jefes de bancos regionales, sumando en total 12 votos.""Así, incluso con cuatro miembros leales, necesitaría al menos tres apoyos adicionales para alcanzar mayoría"", argumentaron los analistas de la sociedad de bolsa, aunque agregaron: ""Donde sí podría ganar influencia inmediata es en las funciones propias del directorio: la regulación bancaria y la aprobación o veto de los presidentes de las Fed regionales cada cinco años"".Wetson explicó que los 12 miembros regionales de la Fed se enfrentan a una ""revalidación"" en febrero de 2026. ""Esta vez, existen verdaderos desafíos, ya que la votación para mantenerlos en sus puestos la deciden los siete gobernadores de la Fed. Esto pone a varios miembros regionales de la entidad en riesgo de perder sus puestos en febrero de 2026 y, posteriormente, ser reemplazados por gobernadores regionales afines a Trump"", argumentó.A eso se le suma que en mayo de 2026 es la fecha en que terminará la presidencia de Jerome Powell en la Fed, cargo que adelantó que no buscará renovar, en medio de los constantes ataques del presidente republicano a su persona.""Podríamos tener un presidente de la Reserva Federal designado por Trump, una mayoría designada por Trump en los puestos de gobernador y una serie de candidatos alineados con Trump en los puestos regionales"", agregó el analista de Pepperstone.El impacto sobre los mercados En declaraciones a la prensa norteamericana, el socio gerente de Harris Financial Group, Jamie Cox, sostuvo que “Trump por el momento usurpó la función de orientación futura de la Fed y anunció a los mercados que se avecinan tasas más bajas, lo que se manifiesta en una curva de rendimiento más pronunciada, con los bonos del Tesoro a corto plazo cayendo en picada”.Hacia delante, Wetson opinó que ""si la inflación se sitúa en el 3,2 % y va en aumento, mientras que el mercado laboral y el crecimiento se mantienen resilientes, y recortan los tipos de interés en una reunión sin una justificación obvia, los mercados los castigarían por una erosión absoluta de la credibilidad"". Como consecuencia, agregó que eso ""resultaría en una venta masiva de dólares y una salida de los activos estadounidenses: el oro se dispararía"". ",https://www.ambito.com/economia/donald-trump-ahora-presiona-los-bancos-regionales-la-fed-y-crece-la-preocupacion-del-mercado-n6183240
27 de agosto 2025 - 07:30,"¡Semana de ofertas! Aprovechá descuentos imperdibles en este supermercado para ahorrar en tus compras hoy, 27 de agosto de 2025"," Accedé a promociones exclusivas en alimentos, lácteos, bebidas alcohólicas y artículos de tecnología."," Llegar a fin de mes siempre implica revisar la lista de compras con atención. Y, cuando los precios suben, cada promoción se vuelve una oportunidad para estirar el bolsillo. En ese contexto, los supermercados juegan un papel clave con propuestas que permiten acceder a descuentos importantes para stockearnos de nuestros productos favoritos.  Carrefour, la popular cadena francesa, lanzó una nueva semana de ofertas que se extiende por todo el país y que busca aliviar el gasto diario de los hogares argentinos. Desde alimentos y bebidas hasta artículos de limpieza, estas alcanzan a múltiples categorías, son válidas para sus tiendas presenciales y online, y se presentan como una alternativa concreta para ahorrar sin resignar calidad.   carrefour.jpg        Las superofertas llegaron a Carrefour Carrefour actualizó su grilla de promociones y sumó una nueva serie de descuentos que estarán disponibles durante toda la semana. Las rebajas abarcan artículos de primera necesidad, productos frescos, bebidas, artículos de limpieza y mucho más, con el objetivo de ofrecer alternativas accesibles para las compras de fin de mes.  El detalle completo de las promociones puede consultarse en la página oficial del supermercado, donde figuran las categorías incluidas y los topes de reintegro según el medio de pago.   2x1 en productos seleccionados de marcas elegidas como Milka, Oreo, Shot y Cadbury, ideal para darse un gustito dulce. Llevando dos productos, accedé a 50% en la segunda unidad en seleccionados de galletitas, gaseosas, cervezas, harinas y yerbas. Entre las compañías participantes se encuentran La Serenísima, Pepsi, Quilmes, Cerealitas y Maná. ¡Especial descanso! Obtené hasta 65% de descuento o 12 cuotas sin interés en colchones, sommiers, cubrecamas y almohadas. Esta promoción es exclusiva para compras realizadas en la tienda online. Aprovechá hasta 12 cuotas sin interés o 20% de descuento en un pago en seleccionados de heladeras y lavarropas automáticos. Recordá que podés retirar gratis tu compra en más de 650 tiendas Carrefour. ¡Actualizá tu setup! Obtené hasta 40% de descuento y 12 cuotas sin interés en notebooks, joystick, auticulares Gamer y PC Gamer. Tené en cuenta que si vivís en el AMBA, podés aprovechar tu compra con envío gratis. 35% de descuento en cereales, edulcorantes, queso crema, suavizantes y jabones para la ropa de marcas elegidas como Skip, La Serenísima, Colgate, Terrabusi, Comfort y Equal. 3x2 en leches, jugos, vinos, bebidas isotónicas, cervezas, agua y postres de chocolate de marcas participantes como Las Tres Niñas, Villa del Sur, La Serenísima, Patagonia, Clight e Imperial. Hasta 3 cuotas sin interés en celulares, tablets y relojes inteligentes de firmas elegidas, como Xiami, Lenovo y Motorola. Aprovechá hasta 25% de descuento en whiskies, licores y bebidas blancas. Llevando dos productos, obtené hasta 50% de descuento en la segunda unidad de lácteos. La Serenísima, ilolay, Milkaut, La Paulina, Tonadita y San Ignacio son algunas de las marcas participantes. ",https://www.ambito.com/economia/semana-ofertas-aprovecha-descuentos-imperdibles-este-supermercado-ahorrar-tus-compras-hoy-27-agosto-2025-n6182777
